placement_profile,pair_count,spearman,kendall,ndcg_at_5,top3_recall,top5_recall,mae,rmse,r2,mean_bias
apac_dominant,8.0,0.8333333333333335,0.6428571428571428,0.9872293077711247,1.0,0.8,2.3619151323738654,2.371146968623015,-32.556252312354104,-2.3619151323738654
balanced,8.0,0.8333333333333335,0.7142857142857142,0.9801962999216929,1.0,0.8,2.5053811194340425,2.5149722352317787,-42.94548551143114,-2.5053811194340425
