query_run_id,region_ids,worker_task_region_ids,region_count,worker_task_region_count,regions_complete,worker_regions_complete,edge_ids,edge_source_region_ids,edge_destination_gac_ids,edge_count,edges_complete
20260802T000729Z-pressure-raw-v1-n3-colocation-holdou--283f4deb7403--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T000841Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T001104Z-pressure-raw-v1-n3-colocation-holdou--448cfa0ce2be--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T001210Z-pressure-raw-v1-n3-colocation-holdou--ff54e308ba53--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T001553Z-pressure-raw-v1-n3-colocation-holdou--283f4deb7403--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T001923Z-pressure-raw-v1-n3-colocation-holdou--41f637274254--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T002324Z-pressure-raw-v1-n3-colocation-holdou--41f637274254--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T002546Z-pressure-raw-v1-n3-colocation-holdou--370f1ef768c2--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T002759Z-pressure-raw-v1-n3-colocation-holdou--41f637274254--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T003016Z-pressure-raw-v1-n3-colocation-holdou--afbd214de5e9--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
