representation,k,primary_resolution,representative_seed,silhouette,partition_coefficient,partition_entropy,average_max_membership,average_top2_margin,seed_ari_mean,training_p99_distance
F19,3,False,1,0.6069302536880878,0.8758978087204629,0.2461703784012635,0.9219248600968613,0.8687890919808892,1.0,0.9794666794909843
F19,4,True,5,0.6095309433985778,0.8337922200664419,0.3483120047714823,0.8952554066316044,0.8337009251565252,0.8925959119131807,0.992091252236214
