mode,decision_count,recommendation_count,correct_recommendation_count,coverage,coverage_wilson_95_low,coverage_wilson_95_high,top1,top1_wilson_95_low,top1_wilson_95_high,one_decision_top1_step
static_action_median,15,15,8,1.0,0.7961166989641515,1.0,0.5333333333333333,0.30116980025498397,0.7519046463426261,0.06666666666666667
frozen_transfer,15,0,0,0.0,0.0,0.20388330103584862,,,,
prequential_full_feedback,15,14,8,0.9333333333333333,0.7018347012621998,0.9881331045067315,0.5714285714285714,0.3259064457965074,0.7861920109552588,0.07142857142857142
