representation,feature,family,transform,included,source_scope,reason
coordinator_physical,coordinator_final_bytes_estimated,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_final_bytes_estimated,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_blocking_input_rows_sum,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_blocking_input_rows_sum,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_temp_written_blocks,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_temp_written_blocks,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_hash_batches_max,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_hash_batches_max,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_sort_input_rows_sum,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_sort_input_rows_sum,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_sort_time_ms_max,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_sort_time_ms_max,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_aggregate_input_rows_sum,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_aggregate_input_rows_sum,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_aggregate_time_ms_max,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_aggregate_time_ms_max,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_join_input_rows_sum,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_join_input_rows_sum,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,coordinator_join_time_ms_max,gac,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,coordinator_join_time_ms_max,gac,log1p,True,gac,unchanged_existing_93_candidate_contract
coordinator_physical,task_count,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,task_count,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,task_time_mean_ms,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,task_time_mean_ms,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,task_time_cv,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,task_time_cv,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,task_rows_mean,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,task_rows_mean,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,task_rows_cv,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,task_rows_cv,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_actual_rows_sum,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_actual_rows_sum,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_actual_rows_cv,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_actual_rows_cv,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_actual_rows_max_share,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_actual_rows_max_share,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_actual_time_sum,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_actual_time_sum,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_actual_time_cv,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_actual_time_cv,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_actual_time_max_share,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_actual_time_max_share,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_tuple_bytes_sum,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_tuple_bytes_sum,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_tuple_bytes_cv,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_tuple_bytes_cv,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_region_tuple_bytes_max_share,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_region_tuple_bytes_max_share,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,regional_temp_written_blocks_sum,region,log1p,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,regional_temp_written_blocks_sum,region,log1p,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,regional_spill_present,region,identity,False,region,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,regional_spill_present,region,identity,True,region,unchanged_existing_93_candidate_contract
coordinator_physical,remote_citus_map_merge_job_count_sum,citus,log1p,False,citus,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_citus_map_merge_job_count_sum,citus,log1p,True,citus,unchanged_existing_93_candidate_contract
coordinator_physical,remote_citus_dependent_map_task_count_sum,citus,log1p,False,citus,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_citus_dependent_map_task_count_sum,citus,log1p,True,citus,unchanged_existing_93_candidate_contract
coordinator_physical,remote_citus_repartition_fanout_ratio_max,citus,log1p,False,citus,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,remote_citus_repartition_fanout_ratio_max,citus,log1p,True,citus,unchanged_existing_93_candidate_contract
coordinator_physical,citus_repartition_observed_v2,citus,identity,False,citus,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,citus_repartition_observed_v2,citus,identity,True,citus,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_actual_rows_sum,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_actual_rows_sum,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_actual_rows_cv,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_actual_rows_cv,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_actual_rows_max_share,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_actual_rows_max_share,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_scan_actual_rows_sum,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_scan_actual_rows_sum,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_scan_actual_rows_cv,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_scan_actual_rows_cv,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_scan_actual_rows_max_share,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_scan_actual_rows_max_share,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_actual_time_sum,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_actual_time_sum,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_actual_time_cv,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_actual_time_cv,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_actual_time_max_share,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_actual_time_max_share,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_seq_scan_share,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_seq_scan_share,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_index_scan_share,worker,identity,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_index_scan_share,worker,identity,True,worker,unchanged_existing_93_candidate_contract
coordinator_physical,worker_task_join_node_count,worker,log1p,False,worker,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,worker_task_join_node_count,worker,log1p,True,worker,unchanged_existing_93_candidate_contract
