mode,decision_count,recommendation_count,abstention_count,coverage,strict_top1,tie_aware_top1,mean_regret_log2,median_nearest_distance,bootstrap_clusters,coverage_ci_low,coverage_ci_high,strict_top1_ci_low,strict_top1_ci_high,tie_aware_top1_ci_low,tie_aware_top1_ci_high,mean_regret_log2_ci_low,mean_regret_log2_ci_high
static_action_median,15,15,0,1.0,0.5333333333333333,0.5333333333333333,0.38939035114003967,0.0,15,1.0,1.0,0.26666666666666666,0.8,0.26666666666666666,0.8,0.12146837452959709,0.7075455392029713
frozen_transfer,15,0,15,0.0,,,,5.005053904350432,15,0.0,0.0,,,,,,
prequential_full_feedback,15,14,1,0.9333333333333333,0.5714285714285714,0.5714285714285714,0.3522188218792803,0.5686667204009199,15,0.8,1.0,0.3076923076923077,0.8333333333333334,0.3076923076923077,0.8333333333333334,0.06783725490672314,0.682517704814976
partial_feedback_round_robin,15,14,1,0.9333333333333333,0.5714285714285714,0.5714285714285714,0.30372023595737035,0.5686667204009199,15,0.8,1.0,0.3076923076923077,0.8461538461538461,0.3076923076923077,0.8461538461538461,0.07013280007945764,0.5878719285941371
partial_feedback_random_seed_11,15,6,9,0.4,0.5,0.5,0.44785636422978964,0.5686667204009199,15,0.13333333333333333,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0450210322911042
partial_feedback_random_seed_29,15,13,2,0.8666666666666667,0.38461538461538464,0.38461538461538464,0.5592743101722575,0.5686667204009199,15,0.6666666666666666,1.0,0.14285714285714285,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.19668071313422006,0.9636759318121052
partial_feedback_random_seed_47,15,14,1,0.9333333333333333,0.6428571428571429,0.6428571428571429,0.1869240799440223,0.5686667204009199,15,0.8,1.0,0.38461538461538464,0.8666666666666667,0.38461538461538464,0.8666666666666667,0.03251973660661909,0.3865364773101258
partial_feedback_random_seed_71,15,12,3,0.8,0.6666666666666666,0.6666666666666666,0.14226211320213675,0.5686667204009199,15,0.6,1.0,0.38461538461538464,0.9166666666666666,0.38461538461538464,0.9166666666666666,0.016949630691408275,0.3381596172134348
partial_feedback_random_seed_101,15,12,3,0.8,0.6666666666666666,0.6666666666666666,0.25420360694937355,0.5686667204009199,15,0.6,1.0,0.38461538461538464,0.9166666666666666,0.38461538461538464,0.9166666666666666,0.016949630691408275,0.5780838765098577
