condition_id,batch_id,pressure_axis,expected_pressure_axes,expected_pressure_count,intervention_role,variant,pressure_level,pair_id,pressure_pair_key,physical_strategy_id,coordinator_pressure_kind,coordinator_shape_id,scenario_level,join_shape_id,planned_counterfactual_pair,result_equivalence_status,is_negative_control,is_calibration,network_subblock,template_id,logical_question_id,sql_shape_id,param_json,dataset_profile_id,dataset_size_class,dataset_skew_level,regional_distribution,runtime_config_id,topology_id,execution_strategy,physical_execution_count,repetition_count,stable_identity_valid,sentinel_flag
batch-120-skew-pilot-skew-heavy-v1::C::broad_filter_hot,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-8e3f860d37c26fbaff46485d,skew__broad_filter_hot,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_event_filter_summary,event_filter_summary,sql-72cd73805665fa1e,"{""as_of_unix"":1782864000,""lookback_days"":30,""min_value"":0}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::global_rollup,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-8eca008769b7725215de711f,skew__global_rollup,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_event_count_rollup,event_full_scan_summary,sql-db276908c61bec68,"{""as_of_unix"":1782864000,""lookback_days"":30}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::hot_worker_probe_high_cpu,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-6fb046d94aa340cf4889b0ea,skew__hot_worker_probe_high_cpu,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_hot_worker_probe,top_tenants,sql-b2114722c8cfaa95,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":10,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::hot_worker_probe_low_cpu,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-7a69efac769839209bd1598d,skew__hot_worker_probe_low_cpu,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_hot_worker_probe,top_tenants,sql-f59c214160655576,"{""as_of_unix"":1782864000,""cpu_terms"":32,""eu_hot_tenant_max"":10,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::selective_filter_control,batch-120-skew,worker_data_skew,,0,negative_control,stressed,stressed,pair-39769307522ec4750a195d8a,skew__selective_filter_control,cold_or_selective_control,,,,,True,pending_execution,True,False,not_applicable,gac_fdw_multiregion_event_filter_summary,event_filter_summary,sql-761cdd1358640ec9,"{""as_of_unix"":1782864000,""lookback_days"":1,""min_value"":950}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::tenant_point_cold_control,batch-120-skew,worker_data_skew,,0,negative_control,stressed,stressed,pair-dc1d936b604d4ee031fefcce,skew__tenant_point_cold_control,cold_or_selective_control,,,,,True,pending_execution,True,False,not_applicable,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,sql-8069030cefe0f921,"{""as_of_unix"":1782864000,""eu_tenant_id"":100,""lookback_days"":30,""us_tenant_id"":10100}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::tenant_point_hot,batch-120-skew,worker_data_skew,,0,negative_control,stressed,stressed,pair-d8499d518453d2a0e3374af5,skew__tenant_point_hot,hot_data_activation,,,,,True,pending_execution,True,False,not_applicable,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,sql-b936a94f75e5f3b1,"{""as_of_unix"":1782864000,""eu_tenant_id"":1,""lookback_days"":30,""us_tenant_id"":10001}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::top_tenants_full,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-e79fa1c1eab3537e9e1f973d,skew__top_tenants_full,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_top_tenants,top_tenants,sql-9838b088a2faee02,"{""as_of_unix"":1782864000,""limit_k"":100,""lookback_days"":30}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::top_tenants_medium,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-ec025ab7bcd318e1bc1fa014,skew__top_tenants_medium,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_top_tenants,top_tenants,sql-e1035e607263209c,"{""as_of_unix"":1782864000,""limit_k"":75,""lookback_days"":14}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-skew-heavy-v1::C::top_tenants_short,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,stressed,stressed,pair-8b4f5eabd6d83a6d4370ba77,skew__top_tenants_short,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_top_tenants,top_tenants,sql-dd792b80bcb5b60d,"{""as_of_unix"":1782864000,""limit_k"":50,""lookback_days"":7}",pilot-skew-heavy-v1,medium,heavy,balanced,default,eu_us_gac,,3,3,True,
