matrix,source_feature,output_feature,status,reason,transform,imputation,center,scale,null_fraction,non_null_count,distinct_non_null_count
m0,worker_task_within_region_rows_max_share_max,worker_task_within_region_rows_max_share_max__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_task_within_region_scan_rows_cv_max,worker_task_within_region_scan_rows_cv_max,kept,,identity,median,0.4096487428040341,0.16964510066514904,0.08,138,22
m0,worker_task_within_region_scan_rows_cv_max,worker_task_within_region_scan_rows_cv_max__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_task_within_region_scan_rows_cv_mean,worker_task_within_region_scan_rows_cv_mean,kept,,identity,median,0.30984898831738356,0.13913581291162783,0.08,138,22
m0,worker_task_within_region_scan_rows_cv_mean,worker_task_within_region_scan_rows_cv_mean__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_task_within_region_scan_rows_max_share_max,worker_task_within_region_scan_rows_max_share_max,kept,,identity,median,0.08957888848760233,0.18608302451121012,0.08,138,19
m0,worker_task_within_region_scan_rows_max_share_max,worker_task_within_region_scan_rows_max_share_max__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_task_within_region_plan_fingerprint_count_max,worker_task_within_region_plan_fingerprint_count_max__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_task_within_region_plan_fingerprint_count_mean,worker_task_within_region_plan_fingerprint_count_mean__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,main_node_type_count_Aggregate,main_node_type_count_Aggregate,kept,,identity,none,2.36,1.0910545357588686,0.0,150,4
m0,main_node_type_count_Append,main_node_type_count_Append,kept,,identity,none,0.9,0.3,0.0,150,2
m0,main_node_type_count_ForeignScan,main_node_type_count_ForeignScan,kept,,identity,none,2.52,1.4316424134538623,0.0,150,4
m0,main_node_type_count_Limit,main_node_type_count_Limit,kept,,identity,none,0.7,0.458257569495584,0.0,150,2
m0,main_node_type_count_MergeJoin,main_node_type_count_MergeJoin,kept,,identity,none,0.32,0.7332121111929343,0.0,150,2
m0,main_node_type_count_Sort,main_node_type_count_Sort,kept,,identity,none,2.24,2.6499811320083015,0.0,150,5
m0,main_node_type_count_SubqueryScan,main_node_type_count_SubqueryScan,kept,,identity,none,1.48,0.8772684879784524,0.0,150,2
m0,main_node_type_count_Hash,main_node_type_count_Hash,kept,,identity,none,0.36,1.1092339699089637,0.0,150,3
m0,main_node_type_count_HashJoin,main_node_type_count_HashJoin,kept,,identity,none,0.36,1.1092339699089637,0.0,150,3
m0,main_node_type_count_IncrementalSort,main_node_type_count_IncrementalSort,kept,,identity,none,0.26,0.4386342439892262,0.0,150,2
m0,main_node_type_count_SeqScan,main_node_type_count_SeqScan,kept,,identity,none,0.04,0.19595917942265423,0.0,150,2
m0,main_node_type_count_MergeAppend,main_node_type_count_MergeAppend,kept,,identity,none,0.02,0.13999999999999999,0.0,150,2
m0,main_node_type_count_CustomScan,main_node_type_count_CustomScan,kept,,identity,none,0.04,0.19595917942265423,0.0,150,2
m0,worker_node_count_seq_scan,worker_node_count_seq_scan,kept,,log1p,median,4.18299267427619,0.8606228297349923,0.08,138,6
m0,worker_node_count_seq_scan,worker_node_count_seq_scan__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_index_scan,worker_node_count_index_scan__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_index_only_scan,worker_node_count_index_only_scan__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_bitmap_heap_scan,worker_node_count_bitmap_heap_scan,kept,,identity,median,0.06666666666666667,0.339934634239519,0.08,138,3
m0,worker_node_count_bitmap_heap_scan,worker_node_count_bitmap_heap_scan__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_bitmap_index_scan,worker_node_count_bitmap_index_scan,kept,,identity,median,0.06666666666666667,0.339934634239519,0.08,138,3
m0,worker_node_count_bitmap_index_scan,worker_node_count_bitmap_index_scan__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,worker_node_count_hash_join,worker_node_count_hash_join__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
