matrix,query_run_id,kept,reason
m0,20260702T014528Z-clean-run-eu-us-gac-region-asymmetry--6f634031aeff--__limit_k-250__payload_repeat-16__payload_width-512,1,
m0,20260702T014548Z-clean-run-eu-us-gac-region-asymmetry--d29c00d8343b--_rollup__lookback_days-7__min_value-500__limit_k-50,1,
m0,20260702T014610Z-clean-run-eu-us-gac-region-asymmetry--c06dbda276d7--_event_filter_summary__lookback_days-1__min_value-0,1,
m0,20260702T014811Z-clean-run-eu-us-gac-region-asymmetry--1a6cf824c757--ault__q10_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T014828Z-clean-run-eu-us-gac-region-asymmetry--29416c2c41fc--fault__q10_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T015102Z-clean-run-eu-us-gac-region-asymmetry--c166f0aaa71d--egion_global_user_join__lookback_days-7__limit_k-50,1,
m0,20260702T015126Z-clean-run-eu-us-gac-region-asymmetry--d41c1c076221--__limit_k-100__payload_repeat-16__payload_width-512,1,
m0,20260702T015147Z-clean-run-eu-us-gac-region-asymmetry--73105330cf8c--ent_filter_summary__lookback_days-30__min_value-900,1,
m0,20260702T015210Z-clean-run-eu-us-gac-region-asymmetry--b0d2373bfa1b--t_rollup__lookback_days-30__min_value-0__limit_k-50,1,
m0,20260702T015236Z-clean-run-eu-us-gac-region-asymmetry--d82e1c951abf--nt_rollup__lookback_days-7__min_value-0__limit_k-50,1,
m0,20260702T015301Z-clean-run-eu-us-gac-region-asymmetry--df1e9707ff47--event_filter_summary__lookback_days-30__min_value-0,1,
m0,20260702T015321Z-clean-run-eu-us-gac-region-asymmetry--09341e7ee50e--__limit_k-250__payload_repeat-16__payload_width-512,1,
m0,20260702T015339Z-clean-run-eu-us-gac-region-asymmetry--079a967ee66a--nt_rollup__lookback_days-1__min_value-0__limit_k-50,1,
m0,20260702T015358Z-clean-run-eu-us-gac-region-asymmetry--30a71d69b7f1--_fdw_multiregion_raw_region_rollup__lookback_days-1,1,
m0,20260702T015416Z-clean-run-eu-us-gac-region-asymmetry--fa349b98c441--_event_filter_summary__lookback_days-7__min_value-0,1,
m0,20260702T015434Z-clean-run-eu-us-gac-region-asymmetry--6e2946b618af--ultiregion_top_tenants__lookback_days-1__limit_k-25,1,
m0,20260702T015451Z-clean-run-eu-us-gac-region-asymmetry--7671648e5c9b--ultiregion_top_tenants__lookback_days-1__limit_k-50,1,
m0,20260702T015509Z-clean-run-eu-us-gac-region-asymmetry--2172348787f9--egion_global_user_join__lookback_days-7__limit_k-25,1,
m0,20260702T015528Z-clean-run-eu-us-gac-region-asymmetry--47a7a207bfd3--vent_filter_summary__lookback_days-1__min_value-500,1,
m0,20260702T015543Z-clean-run-eu-us-gac-region-asymmetry--f087fe22f99d--ultiregion_top_tenants__lookback_days-7__limit_k-50,1,
m0,20260702T015600Z-clean-run-eu-us-gac-region-asymmetry--718f3eaa6f8f--t_rollup__lookback_days-14__min_value-0__limit_k-50,1,
m0,20260702T015617Z-clean-run-eu-us-gac-region-asymmetry--335454cf51b0--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1,
m0,20260702T015632Z-clean-run-eu-us-gac-region-asymmetry--2ee951e037e4--_rollup__lookback_days-7__min_value-500__limit_k-50,1,
m0,20260702T015647Z-clean-run-eu-us-gac-region-asymmetry--43736f2d47cb--ulti_dimension_rollup__lookback_days-7__limit_k-100,1,
m0,20260702T015705Z-clean-run-eu-us-gac-region-asymmetry--b0e4c0e85729--multi_dimension_rollup__lookback_days-7__limit_k-50,1,
m0,20260702T015725Z-clean-run-eu-us-gac-region-asymmetry--3332e590ebe4--ent_filter_summary__lookback_days-30__min_value-500,1,
m0,20260702T015743Z-clean-run-eu-us-gac-region-asymmetry--d307fb9fc759--ulti_dimension_rollup__lookback_days-30__limit_k-50,1,
m0,20260702T015802Z-clean-run-eu-us-gac-region-asymmetry--8712b57d3901--__gac_etl_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T015817Z-clean-run-eu-us-gac-region-asymmetry--3efaacbb38d0--_rollup__lookback_days-1__min_value-500__limit_k-50,1,
m0,20260702T015832Z-clean-run-eu-us-gac-region-asymmetry--ab2fecb10b69--ltiregion_top_tenants__lookback_days-30__limit_k-50,1,
m0,20260702T015849Z-clean-run-eu-us-gac-region-asymmetry--9da4ca628521--gion_user_segment_join__lookback_days-7__limit_k-50,1,
m0,20260702T015908Z-clean-run-eu-us-gac-region-asymmetry--bdeac4bbe9e6--ltiregion_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T015925Z-clean-run-eu-us-gac-region-asymmetry--fecf31322963--rollup__lookback_days-30__min_value-500__limit_k-50,1,
m0,20260702T015943Z-clean-run-eu-us-gac-region-asymmetry--92aeca902928--gion_user_segment_join__lookback_days-7__limit_k-25,1,
m0,20260702T020003Z-clean-run-eu-us-gac-region-asymmetry--714c774c5016--ion_user_segment_join__lookback_days-30__limit_k-25,1,
m0,20260702T020025Z-clean-run-eu-us-gac-region-asymmetry--b14e1737d4f6--ultiregion_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T020045Z-clean-run-eu-us-gac-region-asymmetry--787ab853f103--vent_filter_summary__lookback_days-1__min_value-900,1,
m0,20260702T020102Z-clean-run-eu-us-gac-region-asymmetry--d4bb1667bfa8--ion_user_segment_join__lookback_days-30__limit_k-50,1,
m0,20260702T020125Z-clean-run-eu-us-gac-region-asymmetry--debf69e18bda--__limit_k-100__payload_repeat-16__payload_width-512,1,
m0,20260702T020146Z-clean-run-eu-us-gac-region-asymmetry--a22ae174afd1--t__gac_etl_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T020203Z-clean-run-eu-us-gac-region-asymmetry--a4346e08af2f--_event_filter_summary__lookback_days-1__min_value-0,1,
m0,20260702T020220Z-clean-run-eu-us-gac-region-asymmetry--f98ea0a8c22d--fdw_multiregion_raw_region_rollup__lookback_days-30,1,
m0,20260702T020237Z-clean-run-eu-us-gac-region-asymmetry--f3b4dba3e0b9--lti_dimension_rollup__lookback_days-30__limit_k-100,1,
m0,20260702T020258Z-clean-run-eu-us-gac-region-asymmetry--5e9920259f2f--vent_filter_summary__lookback_days-7__min_value-500,1,
m0,20260702T020318Z-clean-run-eu-us-gac-region-asymmetry--a7b1ee5e3740--c_fdw_multiregion_event_full_scan_summary__case-001,1,
m0,20260702T020338Z-clean-run-eu-us-gac-region-asymmetry--ec81021196ed--gion_global_user_join__lookback_days-30__limit_k-25,1,
m0,20260702T020405Z-clean-run-eu-us-gac-region-asymmetry--16330cf3da59--egion_tenant_tier_join__lookback_days-7__limit_k-50,1,
m0,20260702T020423Z-clean-run-eu-us-gac-region-asymmetry--e94254ff941c--__limit_k-250__payload_repeat-16__payload_width-512,1,
m0,20260702T020440Z-clean-run-eu-us-gac-region-asymmetry--fe7d15492a90--_fdw_multiregion_raw_region_rollup__lookback_days-7,1,
m0,20260702T020457Z-clean-run-eu-us-gac-region-asymmetry--accc76ae5dc6--gion_global_user_join__lookback_days-30__limit_k-50,1,
m0,20260702T020517Z-clean-run-eu-us-gac-region-asymmetry--2996e5870893--u_tenant_id-1__us_tenant_id-10001__lookback_days-30,1,
m0,20260702T020532Z-clean-run-eu-us-gac-region-asymmetry--38166dafd700--rollup__lookback_days-14__min_value-500__limit_k-50,1,
m0,20260702T020549Z-clean-run-eu-us-gac-region-asymmetry--0e2a3e3038b0--vent_filter_summary__lookback_days-7__min_value-900,1,
m0,20260702T020654Z-clean-run-eu-us-gac-region-asymmetry--d4ed604de8be--fault__q10_top_tenants__lookback_days-7__limit_k-25,1,
m0,20260702T020709Z-clean-run-eu-us-gac-region-asymmetry--571cf0da746a--ault__q10_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T020858Z-clean-run-eu-us-gac-region-asymmetry--bb2d5144689f--t_rollup__lookback_days-14__min_value-0__limit_k-50,1,
m0,20260702T020917Z-clean-run-eu-us-gac-region-asymmetry--a2d3b5d90741--t_rollup__lookback_days-30__min_value-0__limit_k-50,1,
m0,20260702T020934Z-clean-run-eu-us-gac-region-asymmetry--2f9ad7c3032c--ltiregion_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T020950Z-clean-run-eu-us-gac-region-asymmetry--2bb3dbcc5fa5--ultiregion_top_tenants__lookback_days-7__limit_k-50,1,
m0,20260702T021008Z-clean-run-eu-us-gac-region-asymmetry--11400cb5dd0d--__limit_k-250__payload_repeat-16__payload_width-512,1,
