k,representative_seed,objective,converged_seed_count,silhouette_hard_labels,partition_coefficient,modified_partition_coefficient,partition_entropy,normalized_partition_entropy,xie_beni_index,avg_max_membership,avg_top2_margin,cluster_min_share,cluster_max_share,seed_ari_mean,seed_ari_min,seed_ari_max
2,0,391.74194297653406,10,0.5098727403588448,0.846988117320044,0.693976234640088,0.2557099494606419,0.3689114759928356,0.2267970722598874,0.8971933771651059,0.794386754330212,0.4959266802443992,0.5040733197556008,1.0,1.0,1.0
3,1,191.32420139232335,10,0.606930253688556,0.8758978087204629,0.8138467130806941,0.24617037840126343,0.2240739348544019,0.1296470664002616,0.9219248600968613,0.8687890919808892,0.1425661914460285,0.4959266802443992,1.0,1.0,1.0
4,5,142.89008418336866,10,0.6095309433990855,0.8337922200664419,0.7783896267552559,0.3483120047714823,0.25125400098295525,0.2883195167878031,0.8952554066316043,0.8337009251565252,0.12067209775967414,0.4959266802443992,0.8925959119131807,0.559441844413962,1.0
5,9,113.90567013949835,10,0.46644688366573533,0.7601647296970632,0.7002059121213289,0.48150917160378304,0.2991784696282894,0.6948069388169625,0.8397706937110762,0.7346312923826854,0.12067209775967414,0.28105906313645623,0.752187197675356,0.6047240851707393,1.0
6,4,88.48421730288095,10,0.47621239384181446,0.7709505622813219,0.7251406747375863,0.47048045232675345,0.26258014002819857,0.5331033208962638,0.8388067268973818,0.7407295356710718,0.09623217922606925,0.28105906313645623,0.9338710426716232,0.6693552133581168,1.0
7,8,69.12456397216378,10,0.5042584304443016,0.7875475653473814,0.7521388262386116,0.4470984729448182,0.2297631641223889,0.4128311867695782,0.8537206082962358,0.7623157028628897,0.024439918533604887,0.28105906313645623,0.8355722172436871,0.49116948341148353,1.0
8,6,59.15233851696753,10,0.5110148651965465,0.7915889678669521,0.7618159632765167,0.4482046077747588,0.21554085498007583,0.3522073161540246,0.8569885453586766,0.767242103792346,0.020366598778004074,0.28105906313645623,0.8846317191963015,0.7757668705934077,1.0
