k,seed,objective,iterations,converged,silhouette_hard_labels,partition_coefficient,modified_partition_coefficient,partition_entropy,normalized_partition_entropy,xie_beni_index,avg_max_membership,avg_top2_margin,cluster_min_share,cluster_max_share
2,0,391.74194297653406,12,True,0.5098727403588448,0.846988117320044,0.693976234640088,0.2557099494606419,0.3689114759928356,0.2267970722598874,0.8971933771651059,0.794386754330212,0.4959266802443992,0.5040733197556008
2,1,391.74194555830906,12,True,0.5098727403588448,0.8469903894326515,0.693980778865303,0.25570703999003563,0.3689072785140203,0.22680010416018925,0.8971961339047447,0.7943922678094895,0.4959266802443992,0.5040733197556008
2,2,391.7419545263482,12,True,0.5098727403588448,0.8469967774420282,0.6939935548840563,0.25569886060119357,0.3688954781503003,0.22680865607263273,0.8972038830649187,0.7944077661298374,0.4959266802443992,0.5040733197556008
2,3,391.7419549177677,12,True,0.5098727403588448,0.8469970216873393,0.6939940433746785,0.255698547766358,0.3688950268250344,0.226808979196414,0.8972041797192962,0.7944083594385923,0.4959266802443992,0.5040733197556008
2,4,391.74195299056055,12,True,0.5098727403588448,0.8469957995366727,0.6939915990733454,0.25570011274889304,0.3688972846175768,0.22680734682819903,0.8972026966940636,0.7944053933881272,0.4959266802443992,0.5040733197556008
2,5,391.74194328073,16,True,0.5098727403588448,0.8469884007229866,0.6939768014459733,0.2557095865079013,0.36891095236271665,0.2267974482265474,0.897193721199778,0.7943874423995562,0.4959266802443992,0.5040733197556008
2,6,391.741943987819,13,True,0.5098727403588448,0.8469890410885447,0.6939780821770893,0.25570876655389124,0.36890976941913256,0.2267983044496766,0.897194497986427,0.7943889959728544,0.4959266802443992,0.5040733197556008
2,7,391.7419497859339,13,True,0.5098727403588448,0.8469936259828947,0.6939872519657895,0.25570289567695653,0.3689012995340932,0.22680443020195104,0.8972000604990295,0.7944001209980591,0.4959266802443992,0.5040733197556008
2,8,391.74194298073826,13,True,0.5098727403588448,0.8469881213634873,0.6939762427269747,0.2557099442717049,0.36891146850678186,0.22679707718456682,0.8971933821121858,0.7943867642243716,0.4959266802443992,0.5040733197556008
2,9,391.7419550773793,13,True,0.5098727403588448,0.8469971206513567,0.6939942413027134,0.25569842100933055,0.3688948439532995,0.226809110052914,0.8972042999249448,0.7944085998498897,0.4959266802443992,0.5040733197556008
3,0,191.32420187707433,14,True,0.606930253688556,0.8758974246364079,0.8138461369546116,0.2461746581172398,0.22407783041976242,0.12965240106313972,0.9219274308718421,0.8687943476606187,0.1425661914460285,0.4959266802443992
3,1,191.32420139232335,16,True,0.606930253688556,0.8758978087204629,0.8138467130806941,0.24617037840126343,0.2240739348544019,0.1296470664002616,0.9219248600968613,0.8687890919808892,0.1425661914460285,0.4959266802443992
3,2,191.32420377116546,13,True,0.606930253688556,0.8758968154729965,0.8138452232094947,0.24616994801802367,0.22407354310269462,0.129642480844806,0.9219220178383678,0.868784166711796,0.1425661914460285,0.4959266802443992
3,3,191.32420159337167,16,True,0.606930253688556,0.8758977207267067,0.81384658109006,0.2461702000965853,0.2240737725544896,0.12964643732173728,0.9219244927397533,0.8687884300672172,0.1425661914460285,0.4959266802443992
