cluster,feature,family,fuzzy_mass,raw_fuzzy_mean,raw_global_median,semantic_fuzzy_mean,semantic_global_mean,semantic_deviation,absolute_semantic_deviation
0,foreign_scan_time_to_root_ratio,remote_fanin_fetch,384.9361075778788,0.3518714998743851,0.9721002485399965,0.1359599799893052,0.2658000670761256,-0.12984008708682038,0.12984008708682038
0,remote_to_final_rows_ratio,remote_fanin_fetch,384.9361075778788,371.2622450435309,5050.5,0.7608952712065153,0.7397157385114298,0.021179532695085546,0.021179532695085546
0,regional_input_to_wan_rows_ratio,remote_fanin_fetch,384.9361075778788,191.05502292371006,1.0,0.4337057835714296,0.35808414119408805,0.07562164237734154,0.07562164237734154
0,global_group_merge_ratio,regional_reduction,384.9361075778788,12956.68526048738,8000.0,0.8898310387646918,0.7739536284717016,0.11587741029299026,0.11587741029299026
0,spill_present,normalized_spill_pressure,384.9361075778788,0.008025908186252907,1.0,0.008025908186252907,0.5040733197556008,-0.49604741156934784,0.49604741156934784
0,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,384.9361075778788,0.063224233718715,2.979439252336449,0.004368854227249327,0.3326901871004417,-0.3283213328731924,0.3283213328731924
0,temp_blocks_per_final_row,normalized_spill_pressure,384.9361075778788,6.528633950610112,10.552,0.006947293923203294,0.4412884298605111,-0.4343411359373078,0.4343411359373078
0,hash_batch_excess,normalized_spill_pressure,384.9361075778788,0.001075295141035307,0.0,0.00024216257770339101,0.01006143394932003,-0.00981927137161664,0.00981927137161664
0,remote_region_rows_isf_normalized,skew_imbalance,384.9361075778788,0.056958857539544175,0.0,0.020104680043804276,0.02444688752107078,-0.004342207477266505,0.004342207477266505
0,worker_task_scan_rows_isf_normalized,skew_imbalance,384.9361075778788,0.057733560566869395,0.0106935215946843,0.020378125775796476,0.04264477628150961,-0.022266650505713134,0.022266650505713134
0,worker_scan_rows_cv_normalized,skew_imbalance,384.9361075778788,0.0622202313550998,0.03,0.021961779039849933,0.0816457313713458,-0.05968395233149587,0.05968395233149587
0,task_count_to_shard_count_ratio,citus_topology_normalized,384.9361075778788,0.5760340152832581,1.0,0.22648094123423676,0.3395150997638249,-0.11303415852958812,0.11303415852958812
0,active_task_share,citus_topology_normalized,384.9361075778788,0.5650890684237209,1.0,0.2213619601345989,0.29635754942385556,-0.07499558928925665,0.07499558928925665
0,citus_repartition_observed_v2,citus_topology_normalized,384.9361075778788,0.003071818478946314,0.0,0.003071818478946314,0.020366598778004074,-0.01729478029905776,0.01729478029905776
0,worker_task_seq_scan_share,citus_topology_normalized,384.9361075778788,0.08634627832421093,1.0,0.03047751260594238,0.6003054989816701,-0.5698279863757277,0.5698279863757277
0,root_rows_estimate_error_log,estimate_error,384.9361075778788,-0.37716835986662395,0.0,0.4653233386452923,0.4968457424850376,-0.031522403839745305,0.031522403839745305
0,foreign_scan_rows_estimate_error_log,estimate_error,384.9361075778788,2.5727617084653387,4.475907850233953,0.6130261274750979,0.7738827209321529,-0.16085659345705505,0.16085659345705505
0,aggregate_rows_estimate_error_log,estimate_error,384.9361075778788,-0.540283479891205,0.0,0.4500810249999175,0.5608225148452831,-0.11074148984536564,0.11074148984536564
0,remote_root_rows_estimate_error_log,estimate_error,384.9361075778788,1.8695840124300407,0.693142180597445,0.6569754529077454,0.6458226778084181,0.011152775099327328,0.011152775099327328
1,foreign_scan_time_to_root_ratio,remote_fanin_fetch,890.9456897322583,0.9668590155066717,0.9721002485399965,0.3782729160150349,0.2658000670761256,0.1124728489389093,0.1124728489389093
1,remote_to_final_rows_ratio,remote_fanin_fetch,890.9456897322583,35105.79253986969,5050.5,0.9275590514760916,0.7397157385114298,0.18784331296466183,0.18784331296466183
1,regional_input_to_wan_rows_ratio,remote_fanin_fetch,890.9456897322583,28.380431900255857,1.0,0.3915175751771025,0.35808414119408805,0.03343343398301446,0.03343343398301446
1,global_group_merge_ratio,regional_reduction,890.9456897322583,35112.44088570445,8000.0,0.9277236418452354,0.7739536284717016,0.1537700133735338,0.1537700133735338
1,spill_present,normalized_spill_pressure,890.9456897322583,0.9941603894129559,1.0,0.9941603894129559,0.5040733197556008,0.49008706965735516,0.49008706965735516
1,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,890.9456897322583,9.678853424095166,2.979439252336449,0.6644938420848729,0.3326901871004417,0.33180365498443126,0.33180365498443126
1,temp_blocks_per_final_row,normalized_spill_pressure,890.9456897322583,1212.2932816956593,10.552,0.8706364220432439,0.4412884298605111,0.4293479921827328,0.4293479921827328
1,hash_batch_excess,normalized_spill_pressure,890.9456897322583,0.07103638394369405,0.0,0.017797759818991322,0.01006143394932003,0.007736325869671292,0.007736325869671292
