query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3,dataset,ood_above_frozen_p99,distance_over_p99
20260726T062429Z-stats-ceb-portability-v1__stats-ceb---03395cb5d8a6--tegy_pilot__stats_ceb_multiregion_count__query_id-1,2,0.7524458026085695,0.7661124449309603,0.5526333125326077,0.34017695885777577,0.5975573703710115,0.15488843223755797,0.07656403405794437,0.7524458026085695,0.01610173109592816,stats_ceb_pilot_8_development,False,0.34288877972767434
20260726T062446Z-stats-ceb-portability-v1__stats-ceb---8c04301169a4--tegy_pilot__stats_ceb_multiregion_count__query_id-3,3,0.34837316533777946,1.2894187119813723,0.9301189907024803,0.7709552039108964,0.013979829455432746,0.3343933358823467,0.09257568137377613,0.2246578174060976,0.34837316533777946,stats_ceb_pilot_8_development,False,0.7771011005017251
20260726T062517Z-stats-ceb-portability-v1__stats-ceb---94e2fcaf7b0d--tegy_pilot__stats_ceb_multiregion_count__query_id-5,3,0.34837319990342663,1.2894186840665611,0.9301189705662004,0.7709551416025583,0.013979858761243025,0.3343933411421836,0.0925756693508389,0.22465778960355093,0.34837319990342663,stats_ceb_pilot_8_development,False,0.7771010376966777
20260726T062549Z-stats-ceb-portability-v1__stats-ceb---ed1f2b7e8006--tegy_pilot__stats_ceb_multiregion_count__query_id-9,1,0.8086002969859176,0.6718234278675436,0.48461816386876466,0.40273314318365616,0.7226165382237437,0.08494024597934668,0.8086002969859176,0.08598375876217393,0.020475698272561814,stats_ceb_pilot_8_development,False,0.40594364911078423
20260726T062607Z-stats-ceb-portability-v1__stats-ceb---ca88b75941fc--egy_pilot__stats_ceb_multiregion_count__query_id-50,3,0.34837313710463363,1.289418734782132,0.9301190071497517,0.7709552548042508,0.013979805518518185,0.33439333158611545,0.09257569119409141,0.22465784011515935,0.34837313710463363,stats_ceb_pilot_8_development,False,0.7771011518007908
20260726T062648Z-stats-ceb-portability-v1__stats-ceb---5ce991abff81--egy_pilot__stats_ceb_multiregion_count__query_id-75,1,0.798017492293513,0.6991380228146635,0.504321479205815,0.43105652015078627,0.7044384180636944,0.08500716412140985,0.798017492293513,0.09357907422981859,0.023396269355258494,stats_ceb_pilot_8_development,False,0.4344928142236587
20260726T062726Z-stats-ceb-portability-v1__stats-ceb---b7bc155fa1fc--gy_pilot__stats_ceb_multiregion_count__query_id-100,2,0.4069461270198668,1.287178108627256,0.9285027370286889,0.6765494852356836,0.11857083695031773,0.2883752900695491,0.11241518497991258,0.4069461270198668,0.1922633979306715,stats_ceb_pilot_8_development,False,0.6819427988208883
20260726T062741Z-stats-ceb-portability-v1__stats-ceb---c0ea5bf650f1--gy_pilot__stats_ceb_multiregion_count__query_id-130,3,0.3483731412842764,1.2894187314067012,0.9301190047148931,0.7709552472699823,0.013979809062145188,0.3343933322221312,0.09257568974028887,0.22465783675330356,0.3483731412842764,stats_ceb_pilot_8_development,False,0.7771011442064607
20260706T013604Z-clean-run-eu-us-gac-validation-holdo--6afad4e1ee02--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,0.829571858250547,0.5897017429584106,0.4253798900848386,0.29606268377566825,0.706900450045021,0.829571858250547,0.028880948120775008,0.122671408205526,0.018875785423152068,validation_holdout_195,False,0.2984228347022826
20260706T013621Z-clean-run-eu-us-gac-validation-holdo--2ca187faaa1f--_tenant_id-800__us_tenant_id-10005__lookback_days-7,0,0.8291401707174437,0.590723213703358,0.426116725473913,0.29639371828926303,0.7061601976134517,0.8291401707174437,0.02895956870148432,0.12297997310399206,0.01892028747707984,validation_holdout_195,False,0.29875650815505084
20260706T013636Z-clean-run-eu-us-gac-validation-holdo--f94398fc488b--eu_tenant_id-5__us_tenant_id-10005__lookback_days-7,0,0.829146722302333,0.5907078403619375,0.42610563595219836,0.2963887953184636,0.7061715076471268,0.829146722302333,0.02895842693359513,0.12297521465520625,0.01891963610886576,validation_holdout_195,False,0.298751545939339
20260706T013652Z-clean-run-eu-us-gac-validation-holdo--9ac46f2ecf7b--eu_tenant_id-5__us_tenant_id-10020__lookback_days-7,0,0.8298085062076974,0.5891414997729248,0.42497576005214255,0.2958814063440553,0.7073064265766148,0.8298085062076974,0.0288379642787293,0.12250207963108264,0.018851449882490844,validation_holdout_195,False,0.29824011216420526
20260706T013707Z-clean-run-eu-us-gac-validation-holdo--3b1285576de1--ion_user_segment_join__lookback_days-30__limit_k-25,1,0.9439599440233889,0.26763700393096906,0.19305928916479453,0.2568679360443948,0.9125970644847148,0.019038271532742082,0.9439599440233889,0.03136287953867412,0.005638904905194921,validation_holdout_195,False,0.25891563448967425
20260706T013731Z-clean-run-eu-us-gac-validation-holdo--0e27901b8f11--_tenant_id-100__us_tenant_id-10005__lookback_days-7,0,0.8291410444620195,0.5907211634710569,0.42611524654392624,0.2963930617427862,0.7061617059619242,0.8291410444620195,0.028959416430229007,0.12297933850009532,0.01892020060765607,validation_holdout_195,False,0.29875584637472025
20260706T013747Z-clean-run-eu-us-gac-validation-holdo--c79e989348d1--_tenant_id-100__us_tenant_id-10020__lookback_days-7,0,0.8297972990565741,0.5891678504021924,0.4249947680132269,0.29588983890302467,0.7072870798154027,0.8297972990565741,0.028839916691152108,0.12251021924117131,0.018852565011102624,validation_holdout_195,False,0.2982486119458033
20260706T013803Z-clean-run-eu-us-gac-validation-holdo--ea4fb74bc6c4--u_tenant_id-20__us_tenant_id-10005__lookback_days-7,0,0.8291174618286047,0.5907764981757567,0.426155162095956,0.29641078214860445,0.7061209952990073,0.8291174618286047,0.028963526353050804,0.12299646652959743,0.018922545288747226,validation_holdout_195,False,0.2987737080439753
20260706T013821Z-clean-run-eu-us-gac-validation-holdo--f34f95515e80--eu_tenant_id-1__us_tenant_id-10005__lookback_days-7,0,0.829115023856687,0.5907822184753648,0.4261592884198945,0.29641261408545333,0.7061167866465924,0.829115023856687,0.02896395124563619,0.12299823721009463,0.018922787687582255,validation_holdout_195,False,0.2987755545846486
20260706T013837Z-clean-run-eu-us-gac-validation-holdo--c463baa6f12c--t__gac_etl_top_tenants__lookback_days-7__limit_k-25,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394,validation_holdout_195,False,0.0782882058390247
20260706T013852Z-clean-run-eu-us-gac-validation-holdo--4dab244df949--multi_dimension_rollup__lookback_days-7__limit_k-50,1,0.931469913016711,0.31302215970627423,0.22579775874829747,0.2723971539219878,0.8928535228624466,0.022930919363686398,0.931469913016711,0.0386163901542644,0.006982777465338094,validation_holdout_195,False,0.2745686481036836
20260706T013912Z-clean-run-eu-us-gac-validation-holdo--3893118f88cf--eu_tenant_id-5__us_tenant_id-10100__lookback_days-7,0,0.8341081560347446,0.5789023051712437,0.41758974241487135,0.29259061166790645,0.7146884160269564,0.8341081560347446,0.028060408495024815,0.11941974000778818,0.018411695462442465,validation_holdout_195,False,0.29492308394857364
20260706T013928Z-clean-run-eu-us-gac-validation-holdo--70173d96795f--_tenant_id-800__us_tenant_id-10001__lookback_days-7,0,0.8295843279748235,0.5896724438539033,0.425358755248451,0.2960533055599575,0.7069219764563015,0.8295843279748235,0.028878775493413344,0.12266235151852198,0.018874545013241192,validation_holdout_195,False,0.2984133817253618
20260706T013943Z-clean-run-eu-us-gac-validation-holdo--b846dbf4b276--ultiregion_top_tenants__lookback_days-1__limit_k-25,1,0.987423588713926,0.07870455137874995,0.05677333298475659,0.13665888290331055,0.9799452128986823,0.003978708643102059,0.987423588713926,0.007478375815243715,0.0011193268277280715,validation_holdout_195,False,0.13774829945861922
20260706T013959Z-clean-run-eu-us-gac-validation-holdo--c03d0658fe49--_tenant_id-800__us_tenant_id-10100__lookback_days-7,0,0.829523575555195,0.589815179615821,0.4254617173363891,0.296098996236044,0.7068171005892693,0.829523575555195,0.028889360930413065,0.12270647496592565,0.018880588548466255,validation_holdout_195,False,0.29845943663813673
20260706T014014Z-clean-run-eu-us-gac-validation-holdo--41d122d45df2--u_tenant_id-20__us_tenant_id-10800__lookback_days-7,0,0.8300541400430775,0.5885596485158247,0.4245560430905658,0.2956932845121578,0.7077278716874753,0.8300541400430775,0.028793381524883054,0.12232626835560223,0.018826210076437096,validation_holdout_195,False,0.2980504906636896
20260706T014029Z-clean-run-eu-us-gac-validation-holdo--9fa9f89bba5f--_tenant_id-100__us_tenant_id-10800__lookback_days-7,0,0.8300570358450887,0.588552834599434,0.4245511278888729,0.2956911045939165,0.7077328706802539,0.8300570358450887,0.028792877122533866,0.12232416516483484,0.01882592186754271,validation_holdout_195,False,0.29804829336758765
20260706T014043Z-clean-run-eu-us-gac-validation-holdo--4239d3641b3e--ltiregion_top_tenants__lookback_days-30__limit_k-25,1,0.9879181426364567,0.07608610351903855,0.05488452211374061,0.13517951195123726,0.9807138376581307,0.003801038655762381,0.9879181426364567,0.007204304978326018,0.001076513729455029,validation_holdout_195,False,0.13625713526506472
20260706T014100Z-clean-run-eu-us-gac-validation-holdo--6bf3951b416b--_tenant_id-100__us_tenant_id-10100__lookback_days-7,0,0.8340520628415744,0.5790359273623719,0.41768613045111797,0.2926331848629932,0.7145915864033912,0.8340520628415744,0.02807015687650252,0.11946047643818328,0.01841730384373983,validation_holdout_195,False,0.29496599652843036
20260706T014114Z-clean-run-eu-us-gac-validation-holdo--20ad48545f75--egion_global_user_join__lookback_days-7__limit_k-25,1,0.986572346855674,0.08343869365871878,0.06018829477984349,0.14903469718673665,0.9788634962910856,0.004420592739749175,0.986572346855674,0.007708850564588363,0.0012982098399884632,validation_holdout_195,False,0.15022277119247487
20260706T014134Z-clean-run-eu-us-gac-validation-holdo--edeef37246d3--eu_tenant_id-1__us_tenant_id-10800__lookback_days-7,0,0.8300561368341483,0.5885549500071444,0.4245526538329795,0.2956917813564352,0.7077313187266414,0.8300561368341483,0.028793033715596557,0.12232481810750684,0.01882601134274827,validation_holdout_195,False,0.2980489755251182
20260706T014148Z-clean-run-eu-us-gac-validation-holdo--8aeaf311d7a5--ultiregion_top_tenants__lookback_days-7__limit_k-25,1,0.9880037414902386,0.07563290596855075,0.05455760918442473,0.1347257861471965,0.9808522534809333,0.003776740268515719,0.9880037414902386,0.0071514880093053535,0.0010680302319402586,validation_holdout_195,False,0.13579979245207444
20260706T014205Z-clean-run-eu-us-gac-validation-holdo--4abd0e59136a--u_tenant_id-20__us_tenant_id-10020__lookback_days-7,0,0.8300591894267263,0.5885477671171822,0.42454747247311564,0.2956894834087107,0.707736588388247,0.8300591894267263,0.02879250200460623,0.12232260103847921,0.01882570753018828,validation_holdout_195,False,0.2980466592586263
20260706T014219Z-clean-run-eu-us-gac-validation-holdo--6c8e66a2b0cb--gion_user_segment_join__lookback_days-7__limit_k-50,1,0.9473001220321595,0.2547229321189717,0.18374375548436825,0.2482476696709236,0.9175320454429727,0.017753517771273927,0.9473001220321595,0.02976807658918679,0.005178283607379702,validation_holdout_195,False,0.2502266491226117
20260706T014238Z-clean-run-eu-us-gac-validation-holdo--3fbfa661326e--ltiregion_top_tenants__lookback_days-30__limit_k-50,1,0.9876882327476634,0.07727748391690081,0.055743921409644716,0.13517422646604424,0.980323414393979,0.003856219788973263,0.9876882327476634,0.007364818353684447,0.0010907291096789,validation_holdout_195,False,0.13625180764506897
20260706T014255Z-clean-run-eu-us-gac-validation-holdo--c14ddb921d95--u_tenant_id-20__us_tenant_id-10100__lookback_days-7,0,0.8314031767373593,0.5853574016716603,0.4222461102696767,0.29466034750765313,0.7100430697752429,0.8314031767373593,0.028548878296992528,0.12136010696211644,0.018687838003531645,validation_holdout_195,False,0.2970093192974706
20260706T014309Z-clean-run-eu-us-gac-validation-holdo--1b118c01a429--eu_tenant_id-1__us_tenant_id-10020__lookback_days-7,0,0.8300890875354321,0.5884774123688007,0.42449672224981916,0.2956669765593079,0.7077882014358235,0.8300890875354321,0.028787294387309776,0.12230088609960857,0.018822731977649516,validation_holdout_195,False,0.2980239729892412
20260706T014324Z-clean-run-eu-us-gac-validation-holdo--f41fc86e6f25--eu_tenant_id-1__us_tenant_id-10100__lookback_days-7,0,0.8340961047430421,0.5789310148401073,0.41761045206331887,0.29259975828870627,0.7146676126353149,0.8340961047430421,0.028062502805127926,0.1194284921077272,0.018412900344102773,validation_holdout_195,False,0.29493230348435645
