contrast,query_condition_id,repetition_index,left_query_run_id,right_query_run_id,direct_signal,direct_signal_delta,semantic_feature_l2,membership_l1,dominant_cluster_changed,top_changed_feature,top_changed_feature_delta
A-D_regional_asymmetry,top_tenants__raw_gac_finalize,0,20260725T113720Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114938Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,remote_region_rows_isf_delta_d_minus_a,0.8,0.5322291610118322,0.516067347693671,0,remote_region_rows_isf_normalized,0.4618802153517007
A-D_regional_asymmetry,top_tenants__raw_gac_finalize,2,20260725T113737Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T115041Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,remote_region_rows_isf_delta_d_minus_a,0.8,0.5322297579231168,0.5160912727168425,0,remote_region_rows_isf_normalized,0.4618802153517007
A-D_regional_asymmetry,tenant_point__regional_reduced,1,20260725T113754Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115231Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,remote_region_rows_isf_delta_d_minus_a,0.0,0.3208753705707524,0.5478534698034137,0,worker_scan_rows_cv_normalized,0.19245008972987526
A-D_regional_asymmetry,tenant_point__raw_gac_finalize,1,20260725T113809Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115203Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,remote_region_rows_isf_delta_d_minus_a,0.0,0.3208753903207924,0.49886687069162,0,worker_scan_rows_cv_normalized,0.19245008972987526
A-D_regional_asymmetry,top_tenants__regional_reduced,1,20260725T113823Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114955Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,remote_region_rows_isf_delta_d_minus_a,0.8,0.532292017248404,0.5380511128671783,0,remote_region_rows_isf_normalized,0.4618802153517007
A-D_regional_asymmetry,top_tenants__regional_reduced,0,20260725T113840Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T115058Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,remote_region_rows_isf_delta_d_minus_a,0.8,0.5322919556385478,0.5380421355790894,0,remote_region_rows_isf_normalized,0.4618802153517007
A-D_regional_asymmetry,top_tenants__raw_gac_finalize,1,20260725T113856Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T115115Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,remote_region_rows_isf_delta_d_minus_a,0.8,0.5322292392423912,0.5160696954193141,0,remote_region_rows_isf_normalized,0.4618802153517007
A-D_regional_asymmetry,tenant_point__regional_reduced,0,20260725T113913Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115132Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,remote_region_rows_isf_delta_d_minus_a,0.0,0.3208753714298954,0.5478324606790359,0,worker_scan_rows_cv_normalized,0.19245008972987526
A-D_regional_asymmetry,tenant_point__raw_gac_finalize,2,20260725T113927Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115217Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,remote_region_rows_isf_delta_d_minus_a,0.0,0.32087537995070814,0.49865565334823325,0,worker_scan_rows_cv_normalized,0.19245008972987526
A-D_regional_asymmetry,tenant_point__regional_reduced,2,20260725T113941Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115027Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,remote_region_rows_isf_delta_d_minus_a,0.0,0.32087541088185284,0.5480689644106429,0,worker_scan_rows_cv_normalized,0.19245008972987526
A-D_regional_asymmetry,top_tenants__regional_reduced,2,20260725T113955Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T115146Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,remote_region_rows_isf_delta_d_minus_a,0.8,0.5322919919058618,0.5380483303210886,0,remote_region_rows_isf_normalized,0.4618802153517007
