cluster,feature,family,fuzzy_mass,raw_fuzzy_mean,raw_global_median,semantic_fuzzy_mean,semantic_global_mean,semantic_deviation,absolute_semantic_deviation
0,worker_task_seq_scan_share,citus_topology_normalized,384.9361075778788,0.08634627832421093,1.0,0.03047751260594238,0.6003054989816701,-0.5698279863757277,0.5698279863757277
0,spill_present,normalized_spill_pressure,384.9361075778788,0.008025908186252907,1.0,0.008025908186252907,0.5040733197556008,-0.49604741156934784,0.49604741156934784
0,temp_blocks_per_final_row,normalized_spill_pressure,384.9361075778788,6.528633950610112,10.552,0.006947293923203294,0.4412884298605111,-0.4343411359373078,0.4343411359373078
0,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,384.9361075778788,0.063224233718715,2.979439252336449,0.004368854227249327,0.3326901871004417,-0.3283213328731924,0.3283213328731924
0,foreign_scan_rows_estimate_error_log,estimate_error,384.9361075778788,2.5727617084653387,4.475907850233953,0.6130261274750979,0.7738827209321529,-0.16085659345705505,0.16085659345705505
0,foreign_scan_time_to_root_ratio,remote_fanin_fetch,384.9361075778788,0.3518714998743851,0.9721002485399965,0.1359599799893052,0.2658000670761256,-0.12984008708682038,0.12984008708682038
1,spill_present,normalized_spill_pressure,890.9456897322583,0.9941603894129559,1.0,0.9941603894129559,0.5040733197556008,0.49008706965735516,0.49008706965735516
1,temp_blocks_per_final_row,normalized_spill_pressure,890.9456897322583,1212.2932816956593,10.552,0.8706364220432439,0.4412884298605111,0.4293479921827328,0.4293479921827328
1,worker_task_seq_scan_share,citus_topology_normalized,890.9456897322583,0.9976604698005759,1.0,0.9963875606010367,0.6003054989816701,0.39608206161936665,0.39608206161936665
1,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,890.9456897322583,9.678853424095166,2.979439252336449,0.6644938420848729,0.3326901871004417,0.33180365498443126,0.33180365498443126
1,remote_to_final_rows_ratio,remote_fanin_fetch,890.9456897322583,35105.79253986969,5050.5,0.9275590514760916,0.7397157385114298,0.18784331296466183,0.18784331296466183
1,task_count_to_shard_count_ratio,citus_topology_normalized,890.9456897322583,1.9509329485278113,1.0,0.49997243111774486,0.3395150997638249,0.16045733135391999,0.16045733135391999
2,spill_present,normalized_spill_pressure,154.661801808009,0.03734393664244451,1.0,0.03734393664244451,0.5040733197556008,-0.46672938311315626,0.46672938311315626
2,temp_blocks_per_final_row,normalized_spill_pressure,154.661801808009,22.333850764518736,10.552,0.031942157558972055,0.4412884298605111,-0.409346272301539,0.409346272301539
2,spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,154.661801808009,0.34471461623159616,2.979439252336449,0.024149890692047635,0.3326901871004417,-0.30854029640839403,0.30854029640839403
2,worker_task_seq_scan_share,citus_topology_normalized,154.661801808009,0.932501097583886,1.0,0.8940326525907719,0.6003054989816701,0.29372715360910184,0.29372715360910184
2,remote_root_rows_estimate_error_log,estimate_error,154.661801808009,0.900187092881754,0.693142180597445,0.3927378441493692,0.6458226778084181,-0.2530848336590489,0.2530848336590489
2,remote_to_final_rows_ratio,remote_fanin_fetch,154.661801808009,6609.840730505188,5050.5,0.8596145633379993,0.7397157385114298,0.11989882482656955,0.11989882482656955
3,global_group_merge_ratio,regional_reduction,265.5868692362309,2993.5409015480786,8000.0,0.011318226132837918,0.7739536284717016,-0.7626354023388636,0.7626354023388636
3,remote_to_final_rows_ratio,remote_fanin_fetch,265.5868692362309,2252.4129322412964,5050.5,0.010246702809299969,0.7397157385114298,-0.7294690357021298,0.7294690357021298
3,worker_task_seq_scan_share,citus_topology_normalized,265.5868692362309,0.7492982055822294,1.0,0.01059427244850432,0.6003054989816701,-0.5897112265331658,0.5897112265331658
3,spill_present,normalized_spill_pressure,265.5868692362309,0.026992261360216523,1.0,0.026992261360216523,0.5040733197556008,-0.4770810583953842,0.4770810583953842
3,temp_blocks_per_final_row,normalized_spill_pressure,265.5868692362309,46.10489080666368,10.552,0.02438688862665523,0.4412884298605111,-0.41690154123385587,0.41690154123385587
3,regional_input_to_wan_rows_ratio,remote_fanin_fetch,265.5868692362309,6181.286957866462,1.0,0.010907347576136713,0.35808414119408805,-0.34717679361795134,0.34717679361795134
