algorithm,run_id,representative,silhouette_hard_labels,davies_bouldin,calinski_harabasz
FCM,seed-5,True,0.6095309433990855,1.066744693951012,2540.699667163815
K-means,seed-0,True,0.6095309433990855,1.066744693951012,2540.6996671638144
K-means,seed-1,False,0.5782315858271004,0.8437949449082274,2398.5571319677565
K-means,seed-2,False,0.6095309433990855,1.066744693951012,2540.699667163815
K-means,seed-3,False,0.5836061185908974,0.9112738886192246,2476.6120286091095
K-means,seed-4,False,0.61609998764176,0.7878336275245739,2197.279313272455
K-means,seed-5,False,0.576581515601267,1.090875926327807,2360.9244670297116
K-means,seed-6,False,0.6352486022504877,0.5746555059204967,2533.422440597033
K-means,seed-7,False,0.6352486022504877,0.5746555059204967,2533.422440597033
K-means,seed-8,False,0.6352486022504877,0.5746555059204967,2533.422440597033
K-means,seed-9,False,0.4568563168452236,0.8963330576623835,2162.7438918644825
Ward,deterministic,True,0.6060721089008155,1.1389962726911322,2421.270920930091
