dataset,row_count,v1_ood_count,v2_ood_count,v2_within_p99_count,v2_distance_median,v2_distance_p99,v2_max_distance_over_p99,v2_max_membership_median,v2_top2_margin_median,v2_ood_semantically_attributed_count
stats_ceb_pilot_8_development,8,1,0,8,0.7237523134191209,0.770955254276852,0.7771011518007908,0.3776596634616467,0.06627534785578038,0
validation_holdout_195,195,1,5,190,0.2956766030978281,1.0238247378666336,1.0330366190413462,0.8300878408963615,0.7077860493569915,5
stats_v2_first_12_development,12,7,0,12,0.6818361695612296,0.7709552653800205,0.7771011739142485,0.37579095853876854,0.06713443455775189,0
stats_v2b_confirmatory_12,12,5,0,12,0.6887353028083618,0.7709552924439619,0.7771012016113452,0.39909187546318015,0.10718796499138514,0
