condition_id,feature,repetition_count,median,mad,range
cond-0754ed1d08faa440d5bb,remote_to_final_rows_ratio,3,0.529271652580767,0.0,0.0
cond-0754ed1d08faa440d5bb,regional_input_to_wan_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-0754ed1d08faa440d5bb,global_group_merge_ratio,3,0.9167253932758316,0.0,0.0
cond-0754ed1d08faa440d5bb,spill_present,3,0.5,0.0,0.0
cond-0754ed1d08faa440d5bb,spill_bytes_to_wan_bytes_ratio,3,0.29232572353111586,0.0,0.0
cond-0754ed1d08faa440d5bb,temp_blocks_per_final_row,3,0.40660421671350155,0.0,0.0
cond-0754ed1d08faa440d5bb,hash_batch_excess,3,0.0,0.0,0.0
cond-0754ed1d08faa440d5bb,remote_region_rows_isf_normalized,3,0.0019923166615363128,0.0,0.0
cond-0754ed1d08faa440d5bb,worker_task_scan_rows_isf_normalized,3,0.004539842065604365,0.0,0.0
cond-0754ed1d08faa440d5bb,worker_scan_rows_cv_normalized,3,0.007012541654880754,0.0,0.0
cond-0754ed1d08faa440d5bb,task_count_to_shard_count_ratio,3,0.2649461597478896,0.0,0.0
cond-0754ed1d08faa440d5bb,active_task_share,3,0.19293142095945223,0.0,0.0
cond-0754ed1d08faa440d5bb,citus_repartition_observed_v2,3,0.0,0.0,0.0
cond-0754ed1d08faa440d5bb,worker_task_seq_scan_share,3,0.5,0.0,0.0
cond-0754ed1d08faa440d5bb,root_rows_estimate_error_log,3,0.25,0.0,0.0
cond-0754ed1d08faa440d5bb,foreign_scan_rows_estimate_error_log,3,0.468935595366647,3.4612568935443733e-06,7.185677280086011e-06
cond-0754ed1d08faa440d5bb,aggregate_rows_estimate_error_log,3,0.25,0.0,0.0
cond-0754ed1d08faa440d5bb,remote_root_rows_estimate_error_log,3,0.2494132380251841,0.0,0.0
cond-0815667b5c439756a642,foreign_scan_time_to_root_ratio,5,0.22238227018431425,3.014679381940777e-05,0.0001090994109557708
cond-0815667b5c439756a642,remote_to_final_rows_ratio,5,0.50884825662058,0.0,0.0
cond-0815667b5c439756a642,regional_input_to_wan_rows_ratio,5,0.30593347330240334,0.0,0.0
cond-0815667b5c439756a642,global_group_merge_ratio,5,0.8813510338096907,0.0,0.0
cond-0815667b5c439756a642,spill_present,5,0.0,0.0,0.0
cond-0815667b5c439756a642,spill_bytes_to_wan_bytes_ratio,5,0.0,0.0,0.0
cond-0815667b5c439756a642,temp_blocks_per_final_row,5,0.0,0.0,0.0
cond-0815667b5c439756a642,hash_batch_excess,5,0.0,0.0,0.0
cond-0815667b5c439756a642,remote_region_rows_isf_normalized,5,0.0,0.0,0.0
cond-0815667b5c439756a642,worker_task_scan_rows_isf_normalized,5,0.0,0.0,0.0
cond-0815667b5c439756a642,worker_scan_rows_cv_normalized,5,0.0,0.0,0.0
cond-0815667b5c439756a642,task_count_to_shard_count_ratio,5,0.0192738269154615,0.0,0.0
cond-0815667b5c439756a642,active_task_share,5,0.009791833335309523,0.0,0.0
cond-0815667b5c439756a642,citus_repartition_observed_v2,5,0.0,0.0,0.0
cond-0815667b5c439756a642,worker_task_seq_scan_share,5,0.0,0.0,0.0
cond-0815667b5c439756a642,root_rows_estimate_error_log,5,0.25,0.0,0.0
cond-0815667b5c439756a642,foreign_scan_rows_estimate_error_log,5,0.4599207302501056,0.0,0.0
cond-0815667b5c439756a642,aggregate_rows_estimate_error_log,5,0.25,0.0,0.0
cond-0815667b5c439756a642,remote_root_rows_estimate_error_log,5,0.47033775845242265,0.0,0.0
cond-109494aaf85c5b74f7dc,foreign_scan_time_to_root_ratio,3,0.22265235646057127,1.5157252434838675e-06,1.1553703691796757e-05
cond-109494aaf85c5b74f7dc,remote_to_final_rows_ratio,3,0.5427626823639022,0.0,0.0
cond-109494aaf85c5b74f7dc,regional_input_to_wan_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-109494aaf85c5b74f7dc,global_group_merge_ratio,3,0.9400925423066469,0.0,0.0
cond-109494aaf85c5b74f7dc,spill_present,3,0.0,0.0,0.0
cond-109494aaf85c5b74f7dc,spill_bytes_to_wan_bytes_ratio,3,0.0,0.0,0.0
cond-109494aaf85c5b74f7dc,temp_blocks_per_final_row,3,0.0,0.0,0.0
cond-109494aaf85c5b74f7dc,hash_batch_excess,3,0.0,0.0,0.0
cond-109494aaf85c5b74f7dc,remote_region_rows_isf_normalized,3,0.00854166793729362,0.0,0.0
cond-109494aaf85c5b74f7dc,worker_task_scan_rows_isf_normalized,3,0.009482253937425324,0.0,0.0
cond-109494aaf85c5b74f7dc,worker_scan_rows_cv_normalized,3,0.028614179921519677,0.0,0.0
cond-109494aaf85c5b74f7dc,task_count_to_shard_count_ratio,3,0.2649461597478896,0.0,0.0
cond-109494aaf85c5b74f7dc,active_task_share,3,0.19293142095945223,0.0,0.0
