query_run_id,hard_cluster,max_membership,top2_margin,membership_entropy,nearest_center_distance,nearest_center_distance_baseline_percentile,display_state,membership_c0,membership_c1,membership_c2,membership_c3,frozen_p99_threshold,ood_above_frozen_p99,nearest_distance_over_p99,scaled_feature_fingerprint,query_id
20260727T124950Z-stats-ceb-full-no-refit-v1__stats-ce--689eb9dd8414--_no_refit__stats_ceb_multiregion_count__query_id-92,2,0.2883064093856237,0.03853558105899735,1.3812649451687602,15.13487671033521,1.0,weak_prototype_coverage,0.2178407576600278,0.24408200462772212,0.2883064093856237,0.24977082832662634,11.30732349021444,True,1.3385021418581686,5122b364196275f6c06e1b1b9d37a9ed75d50a8a1d5f2f4bf291b26dad076c42,92
20260727T125006Z-stats-ceb-full-no-refit-v1__stats-ce--2ba6c6518311--_no_refit__stats_ceb_multiregion_count__query_id-93,0,0.2500280572795661,3.159494064652879e-05,1.3862943589179215,3232.021017175381,1.0,weak_prototype_coverage,0.2500280572795661,0.2499964623389196,0.24998832205139798,0.2499871583301163,11.30732349021444,True,285.83431083159775,d79f87813948d9124f8b396707e6dd0d1e9dbb261c8f1bee6dcddae971b09b14,93
20260727T125059Z-stats-ceb-full-no-refit-v1__stats-ce--987611190541--_no_refit__stats_ceb_multiregion_count__query_id-94,0,0.2931418731631933,0.04209860759064943,1.3804033701785698,26.08894170912824,1.0,weak_prototype_coverage,0.2931418731631933,0.25104326557254386,0.21896175109404095,0.23685311017022198,11.30732349021444,True,2.3072605760068754,b3ca21025e689efb526afe1ee7b8264957d749687f81420c9f9552246d393261,94
20260727T125118Z-stats-ceb-full-no-refit-v1__stats-ce--fd3faaa10393--_no_refit__stats_ceb_multiregion_count__query_id-95,0,0.3828043731634711,0.1326738781816436,1.3332747008456403,9.98349442573348,0.9781059063136456,mixed_boundary,0.3828043731634711,0.2501304949818275,0.15918815211877305,0.20787697973592836,11.30732349021444,False,0.8829228627246205,6b506631cc243e231e660fe1d80121aa4af2ed7267da1500cd0c7ac2da0dfabc,95
20260727T125142Z-stats-ceb-full-no-refit-v1__stats-ce--852f591d0b8d--_no_refit__stats_ceb_multiregion_count__query_id-96,2,0.29953148812156977,0.05281651847448593,1.3786066301450137,14.30636559767405,1.0,weak_prototype_coverage,0.21302090079970462,0.24073264143164175,0.29953148812156977,0.24671496964708384,11.30732349021444,True,1.2652300617431733,027f44ae358fd25f6c53f48d367bb87e401ebaa4b94e2238895352fb516065af,96
20260727T125158Z-stats-ceb-full-no-refit-v1__stats-ce--42450d7b2c45--_no_refit__stats_ceb_multiregion_count__query_id-97,2,0.35465611508446093,0.08576536742824453,1.3345211326703859,5.706993337442593,0.905295315682281,mixed_boundary,0.13542941605377862,0.24102372120554394,0.35465611508446093,0.2688907476562164,11.30732349021444,False,0.5047165531596869,feb89b7c6c63937f3ab18c7d7e13ea6b09d93e69d11b894319e461c99c4576cd,97
20260727T125243Z-stats-ceb-full-no-refit-v1__stats-ce--c7456aa7194e--_no_refit__stats_ceb_multiregion_count__query_id-98,0,0.2545578653320911,0.004763498135689964,1.3862316821831169,109.59791323038903,1.0,weak_prototype_coverage,0.2545578653320911,0.24979436719640116,0.2470690418925699,0.24857872557893784,11.30732349021444,True,9.692648602937469,3a23c5267fd5ce6554708953f78047824ed782caabdedd4a789b2a21796bc9b9,98
20260727T125315Z-stats-ceb-full-no-refit-v1__stats-ce--892b0264a82c--_no_refit__stats_ceb_multiregion_count__query_id-99,0,0.3206401954238064,0.03953333018603228,1.3593417500407816,13.299698175542316,0.9933808553971487,weak_prototype_coverage,0.3206401954238064,0.2811068652377741,0.16826362818565918,0.22998931115276042,11.30732349021444,True,1.1762021478426892,f825e2973c84db00b4123629dd697227a3c0e8bafd9058786f374eb688476f37,99
20260727T125449Z-stats-ceb-full-no-refit-v1__stats-ce--64b7a3f53030--no_refit__stats_ceb_multiregion_count__query_id-100,2,0.2859432333593677,0.03549376163165091,1.3817353903471157,15.277611995879623,1.0,weak_prototype_coverage,0.21877580345879977,0.2448314914541157,0.2859432333593677,0.2504494717277168,11.30732349021444,True,1.3511254019663577,b39b021abbe4b535b8a6fe87e3d15d5bcda9274a33ec97e1b4b8b0c93972efa8,100
20260727T125505Z-stats-ceb-full-no-refit-v1__stats-ce--380f8e37fae8--no_refit__stats_ceb_multiregion_count__query_id-101,2,0.28008151317719815,0.02756339729837115,1.3827143106597073,15.429523397922253,1.0,weak_prototype_coverage,0.22055738314733161,0.24684298779664318,0.28008151317719815,0.252518115878827,11.30732349021444,True,1.3645601818392512,8629fe6ee3251fb0bde73528905577160e3c98e9a47f92dde1222179c8f7a7ab,101
