mapmerge_observed,row_count,dominant_cluster_counts_json,nearest_center_distance_median,max_membership_median,top2_membership_margin_median,remote_to_final_rows_ratio_available_count,remote_to_final_rows_ratio_median,remote_to_final_rows_ratio_p90,regional_input_to_wan_rows_ratio_available_count,regional_input_to_wan_rows_ratio_median,regional_input_to_wan_rows_ratio_p90,worker_task_scan_rows_isf_available_count,worker_task_scan_rows_isf_median,worker_task_scan_rows_isf_p90,worker_scan_rows_cv_available_count,worker_scan_rows_cv_median,worker_scan_rows_cv_p90,active_task_share_available_count,active_task_share_median,active_task_share_p90,task_count_available_count,task_count_median,task_count_p90,temp_blocks_sum_available_count,temp_blocks_sum_median,temp_blocks_sum_p90
0,68,"{""0"": 10, ""1"": 43, ""2"": 15}",0.4041175299555231,0.7871648104808182,0.6806008256261065,68,388975.5,989879.9000000001,68,1.279712813310466,720676.1570000004,68,1.9675287687802157,10.730799278793729,68,0.0034098143438595,0.2116606702965858,68,1.0,1.0,68,128.0,194.60000000000002,68,8078.0,596085.8000000005
1,62,"{""1"": 10, ""3"": 52}",0.7709551907353721,0.34837317343920776,0.01397983632406985,62,1.0,890288.2999999997,62,1.0,1.0,10,1.9798394396843673,16.737039725119796,10,0.00326603872431425,0.5057866661194674,62,1.0,1.0,62,24.0,81.99999999999991,62,0.0,72418.8999999999
