query_run_id,k,dominant_cluster,nearest_center,nearest_center_distance,frozen_p99_threshold,ood_above_frozen_p99,max_membership,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2,membership_c3,distance_c3,query_id,table_count_stratum,execution_status,comparison_status,plan_fingerprint,remote_plan_fingerprint
20260727T120558Z-stats-ceb-full-no-refit-v1__stats-ce--a1744d5d9f76--_no_refit__stats_ceb_multiregion_count__query_id-28,3,1,1,0.22584820834948205,0.9794666794909843,False,0.9801215048121061,0.9645201435178198,0.00427713389360736,1.513077331919173,0.9801215048121061,0.22584820834948205,0.015601361294286391,0.9619616265215086,,,28,4,completed,passed,8ff11b1b0f878cbb27ad3a198822fac82c02e5e62d70e6e96165feb2497bd9ec,6ed01f521847f01429fc2fb679390ba96866ce821db94061174921be9e83207e
20260727T120625Z-stats-ceb-full-no-refit-v1__stats-ce--3e12a9896a01--_no_refit__stats_ceb_multiregion_count__query_id-29,3,2,2,0.6844177789065592,0.9794666794909843,False,0.5287489112389164,0.20496177540362392,0.3237871358352925,0.8125830260359987,0.14746395292579104,1.070085668571063,0.5287489112389164,0.6844177789065592,,,29,4,completed,passed,0f7ad7dbdab7b371491be804da90659883ddad9561abc687b67dec87fcfab01a,4c041a591b3d95aa4c299826c8ddd838355e2e7bd1c8422d5db81617cd08d1d3
20260727T120640Z-stats-ceb-full-no-refit-v1__stats-ce--f42e44dd24b6--_no_refit__stats_ceb_multiregion_count__query_id-31,3,1,1,0.19954913234113072,0.9794666794909843,False,0.9815422551766446,0.9664068394181924,0.0033223290649032258,1.4612114545999992,0.9815422551766446,0.19954913234113072,0.015135415758452226,0.8594487210941401,,,31,4,completed,passed,229db335942436271723a5edc36b74b673fe1aeed67fb5b49e1ec43806bc5a67,562cf71494a4c05fd4615fe729c3537be4c1f4da95a3c7ac5051a9d953371d9c
20260727T120704Z-stats-ceb-full-no-refit-v1__stats-ce--4123fef53a01--_no_refit__stats_ceb_multiregion_count__query_id-32,3,0,0,0.7515662000229602,0.9794666794909843,False,0.46844415339790213,0.055457313430771815,0.46844415339790213,0.7515662000229602,0.11856900663496749,1.2156472304970098,0.4129868399671303,0.7854522787102509,,,32,4,completed,passed,3ae5731ee097b2d2da68996585fe86f94b1e7bd7d852c1313163acb1a1ba75ae,b760bbfd3d778ce4202866ac3ba45b4ae3ec25b93b14f7ced11513b52819b8a8
20260727T120747Z-stats-ceb-full-no-refit-v1__stats-ce--4cfa0890dc63--_no_refit__stats_ceb_multiregion_count__query_id-33,3,1,1,0.7205781573738853,0.9794666794909843,False,0.631636911731152,0.34879665519292036,0.08552283173061644,1.4508282171768314,0.631636911731152,0.7205781573738853,0.28284025653823164,0.9545645263451639,,,33,4,completed,passed,fea773f9a567dbc6086c39732af8e5af2efa6128314bce0b07e049565c0c7151,3d9a501f1f50f4ae24a949c0edd6041fe9ddcc02fe755a83e76ce899045476bd
20260727T120823Z-stats-ceb-full-no-refit-v1__stats-ce--940213eb07bd--_no_refit__stats_ceb_multiregion_count__query_id-35,3,0,0,0.751566189693342,0.9794666794909843,False,0.46844415947215506,0.05545732249768576,0.46844415947215506,0.751566189693342,0.11856900355337571,1.2156472303641774,0.4129868369744693,0.7854522734716884,,,35,4,completed,passed,b0199e1787c45afc2e54f38df6081b0ad396995495f7d1b569af79aa4db61b0e,1f03dda1d03ca98ca63c2c56dc76799b515eb1f2fc9b57ffcebdf8aa2eb0b31d
20260727T120856Z-stats-ceb-full-no-refit-v1__stats-ce--01b8759d412a--_no_refit__stats_ceb_multiregion_count__query_id-36,3,0,0,0.7515661954467652,0.9794666794909843,False,0.46844415608889844,0.05545731744756727,0.46844415608889844,0.7515661954467652,0.11856900526977038,1.215647230438163,0.4129868386413312,0.7854522763894793,,,36,4,completed,passed,954cda1dacb96804cec227b49d273518bade5e866d0c3f7467a7fe478e986b0e,dc901e371e4e05174ac6ad37b3fdb54da8e3745450194117b2ea1ad3ccec55e5
20260727T120928Z-stats-ceb-full-no-refit-v1__stats-ce--baa21348fcba--_no_refit__stats_ceb_multiregion_count__query_id-37,3,1,1,0.3662401694496327,0.9794666794909843,False,0.9172283797898715,0.8519589762851981,0.017502216705455254,1.4640318526318845,0.9172283797898715,0.3662401694496327,0.06526940350467332,0.9236016928612697,,,37,4,completed,passed,334d33d4d22ae3b0bbccfa41b63c838a23ac91665a70483c8c9e33031b7806d6,54fe55778ec3f451dcf4982cca0747597e0ff5c280effc1f069995c57050e700
20260727T120952Z-stats-ceb-full-no-refit-v1__stats-ce--3dea5d36442c--_no_refit__stats_ceb_multiregion_count__query_id-38,3,0,0,0.7515662758998393,0.9794666794909843,False,0.4684441087791094,0.05545724682921571,0.4684441087791094,0.7515662758998393,0.11856902927099683,1.21564723147277,0.4129868619498937,0.7854523171904756,,,38,4,completed,passed,64a7e86f3fdc027493cd34d215bfb0f3820405a330fb0f24368fb5507deef630,4e8000a425768c4b68349d9014a45df7cdb24adc7785ca5403a1b204b1285cfd
20260727T121049Z-stats-ceb-full-no-refit-v1__stats-ce--9c378f93220d--_no_refit__stats_ceb_multiregion_count__query_id-39,3,0,0,0.7515662066928125,0.9794666794909843,False,0.46844414947574703,0.055457307576250614,0.46844414947574703,0.7515662066928125,0.1185690086247566,1.2156472305827806,0.4129868418994964,0.7854522820928002,,,39,4,completed,passed,a0fa20b1d444e84339178be20c354f085b3f507efaa7779d832ddf2607a66520,34dc0b245205625c46e74e8d2f2be1794833ec61d501110b60eb5b41e51e3941
20260727T121121Z-stats-ceb-full-no-refit-v1__stats-ce--a42d2ecd145a--_no_refit__stats_ceb_multiregion_count__query_id-40,3,0,0,0.7515661910021578,0.9794666794909843,False,0.46844415870251593,0.055457321348861055,0.46844415870251593,0.7515661910021578,0.11856900394382924,1.2156472303810082,0.4129868373536549,0.7854522741354412,,,40,4,completed,passed,a25fa243bf2ef0bbc4fc20f95d837f696d02bf0c4c8608b3e948ab3c85ae0a72,0b6952d9562ee4b1d039a34b96b5ac720905875106afc3a5c445e23b69e7509d
20260727T121153Z-stats-ceb-full-no-refit-v1__stats-ce--61f8bf4ebb18--_no_refit__stats_ceb_multiregion_count__query_id-41,3,0,0,0.7515661731446384,0.9794666794909843,False,0.4684441692034952,0.05545733702346034,0.4684441692034952,0.7515661731446384,0.11856899861646994,1.215647230151374,0.41298683218003485,0.7854522650791806,,,41,4,completed,passed,5c387bb481f6d18f6038c5ca2b6ad0f3161fa12759b35be536c3b367fc1ce366,19da7ef3d9d2c201f1359434b06ca62ae1c895bfc7f201e87e621f31f4847b0b
20260727T121224Z-stats-ceb-full-no-refit-v1__stats-ce--2365ef160cc8--_no_refit__stats_ceb_multiregion_count__query_id-42,3,1,1,0.43256563478213667,0.9794666794909843,False,0.8862809910825551,0.797520142526774,0.024958160361663817,1.5089596134434404,0.8862809910825551,0.43256563478213667,0.0887608485557811,0.9678866732545024,,,42,4,completed,passed,181184175483e46f109388362be20a035e3851ea3763f893fa2ac61116205f79,d66699711083dcf0e1d630df62b393a452d02277bf37ee66fe8205a9d29d6a6b
20260727T121246Z-stats-ceb-full-no-refit-v1__stats-ce--bef3f74020aa--_no_refit__stats_ceb_multiregion_count__query_id-43,3,0,0,0.7515662242580128,0.9794666794909843,False,0.4684441391466682,0.05545729215824552,0.4684441391466682,0.7515662242580128,0.11856901386490908,1.2156472308086612,0.4129868469884227,0.7854522910008184,,,43,4,completed,passed,e26ecf5672735dfdcb6d209bf447f75854df6e559c07830277d5244ed6d2086d,80c6d4b1e992d3bcb434fe08a88e14da57e15ed96ce65057a59b82d9efd01f91
20260727T121320Z-stats-ceb-full-no-refit-v1__stats-ce--06c758499697--_no_refit__stats_ceb_multiregion_count__query_id-44,3,0,0,0.7515661936247846,0.9794666794909843,False,0.46844415716030025,0.05545731904682699,0.46844415716030025,0.7515661936247846,0.11856900472622656,1.2156472304147332,0.41298683811347325,0.78545227546548,,,44,4,completed,passed,50a40e02fb73b48903b53b9be1da9af36f2ec1ea9213f1f5271d5aeadbacf4b3,3348f240186cf5327b1dc8c54e2e3f382af6a376fd383cce8838e09ac1d9bbf3
20260727T121351Z-stats-ceb-full-no-refit-v1__stats-ce--016037691c34--_no_refit__stats_ceb_multiregion_count__query_id-46,3,2,2,0.6717672559493539,0.9794666794909843,False,0.5327310932672246,0.20252380271387488,0.3302072905533497,0.7941843356379202,0.1370616161794259,1.0803789157071686,0.5327310932672246,0.6717672559493539,,,46,5,completed,passed,16fe97aea412fb127c2bec000ef1d47f6cf11254685b0b3a9217149beb506553,9147918ff43b4da8e96d4b22e33f6f05a4e119c58706e7199f1f81a831293923
20260727T121406Z-stats-ceb-full-no-refit-v1__stats-ce--0990036f0917--_no_refit__stats_ceb_multiregion_count__query_id-47,3,0,0,0.7515663154011621,0.9794666794909843,False,0.46844408555068934,0.05545721215663679,0.46844408555068934,0.7515663154011621,0.11856904105525802,1.2156472319807705,0.41298687339405254,0.7854523372232065,,,47,5,completed,passed,7a50b72c3b4210572a2f3aafaf303c279301c8578a094b5de8c05f1113a63e3b,508f15d93ab45ab012ba27dc6ce8ee07431f28972ed800b91f2350818615664c
20260727T121526Z-stats-ceb-full-no-refit-v1__stats-ce--ed7ed30f4959--_no_refit__stats_ceb_multiregion_count__query_id-48,3,1,1,0.3944504017354522,0.9794666794909843,False,0.8861126602317041,0.793854656443642,0.02162933598023367,1.446599853774223,0.8861126602317041,0.3944504017354522,0.0922580037880622,0.8706871070172065,,,48,5,completed,passed,bc0221508e6f662c4f31d352da66a555c85d4f7f86188721e78ae2b690910fcc,a68b372e2ddc6263d1b38abce0c93461f441f3cfd3874f113281e722f370083c
20260727T121542Z-stats-ceb-full-no-refit-v1__stats-ce--c6f3d13743a0--_no_refit__stats_ceb_multiregion_count__query_id-49,3,0,0,0.751566308146771,0.9794666794909843,False,0.468444089816572,0.05545721852423058,0.468444089816572,0.751566308146771,0.11856903889108653,1.2156472318874754,0.4129868712923414,0.7854523335442081,,,49,5,completed,passed,28155a265cef74da9e7c5a942361012c12fe3fc6b3e381ff51a94bf20c7b4262,cc79178cb70ef64e3f7bfd47ebfa95d43c32de50c1d25a42f786d63c4bb1e0b6
20260727T121648Z-stats-ceb-full-no-refit-v1__stats-ce--816d4588344d--_no_refit__stats_ceb_multiregion_count__query_id-50,3,0,0,0.7515662595036254,0.9794666794909843,False,0.4684441184207683,0.055457261221120435,0.4684441184207683,0.7515662595036254,0.11856902437958393,1.2156472312619133,0.41298685719964784,0.7854523088752907,,,50,5,completed,passed,a91893c8432f54af70fc9cf377c83411a171c289c59e2816b15a33413a49c889,32178bc4854f7d5c9c498e7aea499728ac0ab7619ea6d58e782bf00bffd944f7
20260727T121730Z-stats-ceb-full-no-refit-v1__stats-ce--4cbe11eb13e9--_no_refit__stats_ceb_multiregion_count__query_id-51,3,0,0,0.751566286291209,0.9794666794909843,False,0.4684441026685508,0.05545723770811162,0.4684441026685508,0.751566286291209,0.11856903237100999,1.215647231606405,0.4129868649604392,0.7854523224603616,,,51,5,completed,passed,4d61b2e0336c56ffebd89a719bb14ea70dfdbbb14968e95430f82c996b279ea8,acb376911f3deea0aa02f2cbe6a2fed79b6ca4983d55c3bb8d860e5cb88f29a1
20260727T121825Z-stats-ceb-full-no-refit-v1__stats-ce--20faaaceabc6--_no_refit__stats_ceb_multiregion_count__query_id-52,3,0,0,0.7515663042207792,0.9794666794909843,False,0.46844409212521804,0.05545722197029834,0.46844409212521804,0.7515663042207792,0.11856903771986219,1.2156472318369855,0.4129868701549197,0.7854523315531773,,,52,5,completed,passed,12834a68fa15658a02b1d4e48926219461b4da2008022cb67064a6aeac3f7fad,4d2e43e7f547fb961a6681b01c058e4abbfd5e25df6bdb257022856e0ceaa987
20260727T121931Z-stats-ceb-full-no-refit-v1__stats-ce--6bd8e852fe89--_no_refit__stats_ceb_multiregion_count__query_id-53,3,1,1,0.20685174067249024,0.9794666794909843,False,0.9844509904795755,0.9722219017958844,0.003319920836733304,1.516639665444381,0.9844509904795755,0.20685174067249024,0.012229088683691143,0.9609243129970723,,,53,5,completed,passed,467a18badaaf764a1f54605ba772fec6b7649da2df7430e007a5f107091fd796,0319a70d463eef3212712050584a6e74c2d9435accc62a9e39b25f96ecb068d4
20260727T121949Z-stats-ceb-full-no-refit-v1__stats-ce--65af180658cd--_no_refit__stats_ceb_multiregion_count__query_id-54,3,0,0,0.751566262828217,0.9794666794909843,False,0.4684441164657693,0.05545725830293391,0.4684441164657693,0.751566262828217,0.11856902537139528,1.2156472313046676,0.41298685816283537,0.7854523105613257,,,54,5,completed,passed,c2a429b221d3074538c0bd54a98abb82f0428299792f7537a4a927829c0ebb02,23a02332abaf5a2d872585f89220be253a72821c2d699dd75b5446ec049b25ef
20260727T122034Z-stats-ceb-full-no-refit-v1__stats-ce--99eb8577f8f9--_no_refit__stats_ceb_multiregion_count__query_id-55,3,1,1,0.29932552231372284,0.9794666794909843,False,0.9460994494014753,0.9025409449026944,0.010342046099743636,1.4541505140463469,0.9460994494014753,0.29932552231372284,0.043558504498780896,0.8791158074189557,,,55,5,completed,passed,389d58dedc1356f51f7bb4fdfc9e9622d8efeaa34e72d997d4054475261dc8e5,5b2b9dd3c718963affdd7569a0686110e53447088deefd10b5394850a4878c5b
20260727T122053Z-stats-ceb-full-no-refit-v1__stats-ce--0f5ee8601132--_no_refit__stats_ceb_multiregion_count__query_id-56,3,1,1,0.2005850660761022,0.9794666794909843,False,0.9850053403729417,0.9731419374817427,0.003131256735859143,1.5014143540217968,0.9850053403729417,0.2005850660761022,0.011863402891199082,0.9419521739557456,,,56,5,completed,passed,ac300f59c29c1c9251430e8a88840e6d898b1594509ac731977d4326f903f32d,b945448f402ae1f682f0daa0d9ab19be77c19bb217f32ab18a3628f74898997b
20260727T122119Z-stats-ceb-full-no-refit-v1__stats-ce--56d71e5fa919--_no_refit__stats_ceb_multiregion_count__query_id-57,3,1,1,0.7315275506565478,0.9794666794909843,False,0.7242110492038293,0.5287208804574275,0.08029878204976891,1.5795571838186544,0.7242110492038293,0.7315275506565478,0.19549016874640174,1.1568838698269222,,,57,5,completed,passed,eccbc2cf44953ccf343a80c708483f75da97cf1aa2688ebbdc016e8b5010e0d4,cf6a38035ed78ad2225e66afc863fc915b8c9c11ee4a3127471fe9edad71d9b5
20260727T122159Z-stats-ceb-full-no-refit-v1__stats-ce--9f26aa4328b9--_no_refit__stats_ceb_multiregion_count__query_id-59,3,0,0,0.7515663148728338,0.9794666794909843,False,0.4684440858613683,0.055457212620380725,0.4684440858613683,0.7515663148728338,0.11856904089764411,1.215647231973976,0.4129868732409876,0.7854523369552696,,,59,6,completed,passed,4bf91559a94c65342f88f6e2b5f181bd4497d171be60acf97e7bdc78973b14a7,6dea494e5a7c7575d6420602f9cdaa3c1e501e1259ed725488750c1b0e81cf12
20260727T122319Z-stats-ceb-full-no-refit-v1__stats-ce--27ab191ab1e8--_no_refit__stats_ceb_multiregion_count__query_id-60,3,1,1,0.24097167810259618,0.9794666794909843,False,0.9727016809716628,0.950873073896477,0.0054697119531515945,1.4773089389303098,0.9727016809716628,0.24097167810259618,0.021828607075185764,0.9101223448838767,,,60,6,completed,passed,8d5567ad57e790b4b23f98adb2e56aad73210266f101ddd253728de5f52968e2,e0a99492d7af48e53686b91dc59e42824297af5200b0088e650b3d3f7952a232
20260727T122344Z-stats-ceb-full-no-refit-v1__stats-ce--012a0caf9bdf--_no_refit__stats_ceb_multiregion_count__query_id-61,3,0,0,0.7515661909035088,0.9794666794909843,False,0.4684441587605256,0.05545732143545101,0.4684441587605256,0.7515661909035088,0.1185690039143997,1.2156472303797397,0.4129868373250746,0.7854522740854124,,,61,6,completed,passed,3b352db944f0405300fe4f91aacbbb97b919620275f25d9cd925446c91c69990,3578b8ed74cceb3e1ab16fb905dafc8534cc0329d70aa195d67d7a171b07bb98
20260727T122417Z-stats-ceb-full-no-refit-v1__stats-ce--97a6df2a45af--_no_refit__stats_ceb_multiregion_count__query_id-62,3,1,1,0.7098161883702567,0.9794666794909843,False,0.6815725460043545,0.44377561449384506,0.08063052248513605,1.4983052970764015,0.6815725460043545,0.7098161883702567,0.23779693151050943,1.0261313226250948,,,62,6,completed,passed,ce599b31c59e79f201ab94198e01030ff366f9add9f62b4f2857394ba9917c54,ac2088d240d36df1007f792f85aa21945eb377b055ac237e3c214258e2dd48e4
20260727T122500Z-stats-ceb-full-no-refit-v1__stats-ce--3ebe0da05cca--_no_refit__stats_ceb_multiregion_count__query_id-63,3,0,0,0.75156616435181,0.9794666794909843,False,0.46844417437405234,0.055457344741446646,0.46844417437405234,0.75156616435181,0.11856899599334202,1.2156472300383063,0.4129868296326057,0.7854522606199876,,,63,6,completed,passed,179f42989442c9315385ab5fdd1b46b965bd8ee3427c115e5b32b2a21ab15596,c365a18be871c8850520a3c9c31d858fe005832146e977481f8f786d4c880968
20260727T122532Z-stats-ceb-full-no-refit-v1__stats-ce--9cf952e26959--_no_refit__stats_ceb_multiregion_count__query_id-64,3,0,0,0.7515662000801085,0.9794666794909843,False,0.46844415336429646,0.05545731338060933,0.46844415336429646,0.7515662000801085,0.11856900665201633,1.2156472304977446,0.4129868399836871,0.7854522787392331,,,64,6,completed,passed,7b334604773e480be50e6ba39e48d73455a6ad366fb5da02fa789951f373cb62,7f6b3cd49b6e766327adfa3a1043f1eb7ce7d01c198345d7bc51386c016ad5c7
20260727T122603Z-stats-ceb-full-no-refit-v1__stats-ce--e6562b44f063--_no_refit__stats_ceb_multiregion_count__query_id-65,3,0,0,0.7515661866386928,0.9794666794909843,False,0.46844416126841826,0.05545732517893154,0.46844416126841826,0.7515661866386928,0.11856900264209495,1.2156472303248969,0.4129868360894867,0.7854522719225538,,,65,6,completed,passed,30f4fc7965397fb0033968fabd7488db54c13c4f9bed0a7d99b3700a48a5fd29,34dc0b245205625c46e74e8d2f2be1794833ec61d501110b60eb5b41e51e3941
20260727T122634Z-stats-ceb-full-no-refit-v1__stats-ce--3d80ab352f79--_no_refit__stats_ceb_multiregion_count__query_id-66,3,0,0,0.7515661848571339,0.9794666794909843,False,0.4684441623160504,0.05545732674271081,0.4684441623160504,0.7515661848571339,0.11856900211060994,1.2156472303019874,0.4129868355733396,0.7854522710190541,,,66,6,completed,passed,1d6c423e8bd45ea2284d57ca21ed7e6bc5cb983e0286efd707e467ee8a83205a,c3fe53ee04d90e5038181ed3a4f5d02e2c5a44b9186500bcd1ec9c003d4a85b1
20260727T122705Z-stats-ceb-full-no-refit-v1__stats-ce--7d95b9ed334d--_no_refit__stats_ceb_multiregion_count__query_id-67,3,0,0,0.751566156695888,0.9794666794909843,False,0.4684441788760607,0.055457351461503934,0.4684441788760607,0.751566156695888,0.11856899370938256,1.2156472299398586,0.4129868274145568,0.7854522567373654,,,67,6,completed,passed,26aec1f4073ec79eaac67a65b5514ec0c50a67dd0a83beae21c38e5a9c295d73,c6434ca85e27719e3520ab133968b0fd167075b913604c72ddedb1b37d517cd8
20260727T123251Z-stats-ceb-full-no-refit-v1__stats-ce--40fbf1047276--_no_refit__stats_ceb_multiregion_count__query_id-69,3,1,1,0.6007007931645253,0.9794666794909843,False,0.8060373688816806,0.6640536786849168,0.05197894092155538,1.5679886618826464,0.8060373688816806,0.6007007931645253,0.1419836901967638,1.1030597975151109,,,69,6,completed,passed,0ff809f56cea6a75795c98f058643ad981755bf3ac01492730f6fecf02833950,7440e2729127f67af1e7f7e644c2070fb2bef85df21eeb8d9e83a2f58e9bedc1
20260727T123639Z-stats-ceb-full-no-refit-v1__stats-ce--5d1f2f6ec31c--_no_refit__stats_ceb_multiregion_count__query_id-70,3,0,0,0.7515663091120744,0.9794666794909843,False,0.4684440892489336,0.055457217676928516,0.4684440892489336,0.7515663091120744,0.11856903917906136,1.2156472318998899,0.4129868715720051,0.7854523340337529,,,70,6,completed,passed,caa2116afcda9703a2a197984233fd06ee5d589c5d828bf751c422e584fb680a,18eae2bfdea1208a918e06aaa383c39e396daeff8eba6f979d70e19bc3db98d6
