query_run_id,k,nearest_center,feature,squared_distance_contribution,distance_contribution_share,query_id
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,spill_bytes_to_wan_bytes_ratio,6.163152948716254e-06,1.3193206989672615e-05,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,temp_blocks_per_final_row,1.3373786907639394e-05,2.862871331872628e-05,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,hash_batch_excess,1.5462243271747394e-08,3.3099385607707055e-08,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,remote_region_rows_isf_normalized,0.0003615667209385357,0.0007739909474277942,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,worker_task_scan_rows_isf_normalized,0.00042498823132213685,0.000909754755506386,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,worker_scan_rows_cv_normalized,0.000742113140721838,0.0015886109523435765,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,task_count_to_shard_count_ratio,0.021046583926064174,0.045053553022713556,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,active_task_share,0.006666673824242781,0.01427107333336385,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,citus_repartition_observed_v2,1.4814132543761291e-06,3.1712001738168476e-06,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,worker_task_seq_scan_share,0.022420416223493986,0.0479944590849044,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,root_rows_estimate_error_log,0.00028490139645794503,0.0006098766534585801,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,foreign_scan_rows_estimate_error_log,0.006795116882653782,0.014546026084026305,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,aggregate_rows_estimate_error_log,0.0002506292687248038,0.0005365117250003283,2
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,remote_root_rows_estimate_error_log,0.003667579296187955,0.00785103553461613,2
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,foreign_scan_time_to_root_ratio,0.04632123964386602,0.08200601678426482,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,remote_to_final_rows_ratio,0.043533266577725376,0.07707025582851752,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,regional_input_to_wan_rows_ratio,0.04341994285030894,0.0768696302070096,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,global_group_merge_ratio,0.12910241209840934,0.22855982816585116,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,spill_present,0.0002990407218485896,0.0005294145546111594,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,spill_bytes_to_wan_bytes_ratio,4.315653681867952e-06,7.640330245721375e-06,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,temp_blocks_per_final_row,0.00024276732619825088,0.000429789478432518,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,hash_batch_excess,1.1929193726330227e-09,2.1119159773473974e-09,3
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,remote_region_rows_isf_normalized,2.3017122496430104e-05,4.0748964152941875e-05,3
