k,seed,cluster,feature,weighted_mean_z,abs_weighted_mean_z,effective_membership_size
4,0,0,remote_path_share,0.42147865939053386,0.42147865939053386,411.86456922448235
4,0,0,remote_to_final_rows_ratio,0.5463135275301679,0.5463135275301679,411.86456922448235
4,0,0,wan_output_to_final_rows_ratio,0.44265223293578543,0.44265223293578543,411.86456922448235
4,0,0,drf_bytes_proxy,-0.03909347091065608,0.03909347091065608,411.86456922448235
4,0,0,global_group_merge_ratio,0.44265223293578543,0.44265223293578543,411.86456922448235
4,0,0,temp_bytes_to_wan_bytes_ratio,0.7487296026506332,0.7487296026506332,411.86456922448235
4,0,0,temp_blocks_per_wan_row,0.07334736617097641,0.07334736617097641,411.86456922448235
4,0,0,temp_blocks_per_final_row,0.8423831599481527,0.8423831599481527,411.86456922448235
4,0,0,spill_per_wan_mb,0.6777488240050953,0.6777488240050953,411.86456922448235
4,0,0,hash_batches_max,0.09676437694636754,0.09676437694636754,411.86456922448235
4,0,0,remote_region_rows_isf,-0.025819980365646925,0.025819980365646925,411.86456922448235
4,0,0,worker_task_scan_rows_isf,0.3882739738058728,0.3882739738058728,411.86456922448235
4,0,0,worker_task_scan_actual_rows_max_share,-0.2434524525603008,0.2434524525603008,411.86456922448235
4,0,0,task_count_to_shard_count_ratio,0.6480481857274979,0.6480481857274979,411.86456922448235
4,0,0,active_task_share,0.6526458213535208,0.6526458213535208,411.86456922448235
4,0,0,citus_repartition_query,0.015838245346123672,0.015838245346123672,411.86456922448235
4,0,0,worker_task_seq_scan_share,0.2784239957213449,0.2784239957213449,411.86456922448235
4,0,0,root_rows_estimate_error_log,-0.03668256670886707,0.03668256670886707,411.86456922448235
4,0,0,foreign_scan_rows_estimate_error_log,0.26537549089919377,0.26537549089919377,411.86456922448235
4,0,0,aggregate_rows_estimate_error_log,-0.17462599318859656,0.17462599318859656,411.86456922448235
4,0,0,remote_root_rows_estimate_error_log,0.1767365262524401,0.1767365262524401,411.86456922448235
4,0,1,remote_path_share,0.3943659194100173,0.3943659194100173,604.9159298371084
4,0,1,remote_to_final_rows_ratio,0.2670104561780528,0.2670104561780528,604.9159298371084
4,0,1,wan_output_to_final_rows_ratio,0.1261051064891661,0.1261051064891661,604.9159298371084
4,0,1,drf_bytes_proxy,-0.06085418572087654,0.06085418572087654,604.9159298371084
4,0,1,global_group_merge_ratio,0.1261051064891661,0.1261051064891661,604.9159298371084
4,0,1,temp_bytes_to_wan_bytes_ratio,0.15125694316096924,0.15125694316096924,604.9159298371084
4,0,1,temp_blocks_per_wan_row,-0.023285396725719772,0.023285396725719772,604.9159298371084
4,0,1,temp_blocks_per_final_row,0.30385458420265127,0.30385458420265127,604.9159298371084
4,0,1,spill_per_wan_mb,-0.047783549445466325,0.047783549445466325,604.9159298371084
4,0,1,hash_batches_max,-0.012494807978242362,0.012494807978242362,604.9159298371084
4,0,1,remote_region_rows_isf,-0.04383284417956451,0.04383284417956451,604.9159298371084
4,0,1,worker_task_scan_rows_isf,0.24350939794206017,0.24350939794206017,604.9159298371084
4,0,1,worker_task_scan_actual_rows_max_share,-0.22255299580240895,0.22255299580240895,604.9159298371084
4,0,1,task_count_to_shard_count_ratio,0.23325715748663226,0.23325715748663226,604.9159298371084
4,0,1,active_task_share,0.12695263436241447,0.12695263436241447,604.9159298371084
4,0,1,citus_repartition_query,-0.021724309389362532,0.021724309389362532,604.9159298371084
4,0,1,worker_task_seq_scan_share,0.28358996589785235,0.28358996589785235,604.9159298371084
4,0,1,root_rows_estimate_error_log,0.01724777631564262,0.01724777631564262,604.9159298371084
4,0,1,foreign_scan_rows_estimate_error_log,0.05464282746221874,0.05464282746221874,604.9159298371084
4,0,1,aggregate_rows_estimate_error_log,0.4196355900373369,0.4196355900373369,604.9159298371084
4,0,1,remote_root_rows_estimate_error_log,-0.1338248250628361,0.1338248250628361,604.9159298371084
4,0,2,remote_path_share,0.3833969915451316,0.3833969915451316,296.6534269987487
4,0,2,remote_to_final_rows_ratio,-0.5936574273313276,0.5936574273313276,296.6534269987487
4,0,2,wan_output_to_final_rows_ratio,-0.937705361508495,0.937705361508495,296.6534269987487
4,0,2,drf_bytes_proxy,0.32531562105973266,0.32531562105973266,296.6534269987487
4,0,2,global_group_merge_ratio,-0.937705361508495,0.937705361508495,296.6534269987487
4,0,2,temp_bytes_to_wan_bytes_ratio,-0.7273322455825175,0.7273322455825175,296.6534269987487
4,0,2,temp_blocks_per_wan_row,0.05160908447378122,0.05160908447378122,296.6534269987487
4,0,2,temp_blocks_per_final_row,-0.6113554186624218,0.6113554186624218,296.6534269987487
4,0,2,spill_per_wan_mb,-0.3253735474282202,0.3253735474282202,296.6534269987487
4,0,2,hash_batches_max,-0.006466490934525139,0.006466490934525139,296.6534269987487
4,0,2,remote_region_rows_isf,0.23739705680251977,0.23739705680251977,296.6534269987487
4,0,2,worker_task_scan_rows_isf,-0.6495345070323514,0.6495345070323514,296.6534269987487
4,0,2,worker_task_scan_actual_rows_max_share,1.2750607511873822,1.2750607511873822,296.6534269987487
4,0,2,task_count_to_shard_count_ratio,-0.8620404944057946,0.8620404944057946,296.6534269987487
4,0,2,active_task_share,-1.0751287012754653,1.0751287012754653,296.6534269987487
4,0,2,citus_repartition_query,0.03668366490274565,0.03668366490274565,296.6534269987487
4,0,2,worker_task_seq_scan_share,-1.5872187890878278,1.5872187890878278,296.6534269987487
4,0,2,root_rows_estimate_error_log,-0.05211520510774091,0.05211520510774091,296.6534269987487
4,0,2,foreign_scan_rows_estimate_error_log,-0.6452711179441409,0.6452711179441409,296.6534269987487
4,0,2,aggregate_rows_estimate_error_log,-0.22942088360779941,0.22942088360779941,296.6534269987487
4,0,2,remote_root_rows_estimate_error_log,0.6034118218568056,0.6034118218568056,296.6534269987487
4,0,3,remote_path_share,-0.8083519965641807,0.8083519965641807,650.5660739396606
4,0,3,remote_to_final_rows_ratio,-0.32343456291468775,0.32343456291468775,650.5660739396606
4,0,3,wan_output_to_final_rows_ratio,0.030093407583620783,0.030093407583620783,650.5660739396606
4,0,3,drf_bytes_proxy,-0.06700796997248215,0.06700796997248215,650.5660739396606
4,0,3,global_group_merge_ratio,0.030093407583620783,0.030093407583620783,650.5660739396606
4,0,3,temp_bytes_to_wan_bytes_ratio,-0.28299558466705943,0.28299558466705943,650.5660739396606
4,0,3,temp_blocks_per_wan_row,-0.048317130253744615,0.048317130253744615,650.5660739396606
4,0,3,temp_blocks_per_final_row,-0.5370608606377512,0.5370608606377512,650.5660739396606
4,0,3,spill_per_wan_mb,-0.23627503101625236,0.23627503101625236,650.5660739396606
4,0,3,hash_batches_max,-0.046693494421952746,0.046693494421952746,650.5660739396606
4,0,3,remote_region_rows_isf,-0.05114796330126902,0.05114796330126902,650.5660739396606
4,0,3,worker_task_scan_rows_isf,-0.17605032596329762,0.17605032596329762,650.5660739396606
4,0,3,worker_task_scan_actual_rows_max_share,-0.22035555698281273,0.22035555698281273,650.5660739396606
4,0,3,task_count_to_shard_count_ratio,-0.23407582471092594,0.23407582471092594,650.5660739396606
4,0,3,active_task_share,-0.04097469618885852,0.04097469618885852,650.5660739396606
4,0,3,citus_repartition_query,-0.006554547434157004,0.006554547434157004,650.5660739396606
4,0,3,worker_task_seq_scan_share,0.2838033423546284,0.2838033423546284,650.5660739396606
4,0,3,root_rows_estimate_error_log,0.03094989100802372,0.03094989100802372,650.5660739396606
4,0,3,foreign_scan_rows_estimate_error_log,0.07542478992045723,0.07542478992045723,650.5660739396606
4,0,3,aggregate_rows_estimate_error_log,-0.1750221951220078,0.1750221951220078,650.5660739396606
4,0,3,remote_root_rows_estimate_error_log,-0.2626065767214358,0.2626065767214358,650.5660739396606
5,5,0,remote_path_share,-0.6173732420299632,0.6173732420299632,497.37638200988573
