query_run_id,database_sweep_id,dataset_id,dataset_profile_id,runtime_config_id,runtime_intervention_axis,corpus_cell_id,logical_question_id,execution_strategy,instance_id,template_id,execution_status,timed_out,collection_error_count,remote_error_count,intervention_role,intervention_axis,network_profile_id,configured_latency_ms,configured_jitter_ms,configured_loss_percent,fetch_size,work_mem,configured_shard_count,configured_region_count,configured_worker_count_per_region,configured_worker_count_total,observed_region_count_for_task_scope,configured_region_shard_slots,observed_region_shard_slots
20260626T213122Z-clean-run-eu-us-gac-v1__pilot-skew-h--8b7068e3a3c4--__limit_k-250__payload_repeat-64__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T213139Z-clean-run-eu-us-gac-v1__pilot-skew-h--e52dac15b987--__limit_k-250__payload_repeat-64__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213158Z-clean-run-eu-us-gac-v1__pilot-skew-h--27d3e706e3ca--ultiregion_top_tenants__lookback_days-7__limit_k-10,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-10,gac_fdw_multiregion_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213220Z-clean-run-eu-us-gac-v1__pilot-skew-h--6f97dd8a4bdd--__limit_k-100__payload_repeat-16__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-900__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T213235Z-clean-run-eu-us-gac-v1__pilot-skew-h--f60a5a6bfb10--ultiregion_top_tenants__lookback_days-3__limit_k-10,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-3__limit_k-10,gac_fdw_multiregion_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213258Z-clean-run-eu-us-gac-v1__pilot-skew-h--107c4b74e50d--l__gac_fdw_top_tenants__lookback_days-1__limit_k-50,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,fdw_raw,fdw_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_top_tenants__lookback_days-1__limit_k-50,gac_fdw_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
20260626T213315Z-clean-run-eu-us-gac-v1__pilot-skew-h--3532da668b5f--ltiregion_top_tenants__lookback_days-14__limit_k-10,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,top_tenants,multiregion_union,mr_top_tenants_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_top_tenants__lookback_days-14__limit_k-10,gac_fdw_multiregion_top_tenants,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213337Z-clean-run-eu-us-gac-v1__pilot-skew-h--5fb9e73c0324--__limit_k-100__payload_repeat-64__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-100__payload_repeat-64__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213357Z-clean-run-eu-us-gac-v1__pilot-skew-h--0d5ae5750cd9--__limit_k-100__payload_repeat-16__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213417Z-clean-run-eu-us-gac-v1__pilot-skew-h--1cfbd589685e--__limit_k-250__payload_repeat-16__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,multiregion_union,mr_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-250__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,2.0,2.0,4.0,2.0,64.0,64.0
20260626T213436Z-clean-run-eu-us-gac-v1__pilot-skew-h--9f132795a2d0--__limit_k-250__payload_repeat-16__payload_width-512,20260626T211407Z-clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__fetch_small__analytics_clients,pilot-skew-heavy-v1,pilot-skew-heavy-v1,fetch_small,fetch_size,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small,event_raw_wide_sample,fdw_raw,fdw_raw_wide_fetch_sensitivity__dataset-pilot-skew-heavy-v1__runtime-fetch_small__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-250__payload_repeat-16__payload_width-512,gac_fdw_event_raw_wide_sample,completed,False,0,0,positive_case,fetch_size,,,,,100,,32.0,1.0,2.0,2.0,1.0,32.0,32.0
