k,seed,iterations,converged,objective,silhouette_hard_labels,partition_coefficient,partition_entropy,avg_max_membership,median_max_membership,avg_top2_margin,cluster_min_size,cluster_max_size,cluster_min_share,cluster_max_share,elapsed_seconds
4,0,46,True,14421.48234402669,0.21396007280321483,0.5302241007080288,0.8855262744245401,0.6435974557784608,0.6772608582287709,0.45699517179687776,285,652,0.14511201629327902,0.3319755600814664,0.7631573677062988
4,1,48,True,14421.482359882126,0.21396007280321483,0.5302209347327611,0.8855311437112575,0.6435949928164832,0.6772420723947609,0.45699143565898254,285,652,0.14511201629327902,0.3319755600814664,0.2927818298339844
4,2,44,True,14421.482345001372,0.21396007280321483,0.5302238363715194,0.8855266766316294,0.6435972310855048,0.6772596700914988,0.4569948355908027,285,652,0.14511201629327902,0.3319755600814664,0.39011573791503906
4,3,44,True,14421.482356411581,0.21396007280321483,0.5302215964041697,0.8855301256394561,0.6435955068336024,0.6772460254849744,0.4569922148664645,285,652,0.14511201629327902,0.3319755600814664,0.43637800216674805
4,4,45,True,14421.482354712589,0.21396007280321483,0.5302218733346987,0.8855296941875256,0.6435957120208132,0.6772480256345547,0.45699251976880656,285,652,0.14511201629327902,0.3319755600814664,0.5209629535675049
4,5,51,True,14421.482362661103,0.21396007280321483,0.5302204123698256,0.8855319472055698,0.6435945865932378,0.6772389664825358,0.4569908195736342,285,652,0.14511201629327902,0.3319755600814664,0.3603692054748535
4,6,48,True,14421.482350321536,0.21396007280321483,0.5302228051635958,0.8855282670863102,0.6435964481312761,0.6772531641951174,0.45699364340473697,285,652,0.14511201629327902,0.3319755600814664,0.3555409908294678
4,7,45,True,14421.48237077293,0.21396007280321483,0.5302189245821235,0.8855342348130454,0.6435934279357901,0.677230177638896,0.45698906123648697,285,652,0.14511201629327902,0.3319755600814664,0.4941699504852295
4,8,44,True,14421.482361323517,0.21396007280321483,0.5302205116859987,0.8855317796969655,0.6435946317465926,0.6772405544497304,0.45699087520569937,285,652,0.14511201629327902,0.3319755600814664,0.4320485591888428
4,9,39,True,14421.482387879714,0.21396007280321483,0.5302158984049185,0.8855388797800459,0.6435910534706109,0.6772128425312676,0.4569854510287908,285,652,0.14511201629327902,0.3319755600814664,0.35830211639404297
5,0,91,True,12140.261307837369,0.22736491955578322,0.4498523168737032,1.0881497313960042,0.5623318499626453,0.537648453655724,0.3673959788039605,252,586,0.12830957230142567,0.2983706720977597,0.9479408264160156
5,1,65,True,12140.26134235113,0.2265637832619422,0.44975724024023106,1.0882654015406517,0.5620829288557435,0.5365058013972522,0.36699133354036517,252,586,0.12830957230142567,0.2983706720977597,0.4919452667236328
5,2,71,True,12140.261285793298,0.2265637832619422,0.4497592612295952,1.0882630002837281,0.5620887451387323,0.5365106460900465,0.36700066815368615,252,586,0.12830957230142567,0.2983706720977597,0.8004453182220459
5,3,89,True,12140.2612876955,0.2265637832619422,0.4497604105121348,1.0882614292683994,0.5620902320871309,0.5365109060714585,0.3670033261473097,252,586,0.12830957230142567,0.2983706720977597,0.9077792167663574
5,4,60,True,12140.261284661148,0.22736491955578322,0.4498510052069974,1.0881513802349918,0.5623287132764193,0.5376414941537339,0.3673907764347041,252,586,0.12830957230142567,0.2983706720977597,0.2755730152130127
5,5,58,True,12110.380167300304,0.208634163540593,0.49428500870620923,1.0141356826835743,0.606139709504504,0.6036422903060874,0.4383370224028101,228,645,0.11608961303462322,0.3284114052953157,0.27001261711120605
5,6,75,True,12140.261280643123,0.2265637832619422,0.44976038613336583,1.0882615055390408,0.5620905849778829,0.5365114191221415,0.3670038301618194,252,586,0.12830957230142567,0.2983706720977597,0.6298294067382812
5,7,87,True,12140.261276608775,0.22736491955578322,0.44985094537800774,1.0881514008610516,0.5623281938809948,0.5376405428107833,0.36738998203314477,252,586,0.12830957230142567,0.2983706720977597,0.5072858333587646
5,8,74,True,12140.261316703803,0.22736491955578322,0.44985271278897354,1.0881492478853416,0.5623328862099063,0.5376507041996478,0.36739768047705684,252,586,0.12830957230142567,0.2983706720977597,0.5177874565124512
5,9,72,True,12140.261338654316,0.22736491955578322,0.4498536244446056,1.0881481412683054,0.5623353416102014,0.537656004895902,0.36740170372440645,252,586,0.12830957230142567,0.2983706720977597,0.6283614635467529
