query_run_id,remote_path_share,remote_to_final_rows_ratio,wan_output_to_final_rows_ratio,drf_bytes_proxy,global_group_merge_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,spill_per_wan_mb,hash_batches_max,remote_region_rows_isf,worker_task_scan_rows_isf,worker_task_scan_actual_rows_max_share,task_count_to_shard_count_ratio,active_task_share,citus_repartition_query,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,0.7023596557205339,0.4684276495201614,0.23409820608412452,-0.1983821471319045,0.23409820608412452,0.24275108708455698,-0.13499196313700496,0.49008438687912753,-0.21235229804184963,-0.1286978904175573,-0.16162511368691898,-0.7252368037918017,-0.48999627869789725,0.6862759285696077,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,-1.2062094492479947,0.8726216136731509,-0.3460605543543522
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,0.6028170260367325,0.9390819017941785,0.8320117148059404,-0.1983821471319045,0.8320117148059404,1.5452377458441027,0.0004825720579097443,1.5665231211537167,1.048420907962652,-0.1286978904175573,-0.16162511368691898,-0.5815337967999882,-0.47950842205518107,0.6862759285696077,1.8484581843200298,-0.14418745018211812,0.34072484736473385,0.09297767607627688,0.5916460007241516,-0.2227560547015236,-0.3460605543543522
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,0.40336256580346713,0.9390819017941785,0.8320117148059404,-0.1983821471319045,0.8320117148059404,2.320642809077989,0.19872062524412074,1.8409606428621212,3.2114777303361812,-0.1286978904175573,-0.16162511368691898,-0.5815337967999882,-0.47950842205518107,0.6862759285696077,1.8484581843200298,-0.14418745018211812,0.34072484736473385,-0.07093309600919281,1.0708992086124358,-0.30975350592010903,-0.3460605543543522
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,0.6381636153986545,-0.06276167584827715,-0.44071833236649616,-0.1983821471319045,-0.44071833236649616,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.0750419861784105,-0.8007640959853957,-0.4955084765963316,0.6862759285696077,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,-0.24555711539309064,1.6677727635274042,-1.045514384491709
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,0.6773113358109668,0.23985794784211675,-0.05627399741240624,-0.1983821471319045,-0.05627399741240624,0.24275108708455698,-0.13499196313700496,0.26839491648907887,-0.21235229804184963,-0.1286978904175573,-0.16162511368691898,-0.9551616149787034,-0.42497156751305715,-0.35463220828584885,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,0.557440552973896,0.5577689557540221,-0.3460605543543522
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,0.7013636346457692,-0.7466194875750354,-1.3094830820756151,0.23762060004450614,-1.3094830820756151,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.16162511368691898,-1.1779012758160143,1.5089891974037977,-1.3304835865878393,-1.7058625103757792,-0.14418745018211812,-3.1265476926577396,0.09297767607627688,-0.8417824346841014,-0.2227560547015236,1.0454418577486675
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,0.7017183122715489,-0.7466194875750354,-1.3094830820756151,0.23762060004450614,-1.3094830820756151,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.16162511368691898,-1.1779012758160143,1.5089891974037977,-1.3304835865878393,-1.7058625103757792,-0.14418745018211812,-3.1265476926577396,0.09297767607627688,-1.1953961530820156,-0.2227560547015236,1.0454418577486675
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,0.4575723079219378,0.4700724146389449,0.23618769593456895,-0.1983821471319045,0.23618769593456895,2.2536097606420444,0.1006499319032563,1.2674219044672663,2.946118503545233,-0.1286978904175573,-0.16162511368691898,-0.6899544983438116,-0.4904867555757159,0.7513326871230738,0.09950673137447293,-0.14418745018211812,0.34072484736473385,0.09297767607627688,1.0715810799832741,-1.0827702313963907,1.5300207111275477
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,0.565010451598043,-0.29116632005483994,-0.7308808488338805,-0.1983821471319045,-0.7308808488338805,-1.093893596256877,-0.15990904616949186,-0.9186346130954639,-0.529858997711173,-0.1286978904175573,-0.0750419861784105,-0.8007640959853957,-0.4955084765963316,0.6862759285696077,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.09297767607627688,0.2677167312981525,2.032129072228031,-1.045514384491709
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,-1.5195268391980012,0.31675150973488947,0.23409820608412452,-0.1983821471319045,0.23409820608412452,0.19956652572754338,-0.13511536075770034,-0.9186346130954639,-0.23117835795335767,-0.1286978904175573,-0.16162511368691898,-0.31532404677649445,-0.350103554515883,-0.35463220828584885,0.04308894256977754,-0.14418745018211812,0.34072484736473385,0.7161310295924768,0.1663522907854466,0.10798946485441378,-0.3460605543543522
20260626T114026Z-clean-run-eu-us-gac-v1__pilot-balanc--9ae2eee364f6--fdw_user_segment_join__lookback_days-3__limit_k-100,0.617111554028477,0.9390819017941785,0.8320117148059404,-0.1983821471319045,0.8320117148059404,1.5283387771258428,-0.0056754953637419645,1.5533892716050637,1.018404335314753,-0.1286978904175573,-0.16162511368691898,-0.5815337967999882,-0.47950842205518107,0.6862759285696077,1.8484581843200298,-0.14418745018211812,0.34072484736473385,-0.07093309600919281,0.41246381833457685,-0.30975350592010903,-0.3460605543543522
