global_slot,trajectory_id,logical_question_id,physical_shape,step_index,repeat_index,slot_role,action_binding,included_in_expected_count,included_in_maximum_count,requires_pre_outcome_decision,dataset_binding,topology_binding,hard_timeout_seconds,live_execution
28,trajectory_join_pushdown,user_segment_topk,join_pushdown,4,1,adaptive_state,decision_log_action_locked_before_execution,False,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
29,trajectory_join_pushdown,user_segment_topk,join_pushdown,4,2,adaptive_state,decision_log_action_locked_before_execution,False,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
30,trajectory_join_pushdown,user_segment_topk,join_pushdown,4,3,adaptive_state,decision_log_action_locked_before_execution,False,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
31,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,0,1,origin_baseline,none,True,True,False,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
32,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,0,2,origin_baseline,none,True,True,False,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
33,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,0,3,origin_baseline,none,True,True,False,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
34,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,1,1,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
35,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,1,2,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
36,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,1,3,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
37,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,2,1,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
38,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,2,2,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
39,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,2,3,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
40,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,3,1,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
41,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,3,2,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
42,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,3,3,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
43,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,4,1,adaptive_state,decision_log_action_locked_before_execution,False,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
44,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,4,2,adaptive_state,decision_log_action_locked_before_execution,False,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
45,trajectory_sort_order_topk,user_value_topk,sort_order_topk_window,4,3,adaptive_state,decision_log_action_locked_before_execution,False,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
