decision_id,trajectory_id,step_index,source_state_id,target_state_id,action_id,result_validation_status,elapsed_log2_gain,elapsed_gain_interval_low,elapsed_gain_interval_high,noise_status,outcome_label,accepted,rollback_status
trajectory_join_pushdown-step-01,trajectory_join_pushdown,1,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,equivalent,2.4827621856856377,2.0614110589317285,2.614639091580875,resolved,mixed,true,verified
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,1,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,equivalent,0.15688997447393777,0.07929644020615184,0.18159908775984127,resolved,mixed,true,verified
trajectory_join_pushdown-step-02,trajectory_join_pushdown,2,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,equivalent,0.5670434101792504,0.3398810554134945,1.1191425929638983,resolved,mixed,true,verified
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,2,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,equivalent,1.4546662123615188,1.2770241467888634,1.5646836077573412,resolved,mixed,true,verified
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,3,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,equivalent,-0.9050495828657144,-1.0502834629012638,-0.7311228189894583,resolved,mixed,false,verified
