query_run_id,dataset_id,runtime_config_id,template_id,instance_id,severity_contract,severity_model_role,severity_score,severity_band,deployment_relative_intensity_score,wan_fetch_intensity_score,memory_spill_intensity_score,imbalance_intensity_score,capacity_intensity_score,corpus_relative_severity_score,sum_pressure_score,tail_pressure_score,capacity_relative_severity_score,timeout_relative_severity_score,severity_basis,execution_time_seconds,execution_time_corpus_percentile,hard_timeout_seconds,timeout_utilization_ratio,wan_output_rows,wan_output_bytes,wan_output_mb,wan_output_bytes_corpus_percentile,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_corpus_percentile,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,regional_reduction_input_mb_proxy,drf_rows_proxy,drf_bytes_proxy,temp_blocks_sum,temp_mb,temp_blocks_corpus_percentile,remote_region_rows_isf,remote_region_rows_isf_corpus_percentile,worker_task_scan_rows_isf,worker_task_scan_rows_isf_corpus_percentile,worker_task_within_region_scan_rows_isf_max,worker_task_within_region_scan_rows_isf_corpus_percentile,active_task_share,active_task_share_corpus_percentile,tasks_per_worker_ratio,tasks_per_worker_ratio_corpus_percentile,task_count_to_configured_region_shard_slots_ratio,task_count_to_configured_region_shard_slots_corpus_percentile,task_count_to_observed_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_corpus_percentile
20260802T103942Z-cross-action-pilot-v1__raw-large-bal--0beed46c6b29--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.07598489888888889,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",136.772818,,1800.0,0.07598489888888889,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T104234Z-cross-action-pilot-v1__raw-large-bal--fde14fe1494a--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.04788574444444444,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",86.19434,,1800.0,0.04788574444444444,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T104430Z-cross-action-pilot-v1__raw-large-bal--ef998b9bcc7f--ent_filter_summary__lookback_days-30__min_value-950,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_event_filter_summary,pilot_filter_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-950,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9691046235196698,0.1683230508876649,0.7961501380100539,,1.0,0.1683230508876649,0.7961501380100539,0.0026581816666666667,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",4.784727,,1800.0,0.0026581816666666667,199531.0,3191808.0,3.0439453125,,3191808.0,,199531.0,3191808.0,3.0439453125,1.0,1.0,1464.0,11.4375,,1.000225528865189,,1.5049691526629947,,1.5046298152082416,,1.0,,32.0,,1.0,,1.0,
20260802T104508Z-cross-action-pilot-v1__raw-large-bal--fde14fe1494a--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.047919684444444444,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",86.255432,,1800.0,0.047919684444444444,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T104830Z-cross-action-pilot-v1__raw-large-bal--fde14fe1494a--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.04837434,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",87.073812,,1800.0,0.04837434,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T105026Z-cross-action-pilot-v1__raw-large-bal--ef998b9bcc7f--ent_filter_summary__lookback_days-30__min_value-950,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_event_filter_summary,pilot_filter_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-950,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9691046235196698,0.1683230508876649,0.7961501380100539,,1.0,0.1683230508876649,0.7961501380100539,0.002688322777777778,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",4.838981,,1800.0,0.002688322777777778,199531.0,3191808.0,3.0439453125,,3191808.0,,199531.0,3191808.0,3.0439453125,1.0,1.0,1464.0,11.4375,,1.000225528865189,,1.5049691526629947,,1.5046298152082416,,1.0,,32.0,,1.0,,1.0,
20260802T105100Z-cross-action-pilot-v1__raw-large-bal--0beed46c6b29--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.07496514055555556,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",134.937253,,1800.0,0.07496514055555556,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T105350Z-cross-action-pilot-v1__raw-large-bal--ef998b9bcc7f--ent_filter_summary__lookback_days-30__min_value-950,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_event_filter_summary,pilot_filter_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-950,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9691046235196698,0.1683230508876649,0.7961501380100539,,1.0,0.1683230508876649,0.7961501380100539,0.002685518888888889,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",4.833934,,1800.0,0.002685518888888889,199531.0,3191808.0,3.0439453125,,3191808.0,,199531.0,3191808.0,3.0439453125,1.0,1.0,1464.0,11.4375,,1.000225528865189,,1.5049691526629947,,1.5046298152082416,,1.0,,32.0,,1.0,,1.0,
20260802T105550Z-cross-action-pilot-v1__raw-large-bal--7633518a9463--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_fetch_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_fetch__dataset-raw-large-balanced-v1__runtime-cross_action_fetch_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.08088409444444446,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",145.59137,,1800.0,0.08088409444444446,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T110124Z-cross-action-pilot-v1__raw-large-bal--dd2e05dd5a4c--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_fetch_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_fetch__dataset-raw-large-balanced-v1__runtime-cross_action_fetch_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.052487105,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",94.476789,,1800.0,0.052487105,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
