representation,pair_type,pair_count,representation_distance_median,action_response_distance_l2_median,best_action_agreement_share,rank_disagreement_mean,distance_response_spearman,distance_response_pvalue_exploratory,interpretation
R1_sql_structural,N2-N2,105,0.12868479339576064,2.2991789481307783,0.4857142857142857,0.17142857142857143,-0.023576172344175028,0.8113186919076303,exploratory_non_independent_pairs
R1_sql_structural,N2-N3,450,0.1822295618651385,2.150084089664851,0.52,0.1711111111111111,0.13098704918717094,0.005387106441473246,exploratory_non_independent_pairs
R1_sql_structural,N3-N3,435,0.08581440545453282,2.159578106694987,0.503448275862069,0.18773946360153257,0.06172640937089775,0.19881760806880178,exploratory_non_independent_pairs
R2_coordinator_physical,N2-N2,105,1.1582528656513136,2.2991789481307783,0.4857142857142857,0.17142857142857143,0.27631142442463197,0.004327780015596992,exploratory_non_independent_pairs
R2_coordinator_physical,N2-N3,450,1.119053003169965,2.150084089664851,0.52,0.1711111111111111,0.39263726405233285,4.886775896097357e-18,exploratory_non_independent_pairs
R2_coordinator_physical,N3-N3,435,1.1331027974763448,2.159578106694987,0.503448275862069,0.18773946360153257,0.34604431602319163,1.1087210457879289e-13,exploratory_non_independent_pairs
R3_full_multilayer,N2-N2,105,12.670858481244915,2.2991789481307783,0.4857142857142857,0.17142857142857143,0.13400373211693964,0.17293042827436447,exploratory_non_independent_pairs
R3_full_multilayer,N2-N3,450,8.700138988468659,2.150084089664851,0.52,0.1711111111111111,-0.1388308419630056,0.00316583562117707,exploratory_non_independent_pairs
R3_full_multilayer,N3-N3,435,14.211984752703422,2.159578106694987,0.503448275862069,0.18773946360153257,0.11783443669024998,0.013927292261471406,exploratory_non_independent_pairs
