condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-e0024d25c93c08749d4f,cond-e0024d25c93c08749d4f::r2,pair-e7258b50f776cc6580bdedc4,pair-e7258b50f776cc6580bdedc4::r2,ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100--2d5c225fea7342341841.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_raw_wide_sample,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__raw_wide,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,1,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-05d98857261346816432,cond-05d98857261346816432::r0,pair-a4a8187b03c0cd4993fa52f9,pair-a4a8187b03c0cd4993fa52f9::r0,ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_filter_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__selective_filter,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,2,false,small,2,1.0,4.0,8.0,heavy,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=2
cond-936cef6f91e6f807640e,cond-936cef6f91e6f807640e::r1,pair-09dea66f82d5ff9211fbea2b,pair-09dea66f82d5ff9211fbea2b::r1,ft_j_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_j_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_j_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,global_user_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__join,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,3,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-312d7ad9f95bac2c917e,cond-312d7ad9f95bac2c917e::r1,pair-000d8e2b25401f9bb157953d,pair-000d8e2b25401f9bb157953d::r1,remote_fetch_rollup_stressed__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30,gac_fdw_multiregion_raw_region_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/remote_fetch_rollup_stressed__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,non_distribution_filter",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_fetch_rollup_stressed__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_full_scan_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__rollup,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,4,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-936cef6f91e6f807640e,cond-936cef6f91e6f807640e::r2,pair-09dea66f82d5ff9211fbea2b,pair-09dea66f82d5ff9211fbea2b::r2,ft_j_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_j_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_j_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,global_user_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__join,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,5,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-e0024d25c93c08749d4f,cond-e0024d25c93c08749d4f::r1,pair-e7258b50f776cc6580bdedc4,pair-e7258b50f776cc6580bdedc4::r1,ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100--2d5c225fea7342341841.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_raw_wide_sample,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__raw_wide,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,6,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-312d7ad9f95bac2c917e,cond-312d7ad9f95bac2c917e::r2,pair-000d8e2b25401f9bb157953d,pair-000d8e2b25401f9bb157953d::r2,remote_fetch_rollup_stressed__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30,gac_fdw_multiregion_raw_region_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/remote_fetch_rollup_stressed__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,non_distribution_filter",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_fetch_rollup_stressed__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_full_scan_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__rollup,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,7,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-05d98857261346816432,cond-05d98857261346816432::r1,pair-a4a8187b03c0cd4993fa52f9,pair-a4a8187b03c0cd4993fa52f9::r1,ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_filter_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__selective_filter,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,8,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-05d98857261346816432,cond-05d98857261346816432::r2,pair-a4a8187b03c0cd4993fa52f9,pair-a4a8187b03c0cd4993fa52f9::r2,ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_f_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_filter_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__selective_filter,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,9,false,small,1,1.0,4.0,4.0,medium,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=1
cond-e0024d25c93c08749d4f,cond-e0024d25c93c08749d4f::r0,pair-e7258b50f776cc6580bdedc4,pair-e7258b50f776cc6580bdedc4::r0,ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-small-balanced-v1__pressure_remote_fetch_100__analytics_clients/queries/ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100--2d5c225fea7342341841.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_w_s__dataset-raw-small-balanced-v1__runtime-pressure_remote_fetch_100,event_raw_wide_sample,multiregion_union,,,,raw-small-balanced-v1,pressure_remote_fetch_100,eu_us_gac,calibration,remote_path,remote_path,stressed,stressed,remote_cal_fetch__raw_wide,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,10,false,small,2,1.0,4.0,8.0,heavy,dataset=small:1;runtime=pressure_remote_fetch_100:4;passes=2
