evidence_block,rendered_corpus,sql_path,sql_sha256,condition_id,execution_slot_id,pair_id,repeat_id,logical_question_id,dataset_profile_id,topology_id,template_id,runtime_config_id,intervention_role,mitigation_action,repetition_index,run_order,parameter_json,expected_shape_tags
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-1__limit_k-100.sql,2e6b77671794b73011ca9d2d77419b246b66dcbd91c793e44672b18e26c21f65,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,375,"{""limit_k"": 100, ""lookback_days"": 1}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-1__limit_k-25.sql,fc7a1ef01a79d64d36e37738953d91d5ea4852a561f5f1e5aacd367d28d4b036,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,509,"{""limit_k"": 25, ""lookback_days"": 1}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-1__limit_k-50.sql,10bbbeaf45af9d416654e8ed952eaf3723296dfb6cdfd294a895a3ff21ae883a,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,247,"{""limit_k"": 50, ""lookback_days"": 1}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-30__limit_k-10.sql,d6833dd04f473e199e8c78c9701093460b255f175f32cfafd71807ecaae28a54,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,415,"{""limit_k"": 10, ""lookback_days"": 30}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-30__limit_k-100.sql,77ee69b5ae3ac17266b1582701d5274e9ab45680490949bf8fd9a3b7c3841744,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,312,"{""limit_k"": 100, ""lookback_days"": 30}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-30__limit_k-25.sql,3a59dbdeb48ee9f360faa342ffd51b7f7a6106817d90950a5cd4c3239a9e980f,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,519,"{""limit_k"": 25, ""lookback_days"": 30}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-30__limit_k-50.sql,330f7473e08ac6fc73e210300b88bbaa45f6cfb72c11282d53b55a647dd1af33,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,88,"{""limit_k"": 50, ""lookback_days"": 30}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-3__limit_k-10.sql,e4cb4f3b9bad347f2351755984b4a31a93e40632e0d97bf7e9a798b3e3ebd64b,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,85,"{""limit_k"": 10, ""lookback_days"": 3}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-3__limit_k-100.sql,73180406a189c9e48db2f98b55390464921e01671b147dce55d104d7d0e76582,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,353,"{""limit_k"": 100, ""lookback_days"": 3}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-3__limit_k-25.sql,43d28f9a1f8ae7a2f770e26f3890c7d73abfbea421acef483641e97aec497784,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,310,"{""limit_k"": 25, ""lookback_days"": 3}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-3__limit_k-50.sql,e0185ac8cd584f75508b413cb0f83793b600cba0d205f810688b01cda1c754a5,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,496,"{""limit_k"": 50, ""lookback_days"": 3}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-7__limit_k-10.sql,da169e1a7d909676cfee4ed1358a19aa6759649b168ce3890309a112a0ad4169,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,96,"{""limit_k"": 10, ""lookback_days"": 7}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-7__limit_k-100.sql,2197654d34e45b6bf640ddf55a328ebd7badaa03e5abe05f6668369cc14f7e66,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,371,"{""limit_k"": 100, ""lookback_days"": 7}","local_etl_read,non_colocated_join_materialized,topk"
characterization_corpus,clean-run-v1,artifacts/rendered-corpora/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-7__limit_k-25.sql,5336015a27967fb78c5daa58a137e8587fb75d22dc7ead18529d90f9b505c269,,,,,global_user_topk,pilot-balanced-v1,eu_us_gac,gac_etl_global_user_topk,default,negative_control,,0,400,"{""limit_k"": 25, ""lookback_days"": 7}","local_etl_read,non_colocated_join_materialized,topk"
