evaluation,distance_metric,neighbors,coverage_quantile,coverage_threshold,episode_count,recommendation_count,abstention_count,coverage,correct_count,top1_accuracy,mean_regret_log2
E2,cosine,1,0.9,0.09556210096881373,45,33,12,0.7333333333333333,23,0.696969696969697,0.47978877643955975
E2,cosine,1,0.95,0.16059760124384542,45,41,4,0.9111111111111111,31,0.7560975609756098,0.3861714542074505
E2,cosine,1,0.99,0.2574757610674847,45,41,4,0.9111111111111111,31,0.7560975609756098,0.3861714542074505
E2,cosine,1,1.0,0.282783078260204,45,41,4,0.9111111111111111,31,0.7560975609756098,0.3861714542074505
E2,cosine,3,0.9,0.09556210096881373,45,33,12,0.7333333333333333,26,0.7878787878787878,0.14509128657837875
E2,cosine,3,0.95,0.16059760124384542,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,cosine,3,0.99,0.2574757610674847,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,cosine,3,1.0,0.282783078260204,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,cosine,5,0.9,0.09556210096881373,45,33,12,0.7333333333333333,27,0.8181818181818182,0.11637228316892013
E2,cosine,5,0.95,0.16059760124384542,45,41,4,0.9111111111111111,35,0.8536585365853658,0.09366549620913084
E2,cosine,5,0.99,0.2574757610674847,45,41,4,0.9111111111111111,35,0.8536585365853658,0.09366549620913084
E2,cosine,5,1.0,0.282783078260204,45,41,4,0.9111111111111111,35,0.8536585365853658,0.09366549620913084
E2,euclidean,1,0.9,1.365205642254646,45,36,9,0.8,27,0.75,0.42589239350483804
E2,euclidean,1,0.95,1.6243914528713777,45,40,5,0.8888888888888888,30,0.75,0.39582574056263675
E2,euclidean,1,0.99,1.9533554892194176,45,41,4,0.9111111111111111,31,0.7560975609756098,0.3861714542074505
E2,euclidean,1,1.0,2.056915703364297,45,41,4,0.9111111111111111,31,0.7560975609756098,0.3861714542074505
E2,euclidean,3,0.9,1.365205642254646,45,36,9,0.8,32,0.8888888888888888,0.10863343534571247
E2,euclidean,3,0.95,1.6243914528713777,45,40,5,0.8888888888888888,33,0.825,0.11970031142716249
E2,euclidean,3,0.99,1.9533554892194176,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,euclidean,3,1.0,2.056915703364297,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,euclidean,5,0.9,1.365205642254646,45,36,9,0.8,36,1.0,0.0
E2,euclidean,5,0.95,1.6243914528713777,45,40,5,0.8888888888888888,37,0.925,0.021930219616021256
E2,euclidean,5,0.99,1.9533554892194176,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444
E2,euclidean,5,1.0,2.056915703364297,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444
E2,manhattan,1,0.9,2.3782235646811527,45,26,19,0.5777777777777777,24,0.9230769230769231,0.07661183259811245
E2,manhattan,1,0.95,2.9499134000907956,45,37,8,0.8222222222222222,32,0.8648648648648649,0.10890489797027264
E2,manhattan,1,0.99,4.2051531858588325,45,41,4,0.9111111111111111,35,0.8536585365853658,0.11049718734710696
E2,manhattan,1,1.0,4.580166691095399,45,41,4,0.9111111111111111,35,0.8536585365853658,0.11049718734710696
E2,manhattan,3,0.9,2.3782235646811527,45,26,19,0.5777777777777777,24,0.9230769230769231,0.07661183259811245
E2,manhattan,3,0.95,2.9499134000907956,45,37,8,0.8222222222222222,32,0.8648648648648649,0.10890489797027264
E2,manhattan,3,0.99,4.2051531858588325,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,manhattan,3,1.0,4.580166691095399,45,41,4,0.9111111111111111,34,0.8292682926829268,0.11678079163625606
E2,manhattan,5,0.9,2.3782235646811527,45,26,19,0.5777777777777777,26,1.0,0.0
E2,manhattan,5,0.95,2.9499134000907956,45,37,8,0.8222222222222222,36,0.972972972972973,0.003207501417687529
E2,manhattan,5,0.99,4.2051531858588325,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444
E2,manhattan,5,1.0,4.580166691095399,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444
E3,cosine,1,0.9,0.09556210096881373,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,1,0.95,0.16059760124384542,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,1,0.99,0.2574757610674847,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,1,1.0,0.282783078260204,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,3,0.9,0.09556210096881373,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
E3,cosine,3,0.95,0.16059760124384542,15,8,7,0.5333333333333333,4,0.5,0.5297196192843572
