holdout,feature_view,model,pair_count,oof_mae,oof_rmse,oof_r2,oof_spearman,oof_kendall,oof_ndcg_at_5,oof_top3_recall,oof_top5_recall,fold_spearman_mean,fold_kendall_mean,fold_ndcg_at_5_mean,fold_top3_recall_mean,fold_top5_recall_mean
leave_dataset_out,core,elastic_net,75,0.4282281961440238,0.5817688759408476,0.8556606102766838,0.9403982930298719,0.7960360360360361,0.8394769575159143,0.6666666666666666,0.6,0.9107559107559108,0.7494172494172493,0.9938105220079358,0.7222222222222222,0.8999999999999999
leave_dataset_out,core,median_baseline,75,1.1223052674496004,1.605607300781444,-0.09941730060944765,-0.22432734797408196,-0.16041129992306868,0.151121744779989,0.0,0.0,,,0.5785359577683155,0.3333333333333333,0.4666666666666666
leave_dataset_out,core,ridge,75,0.4101915290246166,0.5555507111264014,0.8683771427971432,0.9394310099573258,0.7931531531531533,0.8140382684709422,0.6666666666666666,0.6,0.9151681651681652,0.7637917637917636,0.9947339815248927,0.611111111111111,0.8999999999999999
leave_dataset_out,core,shallow_gradient_boosting,75,0.20386274440534347,0.45209707624143003,0.9128339642240955,0.9234919258848775,0.7789542725794363,0.471173862745181,0.3333333333333333,0.2,0.9005773473623581,0.766919686183738,0.8856966954101789,0.6666666666666666,0.9333333333333332
leave_dataset_out,extended,elastic_net,75,0.25165103270524647,0.35625762792330234,0.9458732137136856,0.9569843527738264,0.82990990990991,0.4979129098476559,0.0,0.4,0.9254079254079256,0.7836052836052835,0.9954889213670617,0.8333333333333334,0.8999999999999999
leave_dataset_out,extended,median_baseline,75,1.1223052674496004,1.605607300781444,-0.09941730060944765,-0.22432734797408196,-0.16041129992306868,0.151121744779989,0.0,0.0,,,0.5785359577683155,0.3333333333333333,0.4666666666666666
leave_dataset_out,extended,ridge,75,0.20730826087897605,0.2985904345561047,0.9619779367456418,0.9624466571834993,0.847927927927928,0.8390890370103337,0.6666666666666666,0.6,0.9315684315684316,0.8006993006993007,0.9949617220056074,0.8333333333333334,0.8999999999999999
leave_dataset_out,extended,shallow_gradient_boosting,75,0.232468359736723,0.47977216215516105,0.9018356062311732,0.8879893818585701,0.7425860675724593,0.4703957027588036,0.3333333333333333,0.4,0.8496161838086952,0.6899996869861135,0.8710954972152627,0.6666666666666666,0.8333333333333334
leave_scenario_level_out,core,elastic_net,75,3.793904929568676,7.87241655887691,-25.4301745108865,0.8081365576102418,0.6389189189189189,0.19403281543803602,0.0,0.0,0.45239130434782604,0.40036231884057966,0.7790734365254601,0.41666666666666663,0.55
leave_scenario_level_out,core,median_baseline,75,1.2519061646943013,1.7226183864694695,-0.26549972485451323,-0.7740101942115195,-0.6285983428369488,0.04268777824941057,0.0,0.0,,,0.6980458097869096,0.49999999999999994,0.39999999999999997
leave_scenario_level_out,core,ridge,75,4.072618960200914,8.555993958977217,-30.219420463618246,0.812375533428165,0.6511711711711712,0.19403281543803602,0.0,0.0,0.48043478260869554,0.43115942028985504,0.7781301121932509,0.41666666666666663,0.55
leave_scenario_level_out,core,shallow_gradient_boosting,75,1.2413217246631243,1.684994255344694,-0.21082323844619766,0.16458481132179348,0.06747062483915227,0.1868459274676705,0.0,0.0,0.09110259240878227,0.14907879875332158,0.7210493170213845,0.41666666666666663,0.4
leave_scenario_level_out,extended,elastic_net,75,2.7321589083855264,6.129611714214373,-15.023221177930175,0.9208534850640113,0.7765765765765767,0.47674948686317253,0.0,0.4,0.8773913043478261,0.7427536231884059,0.9303798371281493,0.5833333333333334,0.7000000000000001
leave_scenario_level_out,extended,median_baseline,75,1.2519061646943013,1.7226183864694695,-0.26549972485451323,-0.7740101942115195,-0.6285983428369488,0.04268777824941057,0.0,0.0,,,0.6980458097869096,0.49999999999999994,0.39999999999999997
leave_scenario_level_out,extended,ridge,75,2.4485711883363632,5.590697733929527,-12.329563351515052,0.9361308677098151,0.7945945945945946,0.47669423717929277,0.0,0.4,0.8869565217391304,0.7536231884057971,0.9312687225333122,0.6666666666666666,0.7000000000000001
leave_scenario_level_out,extended,shallow_gradient_boosting,75,1.2924968881644485,1.7323146420311184,-0.27978628208191747,0.12965782467857564,0.027501595100683146,0.1640853255955686,0.0,0.0,-0.05844999303063532,0.006189057711742059,0.6080629677441292,0.25,0.25
leave_size_class_out,core,elastic_net,75,0.5516480201460154,0.713365435339207,0.7829758701299143,0.8267425320056897,0.6547747747747749,0.7317205876450141,0.6666666666666666,0.4,0.9192307692307692,0.7466666666666666,0.9834328673619623,0.5555555555555555,0.6666666666666666
leave_size_class_out,core,median_baseline,75,1.1496874804869708,1.5994825916904336,-0.09104567922851614,-0.24431749508954098,-0.20080989172003608,0.15561678671660506,0.0,0.0,,,0.47262495902869217,0.2222222222222222,0.3333333333333333
leave_size_class_out,core,ridge,75,0.5347445067614915,0.6935753682837896,0.7948501420262256,0.8284495021337126,0.6619819819819821,0.733629809448234,0.6666666666666666,0.4,0.9284615384615383,0.7688888888888888,0.9855704291124067,0.6666666666666666,0.6666666666666666
leave_size_class_out,core,shallow_gradient_boosting,75,0.7568748547835388,0.926067406602056,0.6342628327247263,0.5794257779807122,0.4108154147781033,0.3096080985775034,0.0,0.0,0.7752747981445595,0.6071396104391757,0.6667633412321594,0.2222222222222222,0.4666666666666666
leave_size_class_out,extended,elastic_net,75,0.5440925536652841,0.6712641361364301,0.8078365498639424,0.9064580369843528,0.7434234234234234,0.4308428472436106,0.3333333333333333,0.2,0.9423076923076924,0.7977777777777776,0.9887316330875225,0.6666666666666666,0.6666666666666666
