holdout,fold,held_out_group,feature_view,model,train_pair_count,test_pair_count,mae,rmse,r2,spearman,kendall,ndcg_at_5,top3_recall,top5_recall
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,core,median_baseline,57,18,1.0533256911599909,1.5539147018247839,-0.15134947144193966,,,0.4827304166170913,0.3333333333333333,0.2
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,core,ridge,57,18,0.3959516485584586,0.4702141235151197,0.8945748678999033,0.9442724458204333,0.8562091503267976,0.9874467621052176,1.0,0.8
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,core,elastic_net,57,18,0.39482125513488503,0.45631311825955645,0.900716124093915,0.9442724458204333,0.8562091503267976,0.9874467621052176,1.0,0.8
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,core,shallow_gradient_boosting,57,18,0.15657463206556554,0.21906429295586977,0.9771178934768924,0.9792830242936412,0.9197945895664519,0.9915475477516693,1.0,0.8
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,extended,median_baseline,57,18,1.0533256911599909,1.5539147018247839,-0.15134947144193966,,,0.4827304166170913,0.3333333333333333,0.2
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,extended,ridge,57,18,0.12772761513355363,0.16338977328898174,0.9872707576508917,0.9731682146542827,0.9084967320261439,0.9887646652919757,0.6666666666666666,1.0
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,extended,elastic_net,57,18,0.14098031584865853,0.17549378411907712,0.9853149208402538,0.9669762641898865,0.8954248366013072,0.9887646652919757,0.6666666666666666,1.0
leave_stressed_template_out,1,gac_fdw_single_edge_repartition_join_summary_pair,extended,shallow_gradient_boosting,57,18,0.1577445973465112,0.20152627600014247,0.9806350591866891,0.9602479338512656,0.8786932474905077,0.9809962352647514,0.6666666666666666,0.8
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,core,median_baseline,57,18,1.062524715812619,1.5688854545330122,-0.1669395508222833,,,0.48188555219463125,0.0,0.2
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,core,ridge,57,18,0.610694721798779,1.0721025587619475,0.4550727181822851,0.933952528379773,0.8169934640522877,0.9977349265910027,0.6666666666666666,1.0
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,core,elastic_net,57,18,0.6095500025956004,1.0689808280241244,0.45824151876089103,0.933952528379773,0.8169934640522877,0.9977349265910027,0.6666666666666666,1.0
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,core,shallow_gradient_boosting,57,18,0.5902650302534416,0.7027979810221587,0.7658323504465765,0.9487374610880559,0.8430404281988854,0.9479206009285637,0.6666666666666666,0.8
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,extended,median_baseline,57,18,1.062524715812619,1.5688854545330122,-0.1669395508222833,,,0.48188555219463125,0.0,0.2
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,extended,ridge,57,18,0.33538918733026274,0.5882827880013105,0.835926602843044,0.9896800825593396,0.9477124183006538,0.9971867930053125,1.0,0.8
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,extended,elastic_net,57,18,0.3903688087690319,0.6795313549782959,0.7810802780322743,0.9896800825593396,0.9477124183006538,0.9971867930053125,1.0,0.8
leave_stressed_template_out,2,gac_fdw_single_edge_repartition_joined_event_sample_pair,extended,shallow_gradient_boosting,57,18,0.3458519640803319,0.4035671531466778,0.9227857408637055,0.9576451391028376,0.8618607572299887,0.9876565336166119,1.0,0.8
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,core,median_baseline,54,21,1.181665120681378,1.6497222846415185,-0.012103868285674446,,,0.30639489805902287,0.3333333333333333,0.2
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,core,ridge,54,21,0.4263196980057928,0.5674676567405147,0.8802472128386656,0.9636363636363635,0.8857142857142858,0.9994544072483605,0.6666666666666666,1.0
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,core,elastic_net,54,21,0.45228644464095713,0.6102019538358724,0.8615316265623177,0.9467532467532468,0.8666666666666668,0.9994544072483605,0.6666666666666666,1.0
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,core,shallow_gradient_boosting,54,21,0.34748856689792973,0.7714187159338617,0.7786988118508813,0.8691435721335371,0.7574243558796969,0.3983187188741355,0.3333333333333333,0.6
leave_stressed_template_out,3,gac_fdw_single_edge_repartition_user_join_pair,extended,median_baseline,54,21,1.181665120681378,1.6497222846415185,-0.012103868285674446,,,0.30639489805902287,0.3333333333333333,0.2
