k,seed,cluster,remote_path_share,remote_to_final_rows_ratio,wan_output_to_final_rows_ratio,drf_bytes_proxy,global_group_merge_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,spill_per_wan_mb,hash_batches_max,remote_region_rows_isf,worker_task_scan_rows_isf,worker_task_scan_actual_rows_max_share,task_count_to_shard_count_ratio,active_task_share,citus_repartition_query,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
4,0,0,0.524105601517147,0.7620004833269594,0.6448990066201108,-0.09892029908592759,0.6448990066201108,1.1239781366244197,0.0699658080403466,1.1899924736475525,1.0580473918006463,0.08720394578424465,-0.08488296010433152,0.5325677091901211,-0.3245836772243082,0.9382341118421572,0.9794495669225798,-0.03441752579123567,0.31216683564331466,-0.018258472716675432,0.3827958121405169,-0.305028715001978,0.2264600389402109
4,0,1,0.5451408926860638,0.35083176045747955,0.15063820785961093,-0.10997277847832346,0.15063820785961093,0.17595868757647523,-0.06252035811318579,0.37786201292700383,-0.11649208410812244,-0.048728502906482486,-0.09069924545968722,0.3224946131279255,-0.2771866080346351,0.27890447944648883,0.11589658373455035,-0.06354574466046148,0.315028118762432,0.05008478121487827,0.04709062166227491,0.6636883504149798,-0.2135195723453201
4,0,2,0.5656494093663215,-0.7354679959490744,-1.2253483958187854,0.3296913060088065,-1.2253483958187854,-0.9813217641712896,-0.037149908106059434,-0.8331175060803776,-0.4661490648301963,-0.07759994754637742,0.15247450719124844,-0.9588695724178934,1.7981233588640764,-1.1902473865451153,-1.4948736842044648,-0.056341052524200096,-2.452579893664084,0.023915715468400968,-0.9554125450597105,-0.2382772159943406,0.8646266002508134
4,0,3,-1.1692514919185133,-0.4286533040755573,0.07709719451560473,-0.12332875163474631,0.07709719451560473,-0.37672985142723964,-0.09377162950548011,-0.7608563435525305,-0.322981311780305,-0.0875633474975578,-0.10385313403473952,-0.2579716094702177,-0.28372116425697813,-0.3325231830355298,-0.052831998663745515,-0.053480700491124196,0.3183679818619347,0.09270853869039193,0.10415547875195974,-0.22207026890082424,-0.3570788980396204
5,5,0,-1.0440674079040908,0.17138280846183343,0.1740317024315998,-0.12828906113807387,0.1740317024315998,0.06396652444249122,-0.08441852111399055,-0.6609288502454498,-0.21014649582630857,-0.07767379987520417,-0.09737572000468316,-0.25076846374764267,-0.27754331689080974,-0.2693824349209294,0.0150515120387201,-0.05455942590577095,0.31650963428488865,0.27943438866805576,0.11953614683867851,-0.05080873594114068,-0.24680116839685623
5,5,1,0.6110455022073525,0.44983706685512836,0.24306076838487423,-0.13044390117608112,0.24306076838487423,0.22531786712574434,-0.07631534386777283,0.48575587726044867,-0.12309576981885613,-0.05845297041127268,-0.10074149077611316,0.41342606261767495,-0.2853446051480138,0.3269845302651389,0.12783774755680838,-0.0825932333535256,0.31906067406710276,0.07424483731645388,0.09020118128412218,0.7605461438524764,-0.1923542106108295
5,5,2,0.5461555037218222,0.835282330881439,0.7182686771442149,-0.11778536087865901,0.7182686771442149,1.3965906092900082,0.09212771013711103,1.37482543701247,1.4126167991899217,0.08136396919159587,-0.1004237791913649,0.65408624467625,-0.35149756730283643,1.1692429120287138,1.2219858499085663,-0.06352592882500871,0.3181913107154227,-0.0025390109804647887,0.4616243914320155,-0.32817957171733936,0.14455850182920982
5,5,3,0.635161632324938,-0.7318279524814918,-1.2600690113486628,0.3074150250217262,-1.2600690113486628,-1.014891464570448,-0.07130391234465548,-0.8574545885735995,-0.48578033253258807,-0.09150458501315877,0.08128732768821179,-1.0354645408250007,1.9117581161406716,-1.242602082030851,-1.5701731838285156,-0.08573552488190371,-2.7013102726943656,0.05459868365737508,-1.0501707071824005,-0.23284448601384397,0.9374046779224443
5,5,4,-1.0082674317724145,-1.125706340879789,-0.22770253899236786,-0.061124537970726214,-0.22770253899236786,-0.8671536517577395,-0.0697737443857438,-0.7256374910506005,-0.4295754647283487,-0.0747212651266701,-0.06795416670509664,-0.21716457209851903,-0.24734233355539995,-0.36294727794274734,-0.16659175380551056,-0.01706812243750966,0.304576724919268,-0.20545919244373098,0.03180358492296488,-0.38724653213470767,-0.4305849706163905
