query_run_id,distance_c0,membership_c0,distance_c1,membership_c1,distance_c2,membership_c2,distance_c3,membership_c3,dominant_cluster,max_membership
20260725T113706Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.507775524236318,0.00590011946227901,6.142112721961266,0.010470925778972007,1.2584936623498872,0.9705835745789483,5.687255008387344,0.013045380179800748,2,0.9705835745789483
20260725T113720Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.512796447755121,0.1370552820916547,1.3667435332058118,0.7807736611617637,5.863808328003007,0.012173152002617147,3.179003950056266,0.06999790474396438,1,0.7807736611617637
20260725T113737Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.5129991027432377,0.13711515108990616,1.3670400412685928,0.7808106472084619,5.863855026346267,0.012180998807451944,3.181412696027096,0.06989320289418004,1,0.7808106472084619
20260725T113754Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.474018928356716,0.002963387950133061,6.027616088481532,0.005478608329304293,0.9794819180427545,0.9848773284713249,5.6233232062554235,0.0066806752492376605,2,0.9848773284713249
20260725T113809Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.507828224696215,0.005903159344380817,6.14216947792268,0.010476254170039386,1.2587341810371833,0.9705730459054175,5.687990667323042,0.013047540580162248,2,0.9705730459054175
20260725T113823Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.7942388621250274,0.07875133327571229,1.2181956936121547,0.8440937461481315,5.676621038618661,0.010393312597396679,2.960529704450076,0.06676160797875949,1,0.8440937461481315
20260725T113840Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.794686544380453,0.07888137555074662,1.219083460487048,0.8441159157589601,5.676780797455259,0.010414403875806279,2.965410934900285,0.06658830481448703,1,0.8441159157589601
20260725T113856Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2.512360689558656,0.13691389283153982,1.366073919167201,0.780674105942629,5.863670221467143,0.012155387579089173,3.1732047555056617,0.07025661364674216,1,0.780674105942629
20260725T113913Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.474025205066871,0.002963696156315217,6.027622968873747,0.00547917340750653,0.9795188437359692,0.9848760370072908,5.623409422777862,0.006681093428887456,2,0.9848760370072908
20260725T113927Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.507867641762403,0.005905440854923051,6.142211990579196,0.010480253089981729,1.2589146480168834,0.9705650979786619,5.688535419177438,0.013049208076433371,2,0.9705650979786619
