contrast,state_x,state_y,query_condition_id,repetition_index,x_query_run_id,y_query_run_id,membership_l1,x_dominant_cluster,y_dominant_cluster,x_dominant_regime,y_dominant_regime,dominant_regime_changed,x_max_membership,y_max_membership,x_membership_c0,y_membership_c0,x_membership_c1,y_membership_c1,x_membership_c2,y_membership_c2,x_membership_c3,y_membership_c3
B--C,B,C,top_tenants__regional_reduced,2,20260725T114428Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114659Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,6.459663012316208e-05,1,1,R2,R2,False,0.8850819692592727,0.8851067135843451,0.07195087405439818,0.071921492337312,0.8850819692592727,0.8851067135843451,0.006403388983505536,0.006400472385530104,0.036563767702823456,0.03657132169281263
A--D,A,D,tenant_point__raw_gac_finalize,0,20260725T113706Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115013Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.004796907585069151,2,2,R0,R0,False,0.9705835745789483,0.9681851207864137,0.00590011946227901,0.006030938016716885,0.010470925778972007,0.011386056572347108,0.9705835745789483,0.9681851207864137,0.013045380179800748,0.014397884624522362
A--D,A,D,top_tenants__raw_gac_finalize,0,20260725T113720Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114938Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.8599217695867369,1,1,R2,R2,False,0.7807736611617637,0.3508127763683953,0.1370552820916547,0.29158359270992396,0.7807736611617637,0.3508127763683953,0.012173152002617147,0.12056817977665116,0.06999790474396438,0.23703545114502966
A--D,A,D,top_tenants__raw_gac_finalize,2,20260725T113737Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T115041Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.8601407088729763,1,1,R2,R2,False,0.7808106472084619,0.3507402927719737,0.13711515108990616,0.29152424922336445,0.7808106472084619,0.3507402927719737,0.012180998807451944,0.12053880514593095,0.06989320289418004,0.23719665285873087
A--D,A,D,tenant_point__regional_reduced,1,20260725T113754Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115231Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.0008033672311948269,2,2,R0,R0,False,0.9848773284713249,0.9845996416828862,0.002963387950133061,0.0028393911229744077,0.005478608329304293,0.005620061831408147,0.9848773284713249,0.9845996416828862,0.0066806752492376605,0.0069409053627312225
A--D,A,D,tenant_point__raw_gac_finalize,1,20260725T113809Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115203Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.004792813476430814,2,2,R0,R0,False,0.9705730459054175,0.9681766391672021,0.005903159344380817,0.006033341115833655,0.010476254170039386,0.01139052588808164,0.9705730459054175,0.9681766391672021,0.013047540580162248,0.014399493828882575
A--D,A,D,top_tenants__regional_reduced,1,20260725T113823Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114955Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,0.9785869296989188,1,1,R2,R2,False,0.8440937461481315,0.35480028129867214,0.07875133327571229,0.27022895944284436,0.8440937461481315,0.35480028129867214,0.010393312597396679,0.12660078097522315,0.06676160797875949,0.2483699782832604
A--D,A,D,top_tenants__regional_reduced,0,20260725T113840Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T115058Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,0.9785840943279553,1,1,R2,R2,False,0.8441159157589601,0.3548238685949824,0.07888137555074662,0.2702469205559148,0.8441159157589601,0.3548238685949824,0.010414403875806279,0.12661154236144165,0.06658830481448703,0.2483176684876611
A--D,A,D,top_tenants__raw_gac_finalize,1,20260725T113856Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T115115Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.8597494097525026,1,1,R2,R2,False,0.780674105942629,0.35079940106637764,0.13691389283153982,0.29157199598804723,0.780674105942629,0.35079940106637764,0.012155387579089173,0.12056290384225953,0.07025661364674216,0.2370656991033156
A--D,A,D,tenant_point__regional_reduced,0,20260725T113913Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115132Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.0008010792493737787,2,2,R0,R0,False,0.9848760370072908,0.984599849683634,0.002963696156315217,0.0028393438552851403,0.00547917340750653,0.005619969164803168,0.9848760370072908,0.984599849683634,0.006681093428887456,0.006940837296277768
A--D,A,D,tenant_point__raw_gac_finalize,2,20260725T113927Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115217Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.004758133451325687,2,2,R0,R0,False,0.9705650979786619,0.9681860312529991,0.005905440854923051,0.006030679288486357,0.010480253089981729,0.011385575376720686,0.9705650979786619,0.9681860312529991,0.013049208076433371,0.014397714081794003
A--D,A,D,tenant_point__regional_reduced,2,20260725T113941Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115027Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.000826681892281818,2,2,R0,R0,False,0.9848902052505538,0.9845972352329668,0.002960308726077416,0.0028399377975235687,0.005472962630421102,0.00562113356352809,0.9848902052505538,0.9845972352329668,0.006676523392947482,0.006941693405981474
A--D,A,D,top_tenants__regional_reduced,2,20260725T113955Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T115146Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,0.9785877471943738,1,1,R2,R2,False,0.844102816310284,0.3548089427130971,0.07878213720827554,0.2702348068326237,0.844102816310284,0.3548089427130971,0.01039859418229406,0.1266049603117068,0.06671645229914652,0.24835129014257243
