logical_run_id,setting,value,provenance,source
clean-run-v1-region-asymmetry-skew-rerun,cache_policy,mixed_cache_first_observed,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-region-asymmetry-skew-rerun,citus_explain_all_tasks,True,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-region-asymmetry-skew-rerun,database_result_rows_stored,False,reconstructed_from_versioned_config,collector contract
clean-run-v1-region-asymmetry-skew-rerun,explicit_cache_reset,False,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-region-asymmetry-skew-rerun,fcm_fuzzifier,1.7,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-region-asymmetry-skew-rerun,fcm_k,4,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-region-asymmetry-skew-rerun,fcm_seeds,0..9,reconstructed_from_versioned_config,configs/features/phase1_flow_ratio_candidate.yml
clean-run-v1-region-asymmetry-skew-rerun,hard_timeout_seconds,300,recorded_at_run_time,_index/query_runs.csv
clean-run-v1-region-asymmetry-skew-rerun,main_explain_options,ANALYZE=true; BUFFERS=true; VERBOSE=true; FORMAT=JSON,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-region-asymmetry-skew-rerun,model_feature_count,21,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-region-asymmetry-skew-rerun,model_input_id,m0_flow_ratio_v3_reduced,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-region-asymmetry-skew-rerun,observation_unit,query_run_id,reconstructed_from_versioned_config,collector contract
clean-run-v1-region-asymmetry-skew-rerun,order_policy,deterministic_shuffle,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-region-asymmetry-skew-rerun,repetitions,1,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-region-asymmetry-skew-rerun,retry_semantics,append_attempt_then_logical_resolve,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/index_corpus_run_attempts.py
clean-run-v1-region-asymmetry-skew-rerun,shuffle_seed,20260702,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-region-asymmetry-skew-rerun,timeout_grace_seconds,30,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-region-asymmetry-skew-rerun,warmup_per_instance,False,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.region-asymmetry-companion-v1.yml
clean-run-v1-validation-holdout,auto_explain,log_min_duration=0; analyze=true; buffers=true; timing=false,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-validation-holdout,cache_policy,mixed_cache_first_observed,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
clean-run-v1-validation-holdout,citus_explain_all_tasks,True,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-validation-holdout,database_result_rows_stored,False,reconstructed_from_versioned_config,collector contract
clean-run-v1-validation-holdout,explicit_cache_reset,False,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
clean-run-v1-validation-holdout,fcm_fuzzifier,1.7,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-validation-holdout,fcm_k,4,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-validation-holdout,fcm_seeds,0..9,reconstructed_from_versioned_config,configs/features/phase1_flow_ratio_candidate.yml
clean-run-v1-validation-holdout,hard_timeout_seconds,300,recorded_at_run_time,_index/query_runs.csv
clean-run-v1-validation-holdout,main_explain_options,ANALYZE=true; BUFFERS=true; VERBOSE=true; FORMAT=JSON,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1-validation-holdout,model_feature_count,21,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-validation-holdout,model_input_id,m0_flow_ratio_v3_reduced,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1-validation-holdout,observation_unit,query_run_id,reconstructed_from_versioned_config,collector contract
clean-run-v1-validation-holdout,order_policy,deterministic_shuffle,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.validation-holdout-v1.yml
