cluster,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
0,0.0075537081937863725,0.014131744231537536,0.014403490217039688,0.02655460085225525,0.017292793928356136,0.002077415144324362,0.015580992465124014,3.4538664893609056e-05,0.004797616334851142,0.005383618605078495,0.007021506792902825,0.014879393517939595,0.01453078432696394,0.047896197185437056,0.01367750047013064,0.2907154499256575,0.253263086088291,0.28478563639404025,0.24802548528937762
1,0.2183008479786342,0.5337559890779675,0.22767423461998262,0.9248004059053757,0.48878122380948175,0.32691135721371795,0.4279530338776253,0.009273784464174456,0.0033067073015855984,0.021785308056281472,0.059223036019087856,0.2481246399659676,0.21219103468029576,0.00042096352915399406,0.49694014645531476,0.2479919117242035,0.45942020955271723,0.31452267570378967,0.3612910695349491
2,0.10870767719617846,0.4518972670961445,0.25063228918854247,0.8873705791111599,0.004257639735148304,0.0024825698275610436,0.0036570188552480344,0.00012434726885527509,0.019014907860374616,0.02110178344429212,0.027355465616465624,0.11987175150831014,0.11128171903566823,0.001217133211434285,0.10026551424773925,0.2331209776213803,0.33243249894704024,0.23416872498107616,0.31056054240335007
