k,seed,objective,iterations,converged,silhouette_hard_labels,partition_coefficient,modified_partition_coefficient,partition_entropy,normalized_partition_entropy,xie_beni_index,avg_max_membership,avg_top2_margin,cluster_min_share,cluster_max_share
3,0,191.32420187707433,14,True,0.6069302536880878,0.8758974246364076,0.8138461369546113,0.24617465811723982,0.22407783041976245,0.12965240106313977,0.921927430871842,0.8687943476606187,0.1425661914460285,0.4959266802443992
3,1,191.32420139232335,16,True,0.6069302536880878,0.8758978087204629,0.8138467130806941,0.2461703784012635,0.22407393485440197,0.12964706640026166,0.9219248600968613,0.8687890919808892,0.1425661914460285,0.4959266802443992
3,2,191.32420377116543,13,True,0.6069302536880878,0.8758968154729965,0.8138452232094947,0.2461699480180237,0.22407354310269464,0.12964248084480598,0.9219220178383678,0.868784166711796,0.1425661914460285,0.4959266802443992
3,3,191.32420159337167,16,True,0.6069302536880878,0.8758977207267067,0.81384658109006,0.24617020009658533,0.22407377255448963,0.1296464373217373,0.9219244927397533,0.8687884300672172,0.1425661914460285,0.4959266802443992
3,4,191.32420168125492,14,True,0.6069302536880878,0.8758976597989631,0.8138464896984444,0.24617019500954182,0.22407376792406308,0.1296461899427476,0.9219243358321961,0.8687881619995921,0.1425661914460285,0.4959266802443992
3,5,191.32420190973224,13,True,0.6069302536880878,0.8758958974976291,0.8138438462464435,0.2461757692992098,0.22407884186117946,0.12964818676972942,0.9219245302524008,0.8687896416304255,0.1425661914460285,0.4959266802443992
3,6,191.32420679733923,15,True,0.6069302536880878,0.8758959210883752,0.8138438816325628,0.2461700842376388,0.22407366709513174,0.12963918466108673,0.9219198928366972,0.8687805792968031,0.1425661914460285,0.4959266802443992
3,7,191.32420250611972,13,True,0.6069302536880878,0.8758954112180863,0.8138431168271295,0.24617538523428775,0.22407849227022184,0.12964565661737468,0.92192299683278,0.8687869542244527,0.1425661914460285,0.4959266802443992
3,8,191.3242045529552,16,True,0.6069302536880878,0.8758978340604101,0.813846751090615,0.2461763236643737,0.2240793464660975,0.12965670186744774,0.9219298330420491,0.8687987742512184,0.1425661914460285,0.4959266802443992
3,9,191.32420148619158,14,True,0.6069302536880878,0.8758975389942525,0.8138463084913787,0.24617082471454857,0.22407434110626143,0.12964671644530704,0.921924551948293,0.8687886598649052,0.1425661914460285,0.4959266802443992
4,0,145.54346454183627,33,True,0.5592814266344298,0.8152450927748078,0.7536601236997438,0.3687953907365913,0.26602964065919393,0.5928364999210297,0.8704626422093089,0.7903660063892637,0.1425661914460285,0.4959266802443992
4,1,152.61070317288295,16,True,0.4573906138272547,0.7643922326023759,0.6858563101365012,0.44713503403250693,0.32253974810320785,1.0251887933986235,0.8395721035823546,0.7353056838895405,0.1425661914460285,0.3615071283095723
4,2,142.89010110978808,19,True,0.6095309433985778,0.8337866618139811,0.7783822157519747,0.34831962714654524,0.2512594993643068,0.28834520256252544,0.8952550570728974,0.8336998483626332,0.12067209775967414,0.4959266802443992
4,3,142.89009669212072,20,True,0.6095309433985778,0.8337899264131465,0.7783865685508621,0.34831459655160424,0.25125587055711973,0.2883251202996212,0.8952563514746159,0.8337024978364334,0.12067209775967414,0.4959266802443992
4,4,142.89009780888702,20,True,0.6095309433985778,0.8337891790604995,0.778385572080666,0.34831573458737214,0.2512566914763991,0.28832963944999424,0.8952560726259776,0.8337019240190614,0.12067209775967414,0.4959266802443992
4,5,142.89008418336866,20,True,0.6095309433985778,0.8337922200664419,0.7783896267552559,0.3483120047714823,0.25125400098295525,0.2883195167878032,0.8952554066316044,0.8337009251565252,0.12067209775967414,0.4959266802443992
4,6,142.89010978804635,20,True,0.6095309433985778,0.8337816583951796,0.7783755445269062,0.3483272442439169,0.25126499393860885,0.2883754991827503,0.8952531766829611,0.8336959825681544,0.12067209775967414,0.4959266802443992
4,7,142.89009872533018,19,True,0.6095309433985778,0.8337885085791761,0.7783846781055681,0.3483167649484104,0.25125743472477924,0.2883337571522393,0.8952558088384225,0.833701383803613,0.12067209775967414,0.4959266802443992
4,8,142.89008904391034,23,True,0.6095309433985778,0.8337956997030633,0.7783942662707511,0.3483057969236217,0.2512495229672937,0.28829018576544174,0.8952585029037785,0.833706926659173,0.12067209775967414,0.4959266802443992
4,9,142.8900974385887,18,True,0.6095309433985778,0.8337893356933874,0.7783857809245166,0.3483155082018474,0.25125652817376215,0.2883287718761237,0.8952561142008981,0.8337020127536332,0.12067209775967414,0.4959266802443992
