feature,family,model_status,row_count,raw_non_null_count,raw_null_share,raw_min,raw_median,raw_p99,raw_max,semantic_min,semantic_median,semantic_p99,semantic_max,semantic_finite,semantic_in_unit_interval
foreign_scan_time_to_root_ratio,remote_fanin_fetch,KEEP_TRANSFORM,1964,1964,0.0,0.0,0.9721002485399965,0.9999285643367829,1.0,0.0,0.3797821152518135,0.38584748211755143,0.38586284191890446,True,True
remote_to_final_rows_ratio,remote_fanin_fetch,KEEP_TRANSFORM,1964,1684,0.1425661914460285,1.0,5050.5,360356.0,400000.0,0.0,0.9209312417410503,0.9488432538949747,0.9507451706424898,True,True
regional_input_to_wan_rows_ratio,remote_fanin_fetch,KEEP_TRANSFORM,1964,1684,0.1425661914460285,1.0,1.0,334.4066666666667,200000.0,0.0,0.38586284191890446,0.8915772025020829,0.9479602553283177,True,True
global_group_merge_ratio,regional_reduction,KEEP_TRANSFORM,1964,1684,0.1425661914460285,1.0,8000.0,360356.0,400000.0,0.0,0.9256839876560576,0.9488432538949747,0.9507451706424898,True,True
spill_present,normalized_spill_pressure,SPLIT,1964,1964,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True,True
spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,KEEP_TRANSFORM,1964,1684,0.1425661914460285,0.0,2.979439252336449,56.20553738317757,65.56719134811007,0.0,0.0,0.8456936172123826,0.8511333727916992,True,True
temp_blocks_per_final_row,normalized_spill_pressure,KEEP_TRANSFORM,1964,1964,0.0,0.0,10.552,9987.274222222195,16234.111111111111,0.0,0.7530087723615937,0.931140161217999,0.934566184632679,True,True
hash_batch_excess,normalized_spill_pressure,SPLIT,1964,1964,0.0,0.0,0.0,1.7399999999997817,3.0,0.0,0.0,0.46589648001348555,0.6021699719043225,True,True
remote_region_rows_isf_normalized,skew_imbalance,REDEFINE,1964,1372,0.3014256619144603,0.0,0.0,0.98000198000198,0.98000198000198,0.0,0.0,0.98000198000198,0.98000198000198,True,True
worker_task_scan_rows_isf_normalized,skew_imbalance,REDEFINE,1964,1372,0.3014256619144603,0.0,0.0106935215946843,0.9603999215840032,0.9603999215840032,0.0,0.008,0.9603999215840032,0.9603999215840032,True,True
worker_scan_rows_cv_normalized,skew_imbalance,ADD_FROM_Z,1964,1372,0.3014256619144603,0.0,0.03,0.9603999215840032,0.9603999215840032,0.0,0.0122474487139158,0.9603999215840032,0.9603999215840032,True,True
task_count_to_shard_count_ratio,citus_topology_normalized,KEEP_TRANSFORM,1964,1724,0.12219959266802444,0.03125,1.0,4.0625,4.0625,0.0,0.38586284191890446,0.6482557582036192,0.6482557582036192,True,True
active_task_share,citus_topology_normalized,KEEP_TRANSFORM,1964,1724,0.12219959266802444,0.03125,1.0,2.03125,2.03125,0.0,0.38586284191890446,0.5328662216172926,0.5328662216172926,True,True
citus_repartition_observed_v2,citus_topology_normalized,KEEP_IDENTITY,1964,1964,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,True,True
worker_task_seq_scan_share,citus_topology_normalized,KEEP_IDENTITY,1964,1372,0.3014256619144603,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,True,True
root_rows_estimate_error_log,estimate_error,KEEP_TRANSFORM,1964,1964,0.0,-5.92943915613853,0.0,2.545531271604435,3.228826155721369,0.05318251501255433,0.5,0.8808491745630005,0.9043984443288973,True,True
foreign_scan_rows_estimate_error_log,estimate_error,KEEP_TRANSFORM,1964,1372,0.3014256619144603,-0.6931471805599453,4.475907850233953,7.787796878181171,7.791522819150732,0.30706857904054774,0.9088975778135804,0.959344576282659,0.9593687656212921,True,True
aggregate_rows_estimate_error_log,estimate_error,KEEP_TRANSFORM,1964,1654,0.15784114052953158,-4.399726211773283,0.0,5.910703755158252,6.748135274938521,0.07113909215436925,0.5,0.9465030030672061,0.9531707543829477,True,True
remote_root_rows_estimate_error_log,estimate_error,KEEP_TRANSFORM,1964,1684,0.1425661914460285,-6.897814948078969,0.693142180597445,9.210440366976515,9.210440366976515,0.045827206094604445,0.6929303459228214,0.9655751622100568,0.9655751622100568,True,True
