query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T114249Z-clean-run-eu-us-gac-v1__pilot-balanc--e5ccb3819851--__limit_k-100__payload_repeat-64__payload_width-512,0.999939601125835,1.0,1003.22,1.0,1,9.473845368716509,46.41,0.0,0.0,0.0081794685628405,0.0292458284324475,1.0,1.0,0,1.0,0.0,-0.3477241134186479,,-6.897814948078969
20260626T114304Z-clean-run-eu-us-gac-v1__pilot-balanc--068c334e695d--ollup__lookback_days-14__min_value-900__limit_k-100,0.965796656223949,399.35,1.0,399.35,0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,2.0,1.0,0,1.0,0.0,3.860784821122999,3.9618542941059887,-1.6242062833596462
20260626T114320Z-clean-run-eu-us-gac-v1__pilot-balanc--3defc2041615--gion_user_segment_join__lookback_days-7__limit_k-25,0.956306896400122,66666.66666666667,1.0,66666.66666666667,1,24.41557305336833,6201.555555555556,0.0,0.0,0.0079160104986876,0.0122474487139158,4.0,2.0,0,1.0,-0.832909122935104,4.84343737506235,-0.832909122935104,0.693142180597445
20260626T114349Z-clean-run-eu-us-gac-v1__pilot-balanc--bfb7f603474b--ac_fdw_daily_rollup__lookback_days-1__min_value-100,0.9976575173928292,90179.0,1.0,90179.0,1,3.753016323633783,661.0,0.0,0.0,0.0079544304177819,0.0294636223511016,1.0,1.0,0,1.0,-3.8501476017100575,3.2153762587419363,-3.8501476017100575,0.5897691231327988
20260626T114408Z-clean-run-eu-us-gac-v1__pilot-balanc--aa7d9a00723a--fdw_user_segment_join__lookback_days-30__limit_k-50,0.8563304162527935,33333.333333333336,1.0,33333.333333333336,1,37.31058617672791,4738.444444444444,0.0,0.0,0.0105396825396825,0.03,2.0,2.0,0,1.0,-0.1823215567939546,5.826548526034221,-0.1823215567939546,0.693142180597445
20260626T114429Z-clean-run-eu-us-gac-v1__pilot-balanc--f77810cb1b3a--tenant_point_rollup__tenant_id-100__lookback_days-1,0.9996874457371072,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0,0.0,0.0,0.4054651081081644,0.0,5.303304908059076
20260626T114444Z-clean-run-eu-us-gac-v1__pilot-balanc--ac2093b36f03--_fdw_global_user_join__lookback_days-1__limit_k-100,0.957540802370725,33333.333333333336,1.0,33333.333333333336,1,15.602527037156012,2023.7777777777776,0.0,0.0,0.0105396825396825,0.0066666666666666,2.0,2.0,0,1.0,0.0,5.111018268193043,0.0,0.693142180597445
20260626T114505Z-clean-run-eu-us-gac-v1__pilot-balanc--de704aced79b--enant_point_rollup__tenant_id-1000__lookback_days-1,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T114520Z-clean-run-eu-us-gac-v1__pilot-balanc--9b4c753a2606--egion_tenant_tier_join__lookback_days-3__limit_k-10,0.983905546645798,40200.0,1.0,40200.0,1,3.157133744418456,371.2,0.0,0.0,0.0083582089552238,0.0103565472610255,2.0625,1.03125,0,1.0,0.0,3.5274435292861064,-3.780687003367059,6.90875477931522
20260626T114543Z-clean-run-eu-us-gac-v1__pilot-balanc--b384222632f1--_fdw_user_segment_join__lookback_days-7__limit_k-50,0.9338008838544132,33333.333333333336,1.0,33333.333333333336,1,15.7331583552056,1998.111111111111,0.0,0.0,0.0105396825396825,0.03,2.0,2.0,0,1.0,-0.1823215567939546,4.84343737506235,-0.1823215567939546,0.693142180597445
