method,episode_count,recommendation_count,coverage,top1_accuracy,mean_regret_log2,fixed_action
static_action_median,45,45,1.0,0.6888888888888889,0.34948006627942385,mitigate_remote_path_bundle
knn_cold_start,45,41,0.9111111111111111,0.8780487804878049,0.041257487314634016,
knn_cold_start_excluding_same_query,45,32,0.7111111111111111,0.90625,0.027412774520026585,
exact_query_memory,45,30,0.6666666666666666,1.0,0.0,
hierarchical_cold_start,45,41,0.9111111111111111,0.9512195121951219,0.01511173192160335,
hierarchical_warm_start,45,44,0.9777777777777777,0.9545454545454546,0.014081386563312214,
knn_warm_start,45,44,0.9777777777777777,0.9318181818181818,0.019936563287292063,
knn_warm_start_excluding_same_query,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458,
