distance_metric,neighbors,coverage_quantile,coverage_threshold,episode_count,recommendation_count,coverage,top1_accuracy,mean_regret_log2
euclidean,1,0.9,1.3652056422546464,45,36,0.8,0.75,0.42589239350483804
euclidean,1,0.95,1.624391452871377,45,40,0.8888888888888888,0.75,0.39582574056263675
euclidean,1,0.99,1.9533554892194174,45,41,0.9111111111111111,0.7560975609756098,0.3861714542074505
euclidean,1,1.0,2.056915703364297,45,41,0.9111111111111111,0.7560975609756098,0.3861714542074505
euclidean,3,0.9,1.3652056422546464,45,36,0.8,0.8888888888888888,0.10863343534571247
euclidean,3,0.95,1.624391452871377,45,40,0.8888888888888888,0.825,0.1197003114271625
euclidean,3,0.99,1.9533554892194174,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
euclidean,3,1.0,2.056915703364297,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
euclidean,5,0.9,1.3652056422546464,45,36,0.8,1.0,0.0
euclidean,5,0.95,1.624391452871377,45,40,0.8888888888888888,0.925,0.02193021961602127
euclidean,5,0.99,1.9533554892194174,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
euclidean,5,1.0,2.056915703364297,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
euclidean,7,0.9,1.3652056422546464,45,36,0.8,1.0,0.0
euclidean,7,0.95,1.624391452871377,45,40,0.8888888888888888,0.925,0.02193021961602127
euclidean,7,0.99,1.9533554892194174,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
euclidean,7,1.0,2.056915703364297,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
manhattan,1,0.9,2.3782235646811536,45,26,0.5777777777777777,0.9230769230769231,0.07661183259811247
manhattan,1,0.95,2.949913400090793,45,37,0.8222222222222222,0.8648648648648649,0.10890489797027265
manhattan,1,0.99,4.205153185858831,45,41,0.9111111111111111,0.8536585365853658,0.11049718734710699
manhattan,1,1.0,4.580166691095397,45,41,0.9111111111111111,0.8536585365853658,0.11049718734710699
manhattan,3,0.9,2.3782235646811536,45,26,0.5777777777777777,0.9230769230769231,0.07661183259811247
manhattan,3,0.95,2.949913400090793,45,37,0.8222222222222222,0.8648648648648649,0.10890489797027265
manhattan,3,0.99,4.205153185858831,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
manhattan,3,1.0,4.580166691095397,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
manhattan,5,0.9,2.3782235646811536,45,26,0.5777777777777777,1.0,0.0
manhattan,5,0.95,2.949913400090793,45,37,0.8222222222222222,0.972972972972973,0.0032075014176875406
manhattan,5,0.99,4.205153185858831,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
manhattan,5,1.0,4.580166691095397,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
manhattan,7,0.9,2.3782235646811536,45,26,0.5777777777777777,1.0,0.0
manhattan,7,0.95,2.949913400090793,45,37,0.8222222222222222,0.972972972972973,0.0032075014176875406
manhattan,7,0.99,4.205153185858831,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
manhattan,7,1.0,4.580166691095397,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
cosine,1,0.9,0.09556210096881357,45,33,0.7333333333333333,0.696969696969697,0.47978877643955975
cosine,1,0.95,0.16059760124384523,45,41,0.9111111111111111,0.7560975609756098,0.3861714542074505
cosine,1,0.99,0.2574757610674847,45,41,0.9111111111111111,0.7560975609756098,0.3861714542074505
cosine,1,1.0,0.2827830782602041,45,41,0.9111111111111111,0.7560975609756098,0.3861714542074505
cosine,3,0.9,0.09556210096881357,45,33,0.7333333333333333,0.7878787878787878,0.1450912865783788
cosine,3,0.95,0.16059760124384523,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
cosine,3,0.99,0.2574757610674847,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
cosine,3,1.0,0.2827830782602041,45,41,0.9111111111111111,0.8292682926829268,0.11678079163625611
cosine,5,0.9,0.09556210096881357,45,33,0.7333333333333333,0.8181818181818182,0.11637228316892015
cosine,5,0.95,0.16059760124384523,45,41,0.9111111111111111,0.8536585365853658,0.09366549620913085
cosine,5,0.99,0.2574757610674847,45,41,0.9111111111111111,0.8536585365853658,0.09366549620913085
cosine,5,1.0,0.2827830782602041,45,41,0.9111111111111111,0.8536585365853658,0.09366549620913085
cosine,7,0.9,0.09556210096881357,45,33,0.7333333333333333,0.9090909090909091,0.026582084383056082
cosine,7,0.95,0.16059760124384523,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
cosine,7,0.99,0.2574757610674847,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
cosine,7,1.0,0.2827830782602041,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
