coverage_quantile,coverage_threshold,episode_count,recommendation_count,coverage,top1_accuracy,mean_regret_log2
0.5,0.9518997652501201,45,10,0.2222222222222222,1.0,0.0
0.6,1.0048804424723619,45,15,0.3333333333333333,1.0,0.0
0.7,1.0434698435189014,45,16,0.35555555555555557,1.0,0.0
0.8,1.0983965750182054,45,21,0.4666666666666667,1.0,0.0
0.9,1.3652056422546464,45,36,0.8,1.0,0.0
0.95,1.624391452871377,45,40,0.8888888888888888,0.925,0.02193021961602127
0.99,1.9533554892194174,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
1.0,2.056915703364297,45,41,0.9111111111111111,0.926829268292683,0.021395336210752458
