memory_size,sampling_repetitions,target_count_per_repetition,pooled_coverage,pooled_top1_issued,pooled_regret_issued_log2,pooled_candidate_top1,pooled_candidate_regret_log2,coverage_q025,coverage_median,coverage_q975,top1_issued_q025,top1_issued_median,top1_issued_q975,regret_issued_q025,regret_issued_median,regret_issued_q975,candidate_top1_q025,candidate_top1_median,candidate_top1_q975,candidate_regret_q025,candidate_regret_median,candidate_regret_q975,reference_case_count,new_cohort_case_count
26,2000,15,0.0,,,0.5333333333333333,0.3893903511400396,0.0,0.0,0.0,,,,,,,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.38939035114003967,0.38939035114003967,0.38939035114003967,26,0
27,2000,15,0.8954,0.5429603156875884,0.33978495471263886,0.5572666666666667,0.35551083307608855,0.7333333333333333,0.9333333333333333,1.0,0.38461538461538464,0.5384615384615384,0.6923076923076923,0.1406578026098905,0.34079671261379135,0.5125801076304788,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.2032456102620497,0.3811991942630724,0.4525126136302401,26,1
28,2000,15,0.9834333333333334,0.5626546452903095,0.3691033996228615,0.5633,0.3732568795759264,0.9333333333333333,1.0,1.0,0.35714285714285715,0.5714285714285714,0.7333333333333333,0.14840980060002298,0.36378470824910125,0.6191703396437008,0.4,0.5333333333333333,0.7333333333333333,0.15500592399975202,0.3747477227751801,0.6215383606066478,26,2
29,2000,15,0.9975,0.5402172096908939,0.40704832256545737,0.5397,0.408976454377879,0.9333333333333333,1.0,1.0,0.3333333333333333,0.5333333333333333,0.7333333333333333,0.17237605188233346,0.4005904599209231,0.6713977575403832,0.3333333333333333,0.5333333333333333,0.7333333333333333,0.1744624746144208,0.40245999106936825,0.6761953383778605,26,3
31,2000,15,1.0,0.5218333333333334,0.4507836618316427,0.5218333333333334,0.4507836618316427,1.0,1.0,1.0,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.1837987726166137,0.44615070332521933,0.7474749646800553,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.1837987726166137,0.44615070332521933,0.7474749646800553,26,5
34,2000,15,1.0,0.6162333333333333,0.319582803200283,0.6162333333333333,0.319582803200283,1.0,1.0,1.0,0.4,0.6,0.8,0.12744802065665523,0.31347548623719607,0.5794769766074426,0.4,0.6,0.8,0.12744802065665523,0.31347548623719607,0.5794769766074426,26,8
36,2000,15,1.0,0.6356333333333334,0.2951897241098469,0.6356333333333334,0.2951897241098469,1.0,1.0,1.0,0.4666666666666667,0.6666666666666666,0.8,0.13742455524457775,0.2704105107665314,0.510695889812635,0.4666666666666667,0.6666666666666666,0.8,0.13742455524457775,0.2704105107665314,0.510695889812635,26,10
40,2000,15,1.0,0.6666666666666666,0.25282270218448466,0.6666666666666666,0.25282270218448466,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25282270218448466,0.25282270218448466,0.25282270218448466,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25282270218448466,0.25282270218448466,0.25282270218448466,26,14
