pair_subset,state_distance_bin,pair_count,state_distance_min,state_distance_median,state_distance_max,response_distance_raw_median,response_distance_centered_median,response_rank_distance_median,same_winner_probability
all,1,1703,0.026620562405065388,1.7870305642058582,3.0681324254999622,1.6837762799568938,1.247696469188643,0.0,0.7169700528479155
all,2,1703,3.0712189102767544,5.163772167491077,6.334360749677906,2.618588549857971,2.055790001355403,1.4142135623730951,0.34233705226071637
all,3,1703,6.33583346945695,8.115186700361631,8.770144362597987,2.3188025770604237,1.7705791021532313,1.4142135623730951,0.46153846153846156
all,4,1703,8.770789959440359,10.38936695114138,13.424767152776496,2.10010615376942,1.6731246408346985,1.4142135623730951,0.6236054022313564
all,5,1703,13.424794684141302,14.766662703584492,23.38480098540922,1.9042804631165924,1.4326552188589523,1.4142135623730951,0.5161479741632413
different_query_id,1,1655,0.1742895065723318,1.9288399246199393,3.394854062339619,1.8118606399375285,1.3615062003863627,0.0,0.6779456193353475
different_query_id,2,1655,3.398091433811466,5.313306744006618,6.394912863534807,2.7043456678370017,2.07965223954974,1.4142135623730951,0.3377643504531722
different_query_id,3,1655,6.396243128555839,8.217070823327298,8.801958701129383,2.3681395623273813,1.8030074724639928,1.4142135623730951,0.4350453172205438
different_query_id,4,1655,8.802054954366893,10.442985093455869,13.501195313354971,2.084147700004553,1.6471670943162027,0.0,0.6362537764350453
different_query_id,5,1655,13.502017990252682,14.757931318890913,23.38480098540922,1.9266154477118458,1.4658870640703092,1.4142135623730951,0.5057401812688822
confirmatory_vs_all_prior,1,348,0.3830471376572178,4.532176255299078,5.451337489630514,1.9834165187461206,1.5140137015308455,0.0,0.603448275862069
confirmatory_vs_all_prior,2,348,5.457910508647669,5.948963977522191,6.299669099624572,2.0857336338793075,1.7530316388453748,1.4142135623730951,0.41379310344827586
confirmatory_vs_all_prior,3,348,6.300801825689653,6.485045756371061,6.964018715506164,2.4218255585179334,1.6997771544889053,1.4142135623730951,0.4942528735632184
confirmatory_vs_all_prior,4,348,6.972732878220041,14.24941823517943,14.52891792861413,1.7161914520777617,1.1943084409668285,0.0,0.5804597701149425
confirmatory_vs_all_prior,5,348,14.530643072224903,14.6995890264216,15.06663243851098,1.6153317406045713,1.3595854738881974,1.4142135623730951,0.45689655172413796
