left_index,right_index,left_query_id,right_query_id,pair_type,same_query_id,same_logical_question,state_distance,response_distance_raw,response_distance_centered,response_rank_distance,same_winner,left_winner,right_winner
0,14,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference-reference,False,True,6.218712197187452,6.079710092790059,3.6283730708016844,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
0,15,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",reference-reference,False,True,6.744781031041094,5.905413447205459,3.4776537395419678,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
0,16,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",reference-reference,False,True,6.8216806884610754,6.147961858673755,3.6420333420082325,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
0,17,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",reference-reference,False,True,7.053059275195786,6.35109158035945,3.7692625649205684,2.449489742783178,False,regional_topk_candidates,mitigate_remote_path_bundle
0,18,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference-reference,False,True,2.056915703364297,0.8026887516359881,0.6164198655919425,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
0,19,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",reference-reference,False,True,2.819757144419073,0.6564444573374014,0.4856452889408522,0.0,True,regional_topk_candidates,regional_topk_candidates
0,20,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",reference-reference,False,True,2.8624613048549854,1.8402933807994097,1.389584713639106,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
0,21,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",reference-reference,False,True,3.5084343031120926,0.9245279567626031,0.7083968508534537,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
0,22,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference-reference,False,True,5.810378258451227,5.258562175020542,3.6820968016193127,2.449489742783178,False,regional_topk_candidates,mitigate_remote_path_bundle
0,23,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",reference-reference,False,True,6.231322807833603,4.464897223842072,3.093265280712626,1.4142135623730951,False,regional_topk_candidates,mitigate_remote_path_bundle
