memory_scope,memory_size,recommendation_count,coverage,top1_issued,candidate_correct_count,candidate_top1,candidate_regret_log2,median_nearest_distance
reference_only,26,0,0.0,,8,0.5333333333333333,0.38939035114003967,5.005053904350432
reference_plus_final_dba,71,0,0.0,,8,0.5333333333333333,0.38939035114003967,4.956839637494194
reference_plus_topology,71,15,1.0,0.4666666666666667,7,0.4666666666666667,0.6264371311722374,0.8290628888700475
all_prior_panels,116,15,1.0,0.4666666666666667,7,0.4666666666666667,0.6264371311722374,0.8290628888700475
all_prior_plus_other_confirmatory,130,15,1.0,0.6,9,0.6,0.3908248355624412,0.3393025743106615
