pair_subset,radius_label,radius,pair_count,same_winner_count,same_winner_probability,wilson_95_low,wilson_95_high,unconditional_same_winner_probability,lift_over_baseline
all,pooled_q01,0.5703068230743868,86,79,0.9186046511627907,0.8413981733460679,0.9600135684612175,0.5321197886083382,0.38648486255445247
all,pooled_q02,0.8825252608550558,171,151,0.8830409356725146,0.8262516283359708,0.9229985831618924,0.5321197886083382,0.35092114706417643
all,pooled_q05,1.3338642632289912,426,330,0.7746478873239436,0.7326190245202298,0.8117677376176022,0.5321197886083382,0.24252809871560543
all,pooled_q10,1.787290698857044,852,617,0.7241784037558685,0.6932127526081272,0.753131597812074,0.5321197886083382,0.1920586151475303
all,pooled_q20,3.0706016133213967,1703,1221,0.7169700528479155,0.6951054833248193,0.7378579862352631,0.5321197886083382,0.1848502642395773
all,pooled_q30,5.164937109346913,2555,1497,0.5859099804305283,0.5666957012463646,0.6048663150273298,0.5321197886083382,0.053790191822190137
all,pooled_q50,8.115186700361631,4258,2321,0.545091592296853,0.5301007219100055,0.5600011750540964,0.5321197886083382,0.012971803688514805
all,pooled_q75,10.88910038929842,6386,3353,0.5250548073911682,0.5127956285921734,0.5372838611826886,0.5321197886083382,-0.00706498121717003
all,pooled_q100,23.38480098540922,8515,4531,0.5321197886083382,0.5215095895106582,0.5427010197187948,0.5321197886083382,0.0
all,frozen_P99,1.9533554892194174,995,717,0.7206030150753768,0.6919151559529829,0.74759403354173,0.5321197886083382,0.18848322646703863
different_query_id,pooled_q01,0.5703068230743868,26,19,0.7307692307692307,0.5391695962082381,0.8629555167798162,0.5185498489425981,0.21221938182663258
different_query_id,pooled_q02,0.8825252608550558,65,45,0.6923076923076923,0.5720235708527267,0.7911296863307898,0.5185498489425981,0.17375784336509414
different_query_id,pooled_q05,1.3338642632289912,288,192,0.6666666666666666,0.6103444444998415,0.7186012796201225,0.5185498489425981,0.14811681772406848
different_query_id,pooled_q10,1.787290698857044,710,475,0.6690140845070423,0.6335726686245108,0.7026364392024474,0.5185498489425981,0.1504642355644441
different_query_id,pooled_q20,3.0706016133213967,1559,1077,0.6908274534958306,0.6674409199763215,0.7132758805934442,0.5185498489425981,0.1722776045532325
different_query_id,pooled_q30,5.164937109346913,2411,1353,0.5611779344670261,0.5412879823572427,0.5808732464565385,0.5185498489425981,0.04262808552442798
