episode_id,query_id,topology_id,cohort,scenario_order,logical_question_id,round_id,case_index,best_action,winner_margin_log2,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,gain__increase_gac_work_mem,gain__regional_topk_candidates,gain__mitigate_remote_path_bundle
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,17,event_raw_wide_sample,development,16,mitigate_remote_path_bundle,0.9875076007407625,-2.6274978720569035,0.7003942001786824,-0.5638974655066943,-0.10556119301054247,0.08902501872392679,0.2983773448325545,-0.015044477780739,-0.0135301914052389,0.9739774093355236
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,18,event_raw_wide_sample,development,17,mitigate_remote_path_bundle,0.4995703070600409,-2.73609595552226,-0.8914459391970824,-0.5247015071093339,0.15910787654838704,0.06624991901421504,0.41504920893621633,0.0698044793371713,0.0315669702360576,0.5693747863972122
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,19,event_raw_wide_sample,development,18,mitigate_remote_path_bundle,0.12986453734418557,2.7592410570526793,0.9003225031820216,0.7221808146320755,0.10234832885169255,-0.2832491224525333,-0.10830017021702543,0.0084124371532831,4.247803521993864,4.37766805933805
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,20,event_raw_wide_sample,development,19,regional_topk_candidates,1.094514686285759,2.4706790352459063,-1.2698066805841595,0.8936862513797921,0.11159555820138782,-0.14808219571314407,-0.08279942155143313,0.0051622454887038,5.689366145087311,4.594851458801552
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,21,event_raw_wide_sample,development,20,mitigate_remote_path_bundle,0.9801139505903316,1.8895775163391983,0.9736325619057263,0.5465044798215174,-0.4882919978440955,-0.31550412636972236,-0.0004151865969646928,0.0063254578290735,3.2240845074472664,4.204198458037598
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,22,event_raw_wide_sample,development,21,mitigate_remote_path_bundle,0.23286584486760642,1.5740081030867326,-1.2343898597275762,0.6622914245453235,-0.17257744839737227,-0.43733638808037234,0.08677628280997512,0.0081868930148983,4.127185858907333,4.360051703774939
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,23,event_raw_wide_sample,development,22,mitigate_remote_path_bundle,3.0647368890989126,-1.7040968720099858,1.2851667538336078,0.5774750618127602,0.10105150914766627,0.010714729742899564,-0.45219479355999737,-0.0118498816152615,-0.0192520534769867,3.052887007483651
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,24,event_raw_wide_sample,development,23,mitigate_remote_path_bundle,2.439970423548709,-2.0063022923196256,-0.8710769288915101,0.7305535531162466,0.45616204555876433,-0.1616320537445933,-0.4207949154650238,-0.0190705540866633,0.7633310432797628,3.203301466828472
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,25,event_raw_wide_sample,development,24,mitigate_remote_path_bundle,2.6859585947327833,-2.3367957873453546,0.644119545577028,0.6147416523914454,0.525305307959613,-0.89908106057831,0.34974154832633386,0.0324494079589184,0.0163455941021423,2.7184080026917017
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,26,event_raw_wide_sample,development,25,mitigate_remote_path_bundle,2.4425451407752328,-2.4885824855585943,-0.7919746657035543,0.7165797481309095,-0.3172216703729577,-0.01819165748891482,0.08756878765771664,0.0044125939297464,0.2612314581242365,2.703776598899469
