condition_id,metric,observed_repetitions,mean,standard_deviation,coefficient_of_variation,median,mad,robust_relative_dispersion,minimum,maximum
cond-0310221dd4f525ebbd94,elapsed_seconds,3,0.3132276666666667,0.00811373873952897,0.02590364646225047,0.312832,0.007512999999999992,0.035606248082037606,0.305319,0.321532
cond-0310221dd4f525ebbd94,main_root_actual_total_time_ms,3,241.7843333333333,6.0898359857498106,0.025187057828739156,240.434,3.9509999999999934,0.024363245630817564,236.483,248.436
cond-035b1b9f0c873b267eb4,elapsed_seconds,3,0.042486,0.0025198954343384978,0.05931119508399232,0.042637,0.0022900000000000004,0.07962928911508785,0.039894,0.044927
cond-035b1b9f0c873b267eb4,main_root_actual_total_time_ms,3,0.39033333333333337,0.027501515109777736,0.07045648619072006,0.39,0.027000000000000024,0.10264153846153855,0.363,0.418
cond-06d0a73fabed411b37fc,elapsed_seconds,3,0.167519,0.024617760194623715,0.14695503312832403,0.16611,0.022473999999999994,0.20058968394437415,0.143636,0.192811
cond-06d0a73fabed411b37fc,main_root_actual_total_time_ms,3,110.87833333333333,23.39464264171037,0.21099381581953525,110.784,23.253,0.31119022422010395,87.531,134.32
cond-0754ed1d08faa440d5bb,elapsed_seconds,3,226.54204600000003,0.08793797951396241,0.00038817509185011247,226.584027,0.01709900000000175,0.00011188333853737447,226.440985,226.601126
cond-0754ed1d08faa440d5bb,main_root_actual_total_time_ms,3,224036.4026666667,74.13835661339657,0.00033092102770326825,224062.692,31.122000000003027,0.00020593110253269868,223952.702,224093.814
cond-0815667b5c439756a642,elapsed_seconds,5,0.11216059999999999,0.009117132241006482,0.08128640753532419,0.10906,0.002227999999999994,0.030288215661103894,0.104247,0.127821
cond-0815667b5c439756a642,main_root_actual_total_time_ms,5,38.94199999999999,1.2093711175648276,0.03105570123683498,38.83,0.6119999999999948,0.023367272727272525,37.699,40.878
cond-109494aaf85c5b74f7dc,elapsed_seconds,3,0.45044833333333334,0.01955361757663612,0.04340923504353689,0.460521,0.0023909999999999765,0.007697578612050188,0.427912,0.462912
cond-109494aaf85c5b74f7dc,main_root_actual_total_time_ms,3,371.04400000000004,18.34604227074604,0.049444384684150765,380.867,1.5199999999999818,0.005916900125240498,349.878,382.387
cond-129d83d07d674987662d,elapsed_seconds,3,4.329117,0.10127619134327663,0.023394191319679424,4.318048,0.0842179999999999,0.02891621556777503,4.23383,4.435473
cond-129d83d07d674987662d,main_root_actual_total_time_ms,3,4242.159333333334,100.94954376485991,0.023796735537874633,4231.43,84.42700000000059,0.02958136379427306,4147.003,4348.045
cond-1661f99ef69859e5d461,elapsed_seconds,3,0.2576323333333333,0.0029218635035424623,0.011341214302329273,0.257428,0.002610000000000001,0.015031721491057701,0.254818,0.260651
cond-1661f99ef69859e5d461,main_root_actual_total_time_ms,3,197.846,1.6187720654866795,0.008181980254777349,197.279,0.6920000000000073,0.005200549475615808,196.587,199.672
cond-17b0613b129bd2b9c16c,elapsed_seconds,3,4.015856666666667,0.09985524475125634,0.02486524122738187,3.973655,0.029624000000000095,0.011052932979838496,3.944031,4.129884
cond-17b0613b129bd2b9c16c,main_root_actual_total_time_ms,3,3929.2990000000004,97.06177956847908,0.02470205997774134,3887.951,28.19300000000021,0.01075089212801301,3859.758,4040.188
cond-1c1b79e78e1cf306ea1b,elapsed_seconds,3,1.5266453333333334,0.05178914276499794,0.03392349331846424,1.537877,0.03402000000000016,0.03279719509427622,1.470162,1.571897
cond-1c1b79e78e1cf306ea1b,main_root_actual_total_time_ms,3,1442.912333333333,54.048619393406696,0.037458006383899074,1456.394,32.549999999999955,0.033135696796333915,1383.399,1488.944
cond-1ef8768e78a1de56adf1,elapsed_seconds,5,1.572268,0.09558232637888663,0.06079264246228164,1.563755,0.019225000000000048,0.01822727025653,1.461219,1.725043
cond-1ef8768e78a1de56adf1,main_root_actual_total_time_ms,5,1508.1065999999998,94.79876506210405,0.06285945904759256,1499.527,17.869000000000142,0.017667290685663018,1399.097,1660.492
cond-213094df63d00ed2a194,elapsed_seconds,3,0.345747,0.049221379135493536,0.1423624185762813,0.320205,0.005657999999999996,0.026197438515950702,0.314547,0.402489
cond-213094df63d00ed2a194,main_root_actual_total_time_ms,3,283.9823333333333,48.50453226589585,0.17080123152929413,260.158,8.161000000000001,0.046508270358781974,251.997,339.792
cond-21e27f028b9d2c7391c4,elapsed_seconds,3,0.3426126666666667,0.018018297265095084,0.052590867233246144,0.332812,0.0011929999999999996,0.0053145373363941185,0.331619,0.363407
cond-21e27f028b9d2c7391c4,main_root_actual_total_time_ms,3,282.70966666666664,18.58634233337298,0.06574356849031096,272.665,1.358000000000004,0.007384045623750777,271.307,304.157
cond-225db1900d966640512e,elapsed_seconds,3,4.204052,0.039635310431482704,0.009427883011790221,4.20114,0.035186999999999635,0.0124176404975791,4.165953,4.245063
cond-225db1900d966640512e,main_root_actual_total_time_ms,3,4115.081666666666,43.72683508251342,0.010625994481886773,4113.907,41.952999999999975,0.0151193300675003,4071.954,4159.384
cond-22930995d28b411a802a,elapsed_seconds,3,0.17109533333333335,0.030242294643980525,0.17675698135530984,0.158884,0.010015999999999997,0.09346266206792374,0.148868,0.205534
cond-22930995d28b411a802a,main_root_actual_total_time_ms,3,113.65599999999999,27.9892447022066,0.24626279916772192,103.773,11.823999999999998,0.16892893527218059,91.949,145.246
cond-235171408d34ddfd185e,elapsed_seconds,3,45.104486333333334,0.10155520530397946,0.0022515544141986526,45.076319,0.05633100000000013,0.0018527764123774213,45.019988,45.217152
cond-235171408d34ddfd185e,main_root_actual_total_time_ms,3,42621.92633333334,101.52192439238786,0.002381917785658378,42593.786,56.34300000000076,0.001961181187321576,42537.443,42734.55
cond-237ce059e3ec5c42e426,elapsed_seconds,3,0.3070463333333333,0.04535177946159701,0.14770337417565757,0.327091,0.01183099999999998,0.05362617925898288,0.255126,0.338922
