runtime_config_id,condition_count,repetition_count,plan_stable_condition_count,minimum_dominant_cluster_agreement,median_top_membership,median_top2_margin,median_mean_membership_l1,maximum_membership_l1,clear_prototype_condition_count,mixed_boundary_condition_count,weak_prototype_coverage_condition_count
default,57,211,57,1.0,0.4825610672962355,0.17801884412139823,0.00010059019078534348,0.05897142250493623,24,24,9
fetch_large,6,18,6,1.0,0.5439832280815001,0.26273827112622017,0.00010529466285054874,0.0004446264031340956,3,1,2
fetch_small,6,18,6,1.0,0.4984906100595212,0.26202467958200987,9.96744459354487e-05,0.0002844453093003227,3,0,3
wan_0ms,7,21,7,1.0,0.41576067870164196,0.09058228435810234,6.649276603769756e-05,0.00027717757927164105,3,2,2
wan_100ms,7,21,7,1.0,0.461969819231326,0.13271355882683344,2.0035825094672406e-05,0.0001917298008272117,2,3,2
wan_40ms,4,12,4,1.0,0.49932826495852367,0.26417085482448766,7.013884435631372e-06,4.122058691821001e-05,2,0,2
work_mem_high,5,15,5,1.0,0.6052930880715347,0.40987193557304546,0.00010849074038509395,0.0002963998957090097,3,2,0
work_mem_low,4,12,4,1.0,0.5954774740737002,0.3588395935049702,0.00014858432340307884,0.0003075179358988864,2,2,0
