query_run_id,remote_path_share,remote_to_final_rows_ratio,wan_output_to_final_rows_ratio,drf_bytes_proxy,global_group_merge_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,spill_per_wan_mb,hash_batches_max,remote_region_rows_isf,worker_task_scan_rows_isf,worker_task_scan_actual_rows_max_share,task_count_to_shard_count_ratio,active_task_share,citus_repartition_query,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260724T223007Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,-1.5195268391980015,0.0,0.0,0.0,0.0,0.0,0.0,-0.9186346130954639,0.0,-0.1286978904175566,0.0,0.0,0.0,0.0,0.0,-0.14418745018211765,0.0,0.7161310295924768,0.0,0.10798946485441378,0.0
20260724T223022Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0.6844167304772343,1.1693328211874001,1.1245197170935155,-0.1983821471319045,1.1245197170935155,0.24047813353197092,-0.13511536075770025,1.1775410157237223,-0.21336497090917686,-0.1286978904175566,-0.161625113686919,-0.6899544983438116,-0.49048675557571575,0.7513326871230738,0.09950673137447313,-0.14418745018211765,0.3407248473647339,-2.3066965036301683,-1.2062094492479947,-2.322151064346206,1.5300207111275477
20260724T223038Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,0.662687020731796,0.23932169533889652,-0.056955246151182304,-0.1983821471319045,-0.056955246151182304,-1.093893596256877,-0.1599090461694918,-0.9186346130954639,-0.529858997711173,-0.1286978904175566,-0.07504198617841051,-0.8007640959853957,-0.49550847659633146,0.6862759285696077,0.043088942569777744,-0.14418745018211765,0.3407248473647339,0.09297767607627684,-0.7052273446616489,1.3384435849367275,-1.045514384491709
20260724T223052Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,0.6887308908382445,0.4684276495201614,0.23409820608412452,-0.1983821471319045,0.23409820608412452,0.24275108708455698,-0.13499196313700487,0.49008438687912753,-0.21235229804184963,-0.1286978904175566,-0.161625113686919,-0.7252368037918017,-0.4899962786978971,0.6862759285696077,0.043088942569777744,-0.14418745018211765,0.3407248473647339,0.09297767607627684,0.2645543290429992,1.334324558702661,-0.3460605543543522
20260724T223108Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,0.6902539104879406,-0.11856482654300567,-0.5116099847172579,-0.1983821471319045,-0.5116099847172579,-1.093893596256877,-0.1599090461694918,-0.9186346130954639,-0.529858997711173,-0.1286978904175566,-0.161625113686919,-0.9479597706716048,-0.42392034510321164,-0.3546322082858489,0.043088942569777744,-0.14418745018211765,0.3407248473647339,-1.863444277707352,-0.36698807226576025,-1.2611485979232084,-1.0376085306178138
20260724T223122Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,0.6869751328760451,-0.11856482654300567,-0.5116099847172579,-0.1983821471319045,-0.5116099847172579,-1.093893596256877,-0.1599090461694918,-0.9186346130954639,-0.529858997711173,-0.1286978904175566,-0.161625113686919,-0.9479597706716048,-0.42392034510321164,-0.3546322082858489,0.043088942569777744,-0.14418745018211765,0.3407248473647339,-1.863444277707352,-0.367061873713234,-1.2611485979232084,-1.0376085306178138
20260724T223137Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,0.7028329277035426,1.530024314401099,1.5827378575469753,-0.1983821471319045,1.5827378575469753,0.3659166811042857,-0.14020870595508753,1.458520731966422,-0.15363501767651971,-0.1286978904175566,-0.161625113686919,-0.9551616149787034,-0.42497156751305704,-0.3546322082858489,0.043088942569777744,-0.14418745018211765,0.3407248473647339,0.09297767607627684,-0.019626283663485924,-0.2227560547015236,-0.3460605543543522
20260724T223152Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,0.44941753693833625,0.2762438726690974,-0.010049755569751028,-0.1983821471319045,-0.010049755569751028,1.191088176020045,-0.07853386713849073,0.6873783191771645,0.5198916644618271,-0.1286978904175566,-0.161625113686919,-0.9258848083303712,-0.425785550416671,-0.3221038290091159,0.09950673137447313,-0.14418745018211765,0.3407248473647339,0.00021295792789076713,0.557440552973896,-1.4237777576645794,1.5300207111275477
20260724T223207Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,0.6684157880806205,0.23978210043754072,-0.056370353044121836,-0.1983821471319045,-0.056370353044121836,0.24382160059737545,-0.1349595246545709,0.26873685759343036,-0.2118744982855515,-0.1286978904175566,-0.1388109652285092,-0.7329752661285645,-0.4905610538221066,0.6862759285696077,0.043088942569777744,-0.14418745018211765,0.3407248473647339,0.09297767607627684,0.3631513596843192,1.6800254888476156,-0.5563869997219277
20260724T223223Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,0.702402167768045,-0.7466194875750354,-1.3094830820756151,0.23762060004450614,-1.3094830820756151,-1.093893596256877,-0.1599090461694918,-0.9186346130954639,-0.529858997711173,-0.1286978904175566,-0.161625113686919,-1.1779012758160143,1.5089891974037977,-1.3304835865878395,-1.7058625103757792,-0.14418745018211765,-3.1265476926577405,0.09297767607627684,-0.22819986113180932,-0.2227560547015236,1.0454418577486675
20260724T223236Z-repeatability-v1__pilot-balanced-v1_--1525488dceb3--gion_global_user_join__lookback_days-1__limit_k-100,0.5897997391277499,0.9390819017941785,0.8320117148059404,-0.1983821471319045,0.8320117148059404,1.921868712772002,0.08124564069595593,1.704375509599639,1.8793815427769927,-0.1286978904175566,-0.161625113686919,-0.27496738188411934,-0.5228582295117412,2.768092202280521,1.84845818432003,-0.14418745018211765,0.3407248473647339,0.09297767607627684,0.5916460007241516,-0.2227560547015236,-0.3460605543543522
20260724T223254Z-repeatability-v1__pilot-balanced-v1_--eeeba4945fcd--event_filter_summary__lookback_days-30__min_value-0,0.6711678557981221,1.7586344107943144,1.873161378004449,-0.1983821471319045,1.873161378004449,0.3659166811042857,-0.14020870595508753,1.6844038583608225,-0.15363501767651971,-0.1286978904175566,-0.161625113686919,-0.7252368037918017,-0.4899962786978971,0.6862759285696077,0.043088942569777744,-0.14418745018211765,0.3407248473647339,0.09297767607627684,1.6822192310824848,-0.2227560547015236,-0.3460605543543522
