query_run_id,hard_cluster,max_membership,top2_margin,membership_entropy,nearest_center_distance,nearest_center_distance_baseline_percentile,display_state,membership_c0,membership_c1,membership_c2,membership_c3
20260724T223007Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,3,0.8508163088800066,0.7520006260223044,0.5488559611657226,1.277452895647532,0.13441955193482688,clear_prototype,0.03341765528013842,0.09881568285770212,0.016950352982152774,0.8508163088800066
20260724T223022Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0,0.39627025423742623,0.10574322338557535,1.284595904621807,4.362050228058763,0.8319755600814664,mixed_boundary,0.39627025423742623,0.2905270308518509,0.09858057724402303,0.2146221376666998
20260724T223038Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,1,0.5133256598321034,0.18945943941076654,1.1120351929844638,2.608410582252792,0.539714867617108,mixed_boundary,0.09888812810590718,0.5133256598321034,0.06391999164065251,0.3238662204213369
20260724T223052Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,1,0.8178133035582745,0.7272593451286697,0.6396883763574897,1.391765589585489,0.20824847250509165,clear_prototype,0.09055395842960483,0.8178133035582745,0.013734682009592419,0.07789805600252814
20260724T223108Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,3,0.45204985849113094,0.16032706709905248,1.2447809463208361,3.309016712544602,0.719959266802444,mixed_boundary,0.12637449276320914,0.29172279139207846,0.12985285735358143,0.45204985849113094
20260724T223122Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,3,0.4524246220067592,0.16089667775852956,1.2444684919240028,3.3071858267287637,0.7194501018329938,mixed_boundary,0.12628595343106924,0.29152794424822964,0.12976148031394194,0.4524246220067592
20260724T223137Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,1,0.40367612753923837,0.01566204010883504,1.1655147789168276,3.102493435667548,0.6608961303462322,mixed_boundary,0.38801408743040333,0.40367612753923837,0.04236300300124501,0.1659467820291134
20260724T223152Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,0,0.40577206517796355,0.09924796354477156,1.242952689747845,3.0373164415912655,0.6384928716904277,mixed_boundary,0.40577206517796355,0.306524101633192,0.06694536168464137,0.22075847150420308
20260724T223207Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,1,0.7669114326423461,0.6518153723673229,0.7609587290205448,1.6585576275050447,0.2790224032586558,clear_prototype,0.09621440211433036,0.7669114326423461,0.02177810496830025,0.11509606027502318
20260724T223223Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,2,0.9723603518988295,0.960031915658734,0.15534926709734342,1.1857876374229588,0.10641547861507128,clear_prototype,0.005358757990172617,0.009952453870902487,0.9723603518988295,0.0123284362400955
20260724T223236Z-repeatability-v1__pilot-balanced-v1_--1525488dceb3--gion_global_user_join__lookback_days-1__limit_k-100,0,0.7483530499350922,0.5926249241748394,0.7857047592004944,2.6348464148112702,0.5458248472505092,clear_prototype,0.7483530499350922,0.15572812576025288,0.024325457450027104,0.07159336685462783
20260724T223254Z-repeatability-v1__pilot-balanced-v1_--eeeba4945fcd--event_filter_summary__lookback_days-30__min_value-0,0,0.4825979716335654,0.15641880770520267,1.1333003482853332,3.3202383015944914,0.7209775967413442,mixed_boundary,0.4825979716335654,0.3261791639283627,0.041420066445344815,0.1498027979927272
20260724T223310Z-repeatability-v1__pilot-balanced-v1_--eeeba4945fcd--event_filter_summary__lookback_days-30__min_value-0,0,0.48251965530172347,0.15642746688501602,1.1334370127962048,3.3198909466266944,0.7209775967413442,mixed_boundary,0.48251965530172347,0.32609218841670745,0.041402564398481584,0.14998559188308747
20260724T223327Z-repeatability-v1__pilot-balanced-v1_--da46db020e85---default__gac_fdw_event_full_scan_summary__case-001,2,0.29215056064227096,0.03794949193798586,1.3792807741414213,13.134440890066458,0.9923625254582484,weak_prototype_coverage,0.20906792451522355,0.2445804461382203,0.29215056064227096,0.2542010687042851
20260724T223341Z-repeatability-v1__pilot-balanced-v1_--523887f7556f--egion_global_user_join__lookback_days-7__limit_k-25,0,0.7453172434360181,0.5890700078802689,0.7929594889000047,2.668469693071885,0.5534623217922607,clear_prototype,0.7453172434360181,0.1562472355557492,0.024856781046191344,0.0735787399620413
20260724T223359Z-repeatability-v1__pilot-balanced-v1_--8af220979f3b--vent_filter_summary__lookback_days-1__min_value-100,1,0.4146959091600332,0.053095524904821445,1.1844442963865796,3.16165576357341,0.6792260692464358,mixed_boundary,0.36160038425521174,0.4146959091600332,0.04823461191391599,0.17546909467083918
20260724T223414Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,1,0.5130611376471264,0.18883272322865297,1.1120239177451605,2.6082767362453154,0.5392057026476579,mixed_boundary,0.09882927041151812,0.5130611376471264,0.06388117752288217,0.3242284144184734
20260724T223429Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,1,0.8179496006346026,0.7274652752412334,0.6393483244634374,1.3909490039791874,0.20824847250509165,clear_prototype,0.09048432539336923,0.8179496006346026,0.013717393432748212,0.07784868053927993
20260724T223445Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,3,0.4527050793129823,0.16132250611810667,1.244233941279844,3.30581507498061,0.7194501018329938,mixed_boundary,0.1262199828850009,0.29138257319487565,0.12969236460714123,0.4527050793129823
20260724T223458Z-repeatability-v1__pilot-balanced-v1_--1525488dceb3--gion_global_user_join__lookback_days-1__limit_k-100,0,0.7482418915469061,0.5925860816926837,0.7860125211249378,2.634768371110944,0.5458248472505092,clear_prototype,0.7482418915469061,0.15565580985422245,0.024317095341488435,0.07178520325738297
20260724T223517Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0,0.396143698477725,0.10565923174433389,1.2846964817607707,4.362742374498087,0.8319755600814664,mixed_boundary,0.396143698477725,0.2904844667333911,0.09859363974772413,0.2147781950411597
20260724T223534Z-repeatability-v1__pilot-balanced-v1_--4aea96052fee--__limit_k-100__payload_repeat-64__payload_width-512,2,0.26371169403295974,0.01042857331006336,1.3851078559726768,13.908156609741186,0.9959266802443992,weak_prototype_coverage,0.23047677848318665,0.2532831207228964,0.26371169403295974,0.25252840676095734
20260724T223547Z-repeatability-v1__pilot-balanced-v1_--69dc67f92ca9--ac_fdw_daily_rollup__lookback_days-3__min_value-900,3,0.3750250467105872,0.08471381353025076,1.3247927249653522,4.415740554195355,0.835030549898167,mixed_boundary,0.175294429776512,0.2903112331803364,0.15936929033256442,0.3750250467105872
20260724T223601Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0,0.39619598967292574,0.10565455276210822,1.2846694867940496,4.363042527141819,0.8319755600814664,mixed_boundary,0.39619598967292574,0.2905414369108175,0.09862224941677547,0.2146403239994812
20260724T223617Z-repeatability-v1__pilot-balanced-v1_--539329890443--t__gac_fdw_top_tenants__lookback_days-3__limit_k-50,1,0.7144731246057545,0.5421581079257627,0.8525097978654665,1.5974128574868964,0.2683299389002037,clear_prototype,0.08580331889588765,0.7144731246057545,0.027408539818365954,0.17231501667999183
20260724T223633Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,0,0.4071601250153195,0.09955012733748975,1.2419757616964247,3.0365345675695257,0.6384928716904277,mixed_boundary,0.4071601250153195,0.30760999767782976,0.06715100550436001,0.21807887180249072
20260724T223648Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,0,0.4068858635042115,0.0994926025080819,1.2421703028850608,3.03663622653831,0.6384928716904277,mixed_boundary,0.4068858635042115,0.3073932609961296,0.06710820865715675,0.21861266684250202
20260724T223703Z-repeatability-v1__pilot-balanced-v1_--2b4ae3682b4a--_fdw_global_user_join__lookback_days-7__limit_k-100,0,0.8167268348237916,0.6927339424389062,0.6213283816996477,1.7305403389392513,0.319755600814664,clear_prototype,0.8167268348237916,0.12399289238488546,0.011844085571006153,0.047436187220316714
20260724T223719Z-repeatability-v1__pilot-balanced-v1_--8ba735d7a28f--enant_id-1000__us_tenant_id-10005__lookback_days-14,2,0.9843911488757456,0.9774498282208591,0.09675140278586439,0.974145219282084,0.01680244399185336,clear_prototype,0.0030306255762382415,0.005636904893129702,0.9843911488757456,0.0069413206548865234
20260724T223734Z-repeatability-v1__pilot-balanced-v1_--4aea96052fee--__limit_k-100__payload_repeat-64__payload_width-512,2,0.26371182927415704,0.010428583430496241,1.3851078599193294,13.908157437125897,0.9959266802443992,weak_prototype_coverage,0.23047688990227075,0.2532832458436608,0.26371182927415704,0.25252803497991133
20260724T223748Z-repeatability-v1__pilot-balanced-v1_--539329890443--t__gac_fdw_top_tenants__lookback_days-3__limit_k-50,1,0.7144189051319748,0.5420477580179064,0.8525865351167936,1.5974599676984975,0.2683299389002037,clear_prototype,0.08580055893939123,0.7144189051319748,0.02740938881456551,0.17237114711406848
