state_id,phase,trajectory_id,logical_question_id,step_index,action_id,template_id,accepted,repetition_count,elapsed_median_seconds,elapsed_mad_seconds,elapsed_min_seconds,elapsed_max_seconds,result_status,ordered_sha256,multiset_sha256,profile_path,raw_signal_path,sweep_dir
A_raw_baseline,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,0,baseline,gac_fdw_multiregion_event_exact_raw_summary,pending,5,8.286617,0.4374159258000001,7.991584,11.022147,equivalent,621301875ea27a60105eb3e412cd7fc3a032f42751b4b89233feb9e5f1ec02c7,344beab54bb460cb4c512ff2d4231e3a95d7e998d29d827449468a272343985d,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/A_raw_baseline/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/A_raw_baseline/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152414Z-aggregate-exact-01-a_raw_baseline;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152906Z-aggregate-exact-07-a_raw_baseline;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153311Z-aggregate-exact-12-a_raw_baseline;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153455Z-aggregate-exact-14-a_raw_baseline;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153725Z-aggregate-exact-17-a_raw_baseline
B_fetch_size,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,1,fdw_fetch_size_10000,gac_fdw_multiregion_event_exact_raw_summary,true,5,7.224479,0.4462181219999993,6.87242,7.977483,equivalent,621301875ea27a60105eb3e412cd7fc3a032f42751b4b89233feb9e5f1ec02c7,344beab54bb460cb4c512ff2d4231e3a95d7e998d29d827449468a272343985d,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/B_fetch_size/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/B_fetch_size/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152515Z-aggregate-exact-02-b_fetch_size;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152736Z-aggregate-exact-05-b_fetch_size;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153219Z-aggregate-exact-11-b_fetch_size;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153632Z-aggregate-exact-16-b_fetch_size;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153821Z-aggregate-exact-18-b_fetch_size
C_regional_aggregate,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,2,regional_pushdown_rewrite,gac_fdw_multiregion_event_exact_regional_summary,true,5,0.604713,0.08172980759999984,0.549587,0.670311,equivalent,621301875ea27a60105eb3e412cd7fc3a032f42751b4b89233feb9e5f1ec02c7,344beab54bb460cb4c512ff2d4231e3a95d7e998d29d827449468a272343985d,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/C_regional_aggregate/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/C_regional_aggregate/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152657Z-aggregate-exact-04-c_regional_aggregate;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152827Z-aggregate-exact-06-c_regional_aggregate;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153050Z-aggregate-exact-09-c_regional_aggregate;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153553Z-aggregate-exact-15-c_regional_aggregate;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T154005Z-aggregate-exact-20-c_regional_aggregate
D_wan_delay,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,3,wan_delay_10ms_probe,gac_fdw_multiregion_event_exact_regional_summary,false,5,0.76892,0.04039936739999995,0.740674,0.814988,equivalent,621301875ea27a60105eb3e412cd7fc3a032f42751b4b89233feb9e5f1ec02c7,344beab54bb460cb4c512ff2d4231e3a95d7e998d29d827449468a272343985d,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/D_wan_delay/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/D_wan_delay/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152612Z-aggregate-exact-03-d_wan_delay;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153005Z-aggregate-exact-08-d_wan_delay;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153135Z-aggregate-exact-10-d_wan_delay;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153410Z-aggregate-exact-13-d_wan_delay;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153921Z-aggregate-exact-19-d_wan_delay
R0_prime_rollback,aggregate_exact_confirmatory,trajectory_aggregate_exact_full_flow,event_exact_full_flow_summary,4,full_rollback,gac_fdw_multiregion_event_exact_raw_summary,pending,5,8.486501,0.7251055601999999,7.843793,9.090729,equivalent,621301875ea27a60105eb3e412cd7fc3a032f42751b4b89233feb9e5f1ec02c7,344beab54bb460cb4c512ff2d4231e3a95d7e998d29d827449468a272343985d,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/R0_prime_rollback/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/states/R0_prime_rollback/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T154045Z-aggregate-exact-21-r0_prime_rollback;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T154140Z-aggregate-exact-22-r0_prime_rollback;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T154236Z-aggregate-exact-23-r0_prime_rollback;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T154330Z-aggregate-exact-24-r0_prime_rollback;master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T154425Z-aggregate-exact-25-r0_prime_rollback
