decision_id,trajectory_id,source_state_id,target_state_id,action_id,feature_id,before_median,after_median,absolute_delta,relative_delta,status
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,worker_task_scan_actual_rows_max_share,0.013666666666666667,0.013666666666666667,0.0,0.0,observed
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,worker_task_temp_written_per_scan_row,,,,,unavailable
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,worker_time_cv,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,citus_repartition_observed_v2,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,coordinator_non_foreign_time_share_proxy,0.052900434254433484,5.5188926554053555e-05,-0.05284524532787943,-1.9958313075184186,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,edge_boundary_wait_share,0.4570157242490252,0.02039652034863146,-0.43661920390039377,-1.8291076898014793,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,edge_remote_bytes_sum,24000000.0,48.0,-23999952.0,-1.9999920000159999,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,edge_rtt_context_median_ms_max,0.40349999999999997,0.41200000000000003,0.008500000000000063,0.020846106682991146,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,edge_source_tx_bps_hmean,51618059.991003886,1480602.4268906568,-50137457.56411323,-1.8884640509218036,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,elapsed_seconds,7.224479,0.604713,-6.619765999999999,-1.6910470454675666,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,foreign_scan_time_share,0.9470995657455665,0.9999448110734459,0.052845245327879375,0.054282527873543644,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,gac_aggregate_time_share,1.0,1.0,0.0,0.0,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,gac_blocking_input_to_final_rows_ratio,3000000.0,2.0,-2999998.0,-1.999997333335111,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,gac_fanin_to_final_rows_ratio,3000000.0,2.0,-2999998.0,-1.999997333335111,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,gac_hash_batch_excess,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,gac_sort_time_share,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,gac_temp_written_per_final_row,0.0,0.0,0.0,0.0,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,regional_actual_time_per_remote_row,0.0011380123333333335,256.4945,256.4933619876667,1.9999822529171618,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,regional_input_to_remote_bytes_ratio,1.0114357226082078,1.0,-0.011435722608207799,-0.011370706485587849,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,regional_input_to_remote_rows_ratio,1.0,1500000.0,1499999.0,1.999997333335111,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,regional_temp_written_per_remote_row,0.002686,0.0,-0.002686,-1.9999999992553983,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_citus_dependent_map_task_count_sum,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_citus_dependent_merge_task_count_sum,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_citus_repartition_fanout_ratio_max,,,,,unavailable
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_citus_repartition_mapmerge_count,0.0,0.0,0.0,0.0,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_region_actual_rows_max_share,0.6666666666666666,0.5,-0.16666666666666663,-0.2857142857140408,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_region_actual_time_cv,0.44627546099768395,0.2165999604328042,-0.22967550056487976,-0.6929673152427118,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,remote_region_has_aggregate_share,0.0,1.0,1.0,1.9999999999979998,observed
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,spill_location_count,1.0,0.0,-1.0,-1.9999999999979998,observed
