logical_run_id,attempt_number,corpus_run_id,created_at_utc,status,rerun_of,source_plan,attempt_dir,selected_group_count,completed_group_count
pressure-raw-v1-n3-colocation-holdout,1,20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01,20260801T232531Z,completed,,master-regimes/generated/corpus/pressure-raw-v1-n3-colocation-holdout/corpus_execution_plan.yml,master-regimes-infra/generated/runs/corpus-sweeps/20260801T232531Z-pressure-raw-v1-n3-colocation-holdout-attempt-01,4,4
pressure-raw-v1-n3-colocation-holdout,2,20260802T021040Z-pressure-raw-v1-n3-colocation-holdout-attempt-02,20260802T021040Z,completed,pressure-raw-v1-n3-colocation-holdout-attempt-01,master-regimes/generated/corpus/pressure-raw-v1-n3-colocation-evidence-rerun-01/corpus_execution_plan.yml,master-regimes-infra/generated/runs/corpus-sweeps/20260802T021040Z-pressure-raw-v1-n3-colocation-holdout-attempt-02,1,1
