measure,observation_count,p50,p90,p95,maximum
MAD V2 pokazatelja,1824,0.0,0.0,7.354630456313226e-07,0.0007441003679568
L1 pomak članstva,96,1.5590394194849727e-06,6.171106091237317e-05,0.00010042481231331882,0.1344057483635587
CV ukupnog vremena,96,0.0437467214931217,0.1212627007363879,0.14714211839015737,0.2522691983310655
CV vremena korijena plana,96,0.048897548591213,0.12602900676885845,0.15953190775933443,0.2462627991677219
