condition_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-92a1bd311fb0048702ea,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-0,q01_tenant_rollup,"{""lookback_days"":30,""min_value"":0}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-0.sql,"regional_reduction,low_global_fanin",repeatability-v1,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default,daily_tenant_rollup,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,1,false
cond-9c359776cfbd26e1209f,single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default__q09_event_full_scan_summary__case-001,q09_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default__q09_event_full_scan_summary__case-001.sql,"full_scan,aggregate,scan_pressure",repeatability-v1,single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default,event_full_scan_summary,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,2,false
cond-b77c7d171a33f4a835f2,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default__q03_event_filter_summary__lookback_days-14__min_value-100,q03_event_filter_summary,"{""lookback_days"":14,""min_value"":100}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default__q03_event_filter_summary__lookback_days-14__min_value-100.sql,"selective_filter,scan_pressure,aggregate",repeatability-v1,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default,event_filter_summary,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,3,false
cond-92a1bd311fb0048702ea,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-0,q01_tenant_rollup,"{""lookback_days"":30,""min_value"":0}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-0.sql,"regional_reduction,low_global_fanin",repeatability-v1,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default,daily_tenant_rollup,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,4,false
cond-b77c7d171a33f4a835f2,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default__q03_event_filter_summary__lookback_days-14__min_value-100,q03_event_filter_summary,"{""lookback_days"":14,""min_value"":100}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default__q03_event_filter_summary__lookback_days-14__min_value-100.sql,"selective_filter,scan_pressure,aggregate",repeatability-v1,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default,event_filter_summary,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,5,false
cond-b77c7d171a33f4a835f2,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default__q03_event_filter_summary__lookback_days-14__min_value-100,q03_event_filter_summary,"{""lookback_days"":14,""min_value"":100}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default__q03_event_filter_summary__lookback_days-14__min_value-100.sql,"selective_filter,scan_pressure,aggregate",repeatability-v1,single_event_filter_default__dataset-pilot-skew-heavy-v1__runtime-default,event_filter_summary,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,6,false
cond-9c359776cfbd26e1209f,single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default__q09_event_full_scan_summary__case-001,q09_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default__q09_event_full_scan_summary__case-001.sql,"full_scan,aggregate,scan_pressure",repeatability-v1,single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default,event_full_scan_summary,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,7,false
cond-9c359776cfbd26e1209f,single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default__q09_event_full_scan_summary__case-001,q09_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default__q09_event_full_scan_summary__case-001.sql,"full_scan,aggregate,scan_pressure",repeatability-v1,single_event_full_scan_default__dataset-pilot-skew-heavy-v1__runtime-default,event_full_scan_summary,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,8,false
cond-92a1bd311fb0048702ea,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-0,q01_tenant_rollup,"{""lookback_days"":30,""min_value"":0}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-skew-heavy-v1__default__coordinators/queries/single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-0.sql,"regional_reduction,low_global_fanin",repeatability-v1,single_daily_rollup_default__dataset-pilot-skew-heavy-v1__runtime-default,daily_tenant_rollup,single_region_citus,pilot-skew-heavy-v1,default,eu_us_gac,baseline,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,9,false
